1539746201493,34.63,34.09,0.54,0.19
1539746201698,34.67,34.09,0.58,0.19
1539746201895,34.59,34.17,0.42,0.20
1539746202096,34.61,34.17,0.44,0.21
1539746202292,34.55,34.23,0.32,0.21
1539746202496,34.67,34.13,0.54,0.22
1539746202693,34.61,34.21,0.40,0.22
1539746202894,34.61,34.25,0.36,0.23
1539746203095,34.53,34.17,0.36,0.24
1539746203291,34.61,34.21,0.40,0.24
1539746203497,34.61,34.15,0.46,0.25
1539746203693,34.59,34.17,0.42,0.26
1539746203894,34.63,34.15,0.48,0.26
1539746204094,34.75,34.25,0.50,0.27
1539746204291,34.77,34.21,0.56,0.27
1539746204496,34.77,34.13,0.64,0.28
1539746204693,34.75,34.25,0.50,0.29
1539746204893,34.69,34.17,0.52,0.30
1539746205098,34.71,34.17,0.54,0.30
1539746205294,34.59,34.15,0.44,0.31
1539746205495,34.53,34.23,0.30,0.32
1539746205691,34.51,34.17,0.34,0.32
1539746205892,34.33,34.17,0.16,0.33
1539746206089,34.31,34.17,0.14,0.33
1539746206295,34.31,34.15,0.16,0.34
1539746206495,34.31,34.21,0.10,0.34
1539746206691,34.31,34.23,0.08,0.34
1539746206896,34.37,34.23,0.14,0.34
1539746207093,34.39,34.21,0.18,0.34
1539746207293,34.31,34.23,0.08,0.34
1539746207490,34.33,34.23,0.10,0.34
1539746207694,34.31,34.07,0.24,0.33
1539746207891,34.29,33.99,0.30,0.33
1539746208092,34.23,34.01,0.22,0.33
1539746208289,34.29,34.09,0.20,0.33
1539746208494,34.29,34.13,0.16,0.32
1539746208694,34.31,34.15,0.16,0.32
1539746208890,34.29,34.15,0.14,0.32
1539746209095,34.29,34.15,0.14,0.31
1539746209292,34.29,34.21,0.08,0.31
1539746209493,34.31,34.17,0.14,0.30
1539746209690,34.25,34.17,0.08,0.30
1539746209894,34.29,34.15,0.14,0.29
1539746210091,34.31,34.15,0.16,0.29
1539746210292,34.31,34.13,0.18,0.28
1539746210488,34.39,34.17,0.22,0.28
1539746210692,34.39,34.13,0.26,0.28
1539746210893,34.39,34.13,0.26,0.27
1539746211090,34.31,34.13,0.18,0.27
1539746211291,34.37,34.17,0.20,0.27
1539746211492,34.39,34.15,0.24,0.26
1539746211692,34.37,34.15,0.22,0.26
1539746211889,34.31,34.15,0.16,0.26
1539746212090,34.25,34.13,0.12,0.25
1539746212286,34.29,34.15,0.14,0.25
1539746212490,34.23,34.17,0.06,0.25
1539746212688,34.23,34.17,0.06,0.24
1539746212889,34.29,34.17,0.12,0.24
1539746213093,34.33,34.17,0.16,0.24
1539746213290,34.33,34.17,0.16,0.23
1539746213490,34.47,34.17,0.30,0.23
1539746213686,34.51,34.17,0.34,0.23
1539746213892,34.47,34.17,0.30,0.23
1539746214088,34.43,34.15,0.28,0.22
1539746214288,34.39,34.23,0.16,0.22
1539746214494,34.43,34.15,0.28,0.22
1539746214690,34.33,34.15,0.18,0.22
1539746214891,34.33,34.15,0.18,0.22
1539746215088,34.23,34.13,0.10,0.22
1539746215288,34.31,34.15,0.16,0.22
1539746215485,34.31,34.15,0.16,0.22
1539746215689,34.25,34.21,0.04,0.22
1539746215886,34.31,34.17,0.14,0.22
1539746216087,34.33,34.17,0.16,0.22
1539746216291,34.33,34.17,0.16,0.21
1539746216489,34.47,34.13,0.34,0.21
1539746216689,34.39,34.07,0.32,0.21
1539746216886,34.31,34.07,0.24,0.21
1539746217090,34.31,34.09,0.22,0.21
1539746217287,34.25,34.03,0.22,0.21
1539746217488,34.25,34.01,0.24,0.21
1539746217688,34.23,33.99,0.24,0.22
1539746217885,34.29,33.99,0.30,0.22
1539746218090,34.25,34.07,0.18,0.22
1539746218287,34.31,34.09,0.22,0.22
1539746218487,34.33,34.09,0.24,0.22
1539746218684,34.31,34.13,0.18,0.22
1539746218889,34.37,34.15,0.22,0.22
1539746219089,34.33,34.13,0.20,0.22
1539746219286,34.39,34.07,0.32,0.22
1539746219491,34.37,34.09,0.28,0.22
1539746219687,34.37,34.01,0.36,0.23
1539746219888,34.33,34.07,0.26,0.23
1539746220084,34.31,34.13,0.18,0.23
1539746220285,34.37,34.09,0.28,0.23
1539746220481,34.31,34.07,0.24,0.23
1539746220686,34.31,34.13,0.18,0.23
1539746220887,34.21,34.07,0.14,0.23
1539746221084,34.21,34.07,0.14,0.23
1539746221289,34.23,34.07,0.16,0.23
1539746221485,34.31,34.15,0.16,0.23
1539746221685,34.43,34.07,0.36,0.23
1539746221882,34.47,34.03,0.44,0.23
1539746222088,34.47,34.07,0.40,0.23
1539746222287,34.45,34.13,0.32,0.23
1539746222485,34.37,34.03,0.34,0.24
1539746222690,34.39,34.03,0.36,0.24
1539746222886,34.39,34.07,0.32,0.24
1539746223087,34.43,34.03,0.40,0.24
1539746223283,34.29,34.07,0.22,0.24
1539746223484,34.33,34.15,0.18,0.24
1539746223681,34.31,34.13,0.18,0.24
1539746223885,34.29,34.13,0.16,0.25
1539746224086,34.25,34.09,0.16,0.25
1539746224283,34.33,34.09,0.24,0.25
1539746224488,34.37,34.09,0.28,0.25
1539746224685,34.45,34.03,0.42,0.25
1539746224885,34.51,34.03,0.48,0.25
1539746225082,34.53,34.01,0.52,0.25
1539746225286,34.45,34.01,0.44,0.25
1539746225487,34.43,34.07,0.36,0.25
1539746225683,34.39,33.99,0.40,0.26
1539746225884,34.39,34.01,0.38,0.26
1539746226081,34.31,34.03,0.28,0.26
1539746226286,34.31,34.09,0.22,0.27
1539746226482,34.31,34.03,0.28,0.27
1539746226682,34.37,34.03,0.34,0.27
1539746226887,34.39,34.07,0.32,0.27
1539746227084,34.39,34.01,0.38,0.27
1539746227285,34.31,33.99,0.32,0.28
1539746227481,34.31,34.01,0.30,0.28
1539746227683,34.23,34.01,0.22,0.28
1539746227879,34.21,33.99,0.22,0.28
1539746228084,34.17,33.95,0.22,0.28
1539746228280,34.15,33.99,0.16,0.28
1539746228481,34.15,34.01,0.14,0.28
1539746228686,34.17,34.01,0.16,0.28
1539746228883,34.23,34.03,0.20,0.28
1539746229083,34.21,34.03,0.18,0.28
1539746229281,34.25,34.01,0.24,0.28
1539746229485,34.21,33.95,0.26,0.28
1539746229681,34.25,33.93,0.32,0.28
1539746229882,34.25,33.87,0.38,0.28
1539746230078,34.25,33.87,0.38,0.28
1539746230283,34.23,33.91,0.32,0.28
1539746230483,34.17,33.93,0.24,0.28
1539746230680,34.23,33.99,0.24,0.28
1539746230881,34.29,33.93,0.36,0.28
1539746231082,34.33,33.93,0.40,0.28
1539746231283,34.31,33.95,0.36,0.28
1539746231479,34.25,34.03,0.22,0.28
1539746231680,34.31,34.03,0.28,0.28
1539746231884,34.37,34.03,0.34,0.28
1539746232081,34.37,34.03,0.34,0.28
1539746232282,34.33,33.99,0.34,0.28
1539746232478,34.37,33.91,0.46,0.29
1539746232684,34.33,33.77,0.56,0.29
1539746232884,34.37,33.77,0.60,0.29
1539746233080,34.25,33.77,0.48,0.29
1539746233281,34.23,33.73,0.50,0.30
1539746233477,34.13,33.79,0.34,0.30
1539746233683,34.25,33.85,0.40,0.30
1539746233879,34.31,33.85,0.46,0.31
1539746234079,34.31,33.87,0.44,0.31
1539746234280,34.29,33.93,0.36,0.32
1539746234477,34.37,33.91,0.46,0.32
1539746234682,34.37,33.91,0.46,0.33
1539746234879,34.39,33.91,0.48,0.33
1539746235080,34.39,33.95,0.44,0.33
1539746235276,34.39,33.85,0.54,0.34
1539746235481,34.33,33.91,0.42,0.34
1539746235682,34.29,33.87,0.42,0.35
1539746235878,34.25,33.83,0.42,0.35
1539746236079,34.21,33.85,0.36,0.36
1539746236275,34.15,33.83,0.32,0.36
1539746236480,34.17,33.87,0.30,0.36
