1541907631681,33.51,34.03,-0.52,-0.50
1541907631885,33.47,34.03,-0.56,-0.50
1541907632088,33.43,34.03,-0.60,-0.50
1541907632291,33.39,34.03,-0.64,-0.50
1541907632478,33.49,34.01,-0.52,-0.50
1541907632681,33.41,33.99,-0.58,-0.50
1541907632884,33.47,33.99,-0.52,-0.50
1541907633088,33.49,34.03,-0.54,-0.51
1541907633275,33.49,34.01,-0.52,-0.51
1541907633478,33.49,34.01,-0.52,-0.51
1541907633681,33.49,33.99,-0.50,-0.51
1541907633885,33.55,33.99,-0.44,-0.51
1541907634088,33.61,34.03,-0.42,-0.51
1541907634275,33.65,34.01,-0.36,-0.51
1541907634478,33.71,34.01,-0.30,-0.51
1541907634681,33.61,33.93,-0.32,-0.51
1541907634885,33.51,34.01,-0.50,-0.51
1541907635088,33.47,34.01,-0.54,-0.50
1541907635275,33.47,34.01,-0.54,-0.50
1541907635478,33.49,33.99,-0.50,-0.50
1541907635681,33.51,33.99,-0.48,-0.50
1541907635885,33.49,33.95,-0.46,-0.50
1541907636088,33.47,34.03,-0.56,-0.50
1541907636275,33.55,33.95,-0.40,-0.50
1541907636478,33.49,34.01,-0.52,-0.50
1541907636681,33.57,33.99,-0.42,-0.49
1541907636885,33.61,34.01,-0.40,-0.49
1541907637072,33.63,33.99,-0.36,-0.49
1541907637275,33.55,33.93,-0.38,-0.49
1541907637478,33.61,33.99,-0.38,-0.49
1541907637681,33.63,33.93,-0.30,-0.49
1541907637885,33.65,33.93,-0.28,-0.49
1541907638072,33.57,33.99,-0.42,-0.48
1541907638281,33.69,33.93,-0.24,-0.48
1541907638484,33.71,33.95,-0.24,-0.48
1541907638687,33.69,33.93,-0.24,-0.47
1541907638874,33.61,33.91,-0.30,-0.47
1541907639077,33.49,33.93,-0.44,-0.47
1541907639280,33.49,33.91,-0.42,-0.46
1541907639484,33.49,33.87,-0.38,-0.46
1541907639671,33.49,33.91,-0.42,-0.45
1541907639874,33.57,33.91,-0.34,-0.45
1541907640078,33.57,33.91,-0.34,-0.45
1541907640281,33.51,33.91,-0.40,-0.44
1541907640468,33.57,33.91,-0.34,-0.44
1541907640687,33.61,33.91,-0.30,-0.44
1541907640875,33.65,33.91,-0.26,-0.44
1541907641078,33.57,33.95,-0.38,-0.43
1541907641281,33.65,34.01,-0.36,-0.43
1541907641484,33.63,33.93,-0.30,-0.43
1541907641671,33.57,33.91,-0.34,-0.42
1541907641875,33.63,34.01,-0.38,-0.42
1541907642078,33.65,33.95,-0.30,-0.42
1541907642281,33.61,33.99,-0.38,-0.41
1541907642374,Interruption
1541907642484,33.55,33.93,-0.38,-0.41
1541907642671,33.49,33.95,-0.46,-0.41
1541907642843,Reaction,0,0,0,469
1541907642875,33.43,33.91,-0.48,-0.40
1541907643078,33.51,33.95,-0.44,-0.40
1541907643281,33.39,33.87,-0.48,-0.40
1541907643468,33.39,33.99,-0.60,-0.40
1541907643671,33.39,33.91,-0.52,-0.40
1541907643875,33.43,33.95,-0.52,-0.40
1541907644078,33.49,33.93,-0.44,-0.40
1541907644265,33.51,33.79,-0.28,-0.40
1541907644484,33.49,33.83,-0.34,-0.40
1541907644671,33.51,33.79,-0.28,-0.40
1541907644875,33.55,33.87,-0.32,-0.41
1541907645078,33.61,33.85,-0.24,-0.41
1541907645281,33.57,33.95,-0.38,-0.40
1541907645468,33.57,33.91,-0.34,-0.40
1541907645671,33.69,33.93,-0.24,-0.40
1541907645875,33.65,33.87,-0.22,-0.40
1541907646078,33.57,33.87,-0.30,-0.40
1541907646265,33.55,33.85,-0.30,-0.40
1541907646468,33.51,33.87,-0.36,-0.40
1541907646671,33.51,33.85,-0.34,-0.39
1541907646875,33.49,33.87,-0.38,-0.39
1541907647078,33.51,33.87,-0.36,-0.39
1541907647265,33.51,33.93,-0.42,-0.39
1541907647468,33.57,33.95,-0.38,-0.39
1541907647671,33.61,33.93,-0.32,-0.39
1541907647875,33.61,33.95,-0.34,-0.39
1541907648062,33.69,33.87,-0.18,-0.39
1541907648281,33.61,33.87,-0.26,-0.38
1541907648468,33.61,33.91,-0.30,-0.38
1541907648671,33.65,33.95,-0.30,-0.38
1541907648875,33.69,33.95,-0.26,-0.38
1541907649078,33.71,33.93,-0.22,-0.37
1541907649265,33.73,33.85,-0.12,-0.37
1541907649468,33.63,33.91,-0.28,-0.37
1541907649671,33.57,33.85,-0.28,-0.36
1541907649875,33.55,33.91,-0.36,-0.36
1541907650062,33.57,33.85,-0.28,-0.36
1541907650265,33.55,33.85,-0.30,-0.35
1541907650468,33.55,33.79,-0.24,-0.35
1541907650672,33.57,33.73,-0.16,-0.35
1541907650859,33.57,33.85,-0.28,-0.35
1541907651078,33.63,33.79,-0.16,-0.34
1541907651265,33.57,33.87,-0.30,-0.34
1541907651468,33.51,33.91,-0.40,-0.33
1541907651672,33.61,33.91,-0.30,-0.33
1541907651875,33.63,33.85,-0.22,-0.33
1541907652078,33.57,33.85,-0.28,-0.33
1541907652265,33.57,33.85,-0.28,-0.32
1541907652469,33.61,33.85,-0.24,-0.32
1541907652672,33.49,33.79,-0.30,-0.32
1541907652875,33.49,33.87,-0.38,-0.32
1541907652906,Interruption
1541907653062,33.49,33.85,-0.36,-0.32
1541907653265,33.43,33.79,-0.36,-0.31
1541907653359,Reaction,0,0,0,453
1541907653469,33.49,33.85,-0.36,-0.31
1541907653672,33.49,33.91,-0.42,-0.31
1541907653875,33.55,33.83,-0.28,-0.31
1541907654062,33.51,33.91,-0.40,-0.31
1541907654266,33.51,33.85,-0.34,-0.31
1541907654469,33.51,33.87,-0.36,-0.31
1541907654672,33.49,33.83,-0.34,-0.31
1541907654875,33.47,33.83,-0.36,-0.31
1541907655062,33.47,33.85,-0.38,-0.31
1541907655266,33.57,33.79,-0.22,-0.31
1541907655469,33.61,33.87,-0.26,-0.31
1541907655672,33.61,33.79,-0.18,-0.32
1541907655859,33.63,33.79,-0.16,-0.32
1541907656063,33.49,33.77,-0.28,-0.31
1541907656266,33.51,33.79,-0.28,-0.31
1541907656469,33.43,33.83,-0.40,-0.31
1541907656672,33.39,33.85,-0.46,-0.31
1541907656859,33.47,33.73,-0.26,-0.31
1541907657063,33.55,33.79,-0.24,-0.31
1541907657266,33.55,33.73,-0.18,-0.31
1541907657469,33.55,33.73,-0.18,-0.31
1541907657672,33.49,33.79,-0.30,-0.31
1541907657859,33.49,33.77,-0.28,-0.31
1541907658063,33.51,33.77,-0.26,-0.31
1541907658266,33.51,33.77,-0.26,-0.31
1541907658469,33.49,33.79,-0.30,-0.31
1541907658672,33.51,33.77,-0.26,-0.31
1541907658860,33.55,33.79,-0.24,-0.30
1541907659063,33.55,33.79,-0.24,-0.30
1541907659266,33.57,33.79,-0.22,-0.30
1541907659469,33.49,33.79,-0.30,-0.30
1541907659656,33.41,33.83,-0.42,-0.30
1541907659860,33.43,33.79,-0.36,-0.30
1541907660063,33.41,33.83,-0.42,-0.30
1541907660266,33.51,33.79,-0.28,-0.29
1541907660453,33.43,33.79,-0.36,-0.29
1541907660656,33.51,33.69,-0.18,-0.29
1541907660860,33.49,33.73,-0.24,-0.29
1541907661063,33.57,33.73,-0.16,-0.29
1541907661266,33.51,33.69,-0.18,-0.29
1541907661469,33.57,33.69,-0.12,-0.29
1541907661656,33.57,33.77,-0.20,-0.29
1541907661860,33.51,33.73,-0.22,-0.29
1541907662063,33.51,33.77,-0.26,-0.29
1541907662266,33.55,33.77,-0.22,-0.29
1541907662453,33.57,33.77,-0.20,-0.28
