1541906344417,33.51,33.91,-0.40,-0.28
1541906344621,33.47,33.95,-0.48,-0.29
1541906344823,33.47,33.87,-0.40,-0.29
1541906345011,33.43,33.87,-0.44,-0.29
1541906345214,33.41,33.87,-0.46,-0.30
1541906345418,33.43,33.87,-0.44,-0.30
1541906345621,33.43,33.87,-0.44,-0.31
1541906345808,33.33,33.93,-0.60,-0.31
1541906346011,33.47,33.85,-0.38,-0.32
1541906346214,33.39,33.87,-0.48,-0.32
1541906346418,33.41,33.85,-0.44,-0.33
1541906346621,33.41,33.95,-0.54,-0.33
1541906346808,33.43,33.93,-0.50,-0.34
1541906347011,33.49,33.93,-0.44,-0.34
1541906347215,33.51,33.91,-0.40,-0.34
1541906347418,33.55,33.91,-0.36,-0.35
1541906347621,33.61,33.91,-0.30,-0.35
1541906347808,33.57,33.85,-0.28,-0.36
1541906348011,33.61,33.87,-0.26,-0.36
1541906348215,33.63,33.91,-0.28,-0.36
1541906348417,33.61,33.93,-0.32,-0.36
1541906348621,33.57,33.87,-0.30,-0.36
1541906348808,33.61,33.91,-0.30,-0.36
1541906349011,33.61,33.91,-0.30,-0.36
1541906349215,33.61,33.91,-0.30,-0.36
1541906349418,33.55,33.93,-0.38,-0.36
1541906349605,33.51,33.87,-0.36,-0.36
1541906349808,33.49,33.85,-0.36,-0.36
1541906350011,33.47,33.83,-0.36,-0.36
1541906350214,33.47,33.85,-0.38,-0.36
1541906350417,33.49,33.87,-0.38,-0.36
1541906350605,33.47,33.85,-0.38,-0.36
1541906350808,33.49,33.85,-0.36,-0.36
1541906351016,33.47,33.87,-0.40,-0.36
1541906351219,33.57,33.87,-0.30,-0.36
1541906351407,33.61,33.87,-0.26,-0.36
1541906351610,33.63,33.95,-0.32,-0.36
1541906351813,33.55,33.93,-0.38,-0.36
1541906352016,33.63,33.93,-0.30,-0.36
1541906352219,33.61,33.93,-0.32,-0.36
1541906352407,33.57,33.87,-0.30,-0.36
1541906352610,33.47,33.87,-0.40,-0.36
1541906352813,33.49,33.87,-0.38,-0.35
1541906353016,33.49,33.91,-0.42,-0.35
1541906353204,33.43,33.87,-0.44,-0.35
1541906353407,33.49,33.91,-0.42,-0.35
1541906353610,33.51,33.87,-0.36,-0.35
1541906353813,33.55,33.83,-0.28,-0.36
1541906354016,33.43,33.73,-0.30,-0.36
1541906354219,33.51,33.73,-0.22,-0.36
1541906354407,33.49,33.83,-0.34,-0.36
1541906354610,33.51,33.83,-0.32,-0.35
1541906354806,33.57,33.85,-0.28,-0.35
1541906355010,33.55,33.87,-0.32,-0.35
1541906355213,33.61,33.87,-0.26,-0.35
1541906355416,33.57,33.91,-0.34,-0.35
1541906355603,33.61,33.83,-0.22,-0.35
1541906355806,33.61,33.91,-0.30,-0.35
1541906356010,33.55,33.93,-0.38,-0.35
1541906356213,33.49,33.93,-0.44,-0.35
1541906356400,33.51,33.85,-0.34,-0.35
1541906356619,33.47,33.85,-0.38,-0.34
1541906356806,33.51,33.91,-0.40,-0.34
1541906357010,33.57,33.87,-0.30,-0.34
1541906357213,33.57,33.91,-0.34,-0.34
1541906357400,33.47,33.95,-0.48,-0.34
1541906357604,33.35,33.93,-0.58,-0.34
1541906357807,33.39,33.91,-0.52,-0.35
1541906358010,33.39,33.91,-0.52,-0.35
1541906358213,33.41,33.91,-0.50,-0.35
1541906358416,33.47,33.93,-0.46,-0.35
1541906358604,33.51,33.85,-0.34,-0.35
1541906358807,33.47,33.91,-0.44,-0.36
1541906359010,33.49,33.91,-0.42,-0.36
1541906359213,33.47,33.85,-0.38,-0.36
1541906359416,33.49,33.85,-0.36,-0.36
1541906359604,33.47,33.79,-0.32,-0.37
1541906359807,33.47,33.79,-0.32,-0.37
1541906360010,33.47,33.77,-0.30,-0.37
1541906360213,33.51,33.85,-0.34,-0.37
1541906360416,33.55,33.79,-0.24,-0.37
1541906360604,33.49,33.77,-0.28,-0.37
1541906360807,33.55,33.77,-0.22,-0.37
1541906361010,33.57,33.73,-0.16,-0.37
1541906361213,33.61,33.77,-0.16,-0.37
1541906361416,33.61,33.79,-0.18,-0.37
1541906361604,33.57,33.79,-0.22,-0.37
1541906361807,33.65,33.79,-0.14,-0.37
1541906362010,33.61,33.85,-0.24,-0.37
1541906362213,33.65,33.85,-0.20,-0.36
1541906362401,33.65,33.87,-0.22,-0.36
1541906362604,33.63,33.85,-0.22,-0.36
1541906362807,33.61,33.85,-0.24,-0.35
1541906363011,33.49,33.77,-0.28,-0.35
1541906363214,33.41,33.79,-0.38,-0.34
1541906363401,33.39,33.79,-0.40,-0.34
1541906363604,33.41,33.77,-0.36,-0.34
1541906363807,33.47,33.77,-0.30,-0.34
1541906364011,33.43,33.77,-0.34,-0.33
1541906364198,33.51,33.77,-0.26,-0.33
1541906364401,33.47,33.79,-0.32,-0.33
1541906364604,33.51,33.77,-0.26,-0.33
1541906364807,33.61,33.83,-0.22,-0.33
1541906365011,33.61,33.85,-0.24,-0.32
1541906365198,33.61,33.79,-0.18,-0.32
1541906365417,33.55,33.77,-0.22,-0.32
1541906365604,33.55,33.85,-0.30,-0.32
1541906365807,33.55,33.87,-0.32,-0.32
1541906366011,33.57,33.85,-0.28,-0.32
1541906366198,33.49,33.73,-0.24,-0.31
1541906366401,33.47,33.73,-0.26,-0.31
1541906366604,33.49,33.77,-0.28,-0.31
1541906366808,33.43,33.71,-0.28,-0.31
1541906366995,33.43,33.73,-0.30,-0.31
1541906367214,33.43,33.71,-0.28,-0.31
1541906367402,33.43,33.77,-0.34,-0.30
1541906367605,33.47,33.77,-0.30,-0.30
1541906367808,33.49,33.77,-0.28,-0.30
1541906368011,33.47,33.73,-0.26,-0.30
1541906368199,33.47,33.77,-0.30,-0.30
1541906368402,33.49,33.79,-0.30,-0.30
1541906368605,33.47,33.77,-0.30,-0.30
1541906368808,33.41,33.77,-0.36,-0.30
1541906369011,33.51,33.73,-0.22,-0.30
1541906369199,33.49,33.73,-0.24,-0.30
1541906369402,33.39,33.77,-0.38,-0.30
1541906369605,33.47,33.69,-0.22,-0.30
1541906369808,33.43,33.73,-0.30,-0.29
1541906369996,33.47,33.69,-0.22,-0.29
1541906370199,33.43,33.69,-0.26,-0.29
1541906370402,33.47,33.69,-0.22,-0.29
1541906370605,33.43,33.71,-0.28,-0.29
1541906370808,33.35,33.73,-0.38,-0.29
1541906370996,33.41,33.65,-0.24,-0.29
1541906371199,33.47,33.71,-0.24,-0.29
1541906371402,33.43,33.73,-0.30,-0.29
1541906371605,33.47,33.77,-0.30,-0.28
1541906371792,33.51,33.77,-0.26,-0.28
1541906372011,33.55,33.77,-0.22,-0.28
1541906372199,33.51,33.73,-0.22,-0.28
1541906372402,33.55,33.73,-0.18,-0.28
1541906372605,33.57,33.65,-0.08,-0.28
1541906372808,33.57,33.69,-0.12,-0.28
1541906372996,33.55,33.71,-0.16,-0.27
1541906373199,33.55,33.65,-0.10,-0.27
1541906373402,33.41,33.65,-0.24,-0.27
1541906373605,33.47,33.63,-0.16,-0.27
1541906373808,33.41,33.65,-0.24,-0.26
1541906373996,33.43,33.65,-0.22,-0.26
1541906374199,33.41,33.69,-0.28,-0.26
1541906374402,33.51,33.63,-0.12,-0.25
1541906374605,33.49,33.61,-0.12,-0.25
1541906374808,33.55,33.57,-0.02,-0.25
1541906374996,33.47,33.61,-0.14,-0.25
1541906375199,33.49,33.65,-0.16,-0.24
1541906375402,33.47,33.65,-0.18,-0.24
1541906375605,33.51,33.71,-0.20,-0.24
1541906375809,33.51,33.63,-0.12,-0.23
1541906375996,33.51,33.69,-0.18,-0.23
1541906376199,33.55,33.65,-0.10,-0.23
1541906376402,33.49,33.63,-0.14,-0.23
1541906376606,33.51,33.63,-0.12,-0.22
1541906376793,33.47,33.61,-0.14,-0.22
1541906377012,33.47,33.63,-0.16,-0.22
1541906377199,33.39,33.63,-0.24,-0.22
1541906377403,33.43,33.63,-0.20,-0.21
1541906377606,33.47,33.69,-0.22,-0.21
1541906377793,33.51,33.71,-0.20,-0.21
1541906377997,33.47,33.69,-0.22,-0.21
1541906378200,33.47,33.71,-0.24,-0.21
1541906378403,33.43,33.69,-0.26,-0.20
1541906378606,33.49,33.71,-0.22,-0.20
1541906378809,33.49,33.69,-0.20,-0.20
1541906378997,33.51,33.65,-0.14,-0.20
1541906379200,33.55,33.65,-0.10,-0.20
1541906379403,33.51,33.63,-0.12,-0.20
1541906379606,33.49,33.63,-0.14,-0.20
1541906379809,33.55,33.63,-0.08,-0.20
1541906379997,33.47,33.61,-0.14,-0.20
1541906380200,33.47,33.63,-0.16,-0.20
1541906380403,33.47,33.63,-0.16,-0.19
1541906380606,33.43,33.61,-0.18,-0.19
1541906380793,33.43,33.63,-0.20,-0.19
1541906380997,33.41,33.65,-0.24,-0.19
1541906381200,33.43,33.57,-0.14,-0.19
1541906381403,33.41,33.63,-0.22,-0.19
1541906381606,33.41,33.65,-0.24,-0.19
1541906381793,33.49,33.63,-0.14,-0.19
1541906381997,33.47,33.63,-0.16,-0.19
1541906382200,33.51,33.63,-0.12,-0.19
1541906382403,33.49,33.63,-0.14,-0.18
1541906382591,33.47,33.61,-0.14,-0.18
1541906382794,33.57,33.55,0.02,-0.18
1541906382997,33.61,33.57,0.04,-0.18
1541906383200,33.61,33.51,0.10,-0.18
1541906383403,33.65,33.57,0.08,-0.18
1541906383591,33.65,33.55,0.10,-0.17
1541906383794,33.51,33.55,-0.04,-0.17
1541906383997,33.43,33.61,-0.18,-0.16
1541906384200,33.55,33.55,0.00,-0.16
1541906384403,33.55,33.55,0.00,-0.15
1541906384606,33.49,33.57,-0.08,-0.15
1541906384794,33.51,33.61,-0.10,-0.15
1541906384997,33.55,33.65,-0.10,-0.14
1541906385200,33.55,33.61,-0.06,-0.14
1541906385388,33.55,33.57,-0.02,-0.13
1541906385591,33.47,33.57,-0.10,-0.13
1541906385794,33.41,33.51,-0.10,-0.13
1541906385997,33.43,33.61,-0.18,-0.12
1541906386200,33.43,33.61,-0.18,-0.12
1541906386403,33.55,33.51,0.04,-0.12
1541906386591,33.49,33.57,-0.08,-0.12
1541906386794,33.51,33.55,-0.04,-0.11
1541906386997,33.51,33.51,0.00,-0.11
1541906387198,33.51,33.57,-0.06,-0.11
1541906387401,33.47,33.47,0.00,-0.11
1541906387604,33.43,33.49,-0.06,-0.10
1541906387791,33.35,33.51,-0.16,-0.10
1541906387994,33.33,33.55,-0.22,-0.10
1541906388198,33.41,33.57,-0.16,-0.10
1541906388401,33.43,33.55,-0.12,-0.10
1541906388588,33.49,33.61,-0.12,-0.10
1541906388791,33.47,33.57,-0.10,-0.10
1541906388995,33.47,33.57,-0.10,-0.09
1541906389198,33.47,33.51,-0.04,-0.09
1541906389401,33.43,33.51,-0.08,-0.09
1541906389588,33.47,33.51,-0.04,-0.09
1541906389791,33.47,33.55,-0.08,-0.09
1541906389995,33.47,33.61,-0.14,-0.09
1541906390198,33.51,33.51,0.00,-0.09
1541906390401,33.51,33.51,0.00,-0.09
1541906390588,33.51,33.51,0.00,-0.09
1541906390791,33.57,33.51,0.06,-0.09
1541906390995,33.57,33.51,0.06,-0.09
1541906391198,33.57,33.51,0.06,-0.09
1541906391401,33.49,33.49,0.00,-0.08
1541906391588,33.43,33.55,-0.12,-0.08
1541906391792,33.43,33.51,-0.08,-0.08
1541906391995,33.47,33.51,-0.04,-0.08
1541906392198,33.49,33.57,-0.08,-0.08
1541906392385,33.49,33.55,-0.06,-0.08
1541906392588,33.51,33.51,0.00,-0.07
1541906392791,33.43,33.51,-0.08,-0.07
1541906392995,33.47,33.49,-0.02,-0.07
1541906393198,33.55,33.49,0.06,-0.07
1541906393386,33.51,33.57,-0.06,-0.07
1541906393589,33.57,33.55,0.02,-0.07
1541906393792,33.57,33.61,-0.04,-0.07
1541906393995,33.55,33.57,-0.02,-0.06
1541906394198,33.49,33.65,-0.16,-0.06
1541906394386,33.55,33.61,-0.06,-0.06
1541906394604,33.47,33.63,-0.16,-0.06
1541906394792,33.39,33.63,-0.24,-0.06
1541906394995,33.35,33.61,-0.26,-0.06
1541906395198,33.39,33.61,-0.22,-0.06
1541906395401,33.41,33.55,-0.14,-0.06
1541906395589,33.39,33.57,-0.18,-0.06
1541906395792,33.41,33.55,-0.14,-0.07
1541906395995,33.41,33.57,-0.16,-0.07
1541906396199,33.43,33.61,-0.18,-0.07
1541906396402,33.47,33.57,-0.10,-0.07
1541906396589,33.49,33.65,-0.16,-0.08
1541906396792,33.51,33.63,-0.12,-0.08
1541906396996,33.51,33.65,-0.14,-0.08
1541906397199,33.55,33.55,0.00,-0.08
1541906397402,33.49,33.61,-0.12,-0.08
1541906397589,33.43,33.55,-0.12,-0.09
1541906397792,33.43,33.55,-0.12,-0.09
1541906397996,33.49,33.63,-0.14,-0.09
1541906398199,33.51,33.51,0.00,-0.09
1541906398386,33.47,33.55,-0.08,-0.09
1541906398589,33.39,33.55,-0.16,-0.09
1541906398792,33.35,33.49,-0.14,-0.09
1541906398996,33.35,33.47,-0.12,-0.09
1541906399199,33.35,33.51,-0.16,-0.09
1541906399386,33.39,33.49,-0.10,-0.10
1541906399589,33.41,33.49,-0.08,-0.10
1541906399792,33.47,33.55,-0.08,-0.10
1541906399996,33.39,33.61,-0.22,-0.10
1541906400183,33.47,33.55,-0.08,-0.10
1541906400386,33.49,33.57,-0.08,-0.10
1541906400589,33.49,33.57,-0.08,-0.10
1541906400793,33.51,33.61,-0.10,-0.10
1541906400996,33.47,33.57,-0.10,-0.10
1541906401183,33.51,33.55,-0.04,-0.10
1541906401387,33.47,33.57,-0.10,-0.10
1541906401590,33.55,33.55,0.00,-0.10
1541906401793,33.51,33.49,0.02,-0.10
1541906401996,33.55,33.55,0.00,-0.10
1541906402184,33.55,33.51,0.04,-0.10
1541906402387,33.57,33.47,0.10,-0.10
1541906402590,33.51,33.51,0.00,-0.10
1541906402793,33.51,33.49,0.02,-0.09
1541906402996,33.41,33.49,-0.08,-0.09
1541906403184,33.35,33.43,-0.08,-0.09
1541906403387,33.43,33.55,-0.12,-0.08
1541906403590,33.49,33.55,-0.06,-0.08
1541906403793,33.47,33.49,-0.02,-0.08
1541906403996,33.51,33.49,0.02,-0.08
1541906404184,33.51,33.57,-0.06,-0.08
1541906404387,33.51,33.57,-0.06,-0.07
1541906404590,33.55,33.51,0.04,-0.07
1541906404793,33.57,33.61,-0.04,-0.07
1541906404981,33.55,33.55,0.00,-0.07
1541906405184,33.57,33.47,0.10,-0.07
1541906405387,33.55,33.47,0.08,-0.06
1541906405590,33.57,33.47,0.10,-0.06
1541906405793,33.47,33.41,0.06,-0.06
1541906405981,33.47,33.41,0.06,-0.06
1541906406184,33.49,33.43,0.06,-0.05
1541906406387,33.55,33.41,0.14,-0.05
1541906406590,33.47,33.47,0.00,-0.05
1541906406793,33.35,33.47,-0.12,-0.04
1541906406981,33.39,33.51,-0.12,-0.04
1541906407184,33.35,33.49,-0.14,-0.04
1541906407387,33.33,33.51,-0.18,-0.04
1541906407590,33.39,33.49,-0.10,-0.04
1541906407778,33.43,33.49,-0.06,-0.04
1541906407997,33.43,33.51,-0.08,-0.04
1541906408184,33.43,33.55,-0.12,-0.04
1541906408387,33.49,33.51,-0.02,-0.04
1541906408590,33.51,33.57,-0.06,-0.04
1541906408793,33.51,33.55,-0.04,-0.04
1541906408983,33.55,33.55,0.00,-0.04
1541906409186,33.55,33.61,-0.06,-0.04
1541906409389,33.55,33.51,0.04,-0.04
1541906409577,33.61,33.51,0.10,-0.04
1541906409795,33.51,33.55,-0.04,-0.04
1541906409983,33.55,33.51,0.04,-0.03
1541906410186,33.61,33.47,0.14,-0.03
1541906410389,33.55,33.51,0.04,-0.03
1541906410592,33.57,33.51,0.06,-0.03
1541906410780,33.51,33.47,0.04,-0.03
1541906410983,33.51,33.49,0.02,-0.02
1541906411186,33.49,33.41,0.08,-0.02
1541906411389,33.41,33.49,-0.08,-0.02
1541906411592,33.41,33.43,-0.02,-0.02
1541906411780,33.43,33.51,-0.08,-0.01
1541906411983,33.43,33.55,-0.12,-0.01
1541906412186,33.47,33.49,-0.02,-0.01
1541906412390,33.51,33.51,0.00,-0.01
1541906412593,33.51,33.49,0.02,-0.01
1541906412780,33.47,33.55,-0.08,-0.01
1541906412983,33.43,33.55,-0.12,-0.01
1541906413187,33.55,33.51,0.04,-0.01
1541906413390,33.49,33.55,-0.06,-0.01
1541906413577,33.51,33.51,0.00,-0.01
1541906413780,33.43,33.51,-0.08,-0.01
1541906413984,33.41,33.51,-0.10,-0.01
1541906414187,33.47,33.55,-0.08,-0.01
1541906414390,33.57,33.57,0.00,-0.01
1541906414577,33.51,33.61,-0.10,-0.01
1541906414780,33.49,33.55,-0.06,-0.01
1541906414984,33.55,33.57,-0.02,-0.01
1541906415187,33.51,33.55,-0.04,-0.02
1541906415390,33.39,33.51,-0.12,-0.02
1541906415577,33.35,33.51,-0.16,-0.02
1541906415780,33.29,33.47,-0.18,-0.02
1541906415984,33.29,33.55,-0.26,-0.02
1541906416187,33.35,33.49,-0.14,-0.02
1541906416390,33.35,33.49,-0.14,-0.03
1541906416577,33.33,33.43,-0.10,-0.03
1541906416780,33.41,33.43,-0.02,-0.03
1541906416984,33.43,33.47,-0.04,-0.04
1541906417187,33.41,33.51,-0.10,-0.04
1541906417374,33.41,33.51,-0.10,-0.04
1541906417593,33.51,33.51,0.00,-0.04
1541906417781,33.51,33.49,0.02,-0.04
1541906417984,33.51,33.47,0.04,-0.04
1541906418187,33.43,33.51,-0.08,-0.05
1541906418390,33.43,33.49,-0.06,-0.05
1541906418578,33.35,33.49,-0.14,-0.05
