1541905618536,33.47,33.79,-0.32,-0.36
1541905618739,33.41,33.77,-0.36,-0.36
1541905618942,33.39,33.73,-0.34,-0.36
1541905619145,33.39,33.69,-0.30,-0.36
1541905619349,33.43,33.73,-0.30,-0.36
1541905619537,33.41,33.77,-0.36,-0.36
1541905619740,33.41,33.73,-0.32,-0.35
1541905619943,33.39,33.73,-0.34,-0.35
1541905620146,33.39,33.83,-0.44,-0.35
1541905620349,33.41,33.77,-0.36,-0.35
1541905620537,33.47,33.77,-0.30,-0.35
1541905620740,33.47,33.73,-0.26,-0.35
1541905620943,33.55,33.79,-0.24,-0.35
1541905621130,33.51,33.83,-0.32,-0.35
1541905621349,33.49,33.77,-0.28,-0.35
1541905621537,33.41,33.77,-0.36,-0.35
1541905621740,33.39,33.73,-0.34,-0.35
1541905621943,33.35,33.73,-0.38,-0.34
1541905622146,33.39,33.71,-0.32,-0.34
1541905622349,33.35,33.73,-0.38,-0.34
1541905622537,33.35,33.77,-0.42,-0.34
1541905622740,33.43,33.69,-0.26,-0.34
1541905622943,33.47,33.69,-0.22,-0.34
1541905623146,33.49,33.73,-0.24,-0.34
1541905623334,33.47,33.69,-0.22,-0.34
1541905623537,33.47,33.79,-0.32,-0.34
1541905623740,33.47,33.83,-0.36,-0.34
1541905623943,33.47,33.83,-0.36,-0.34
1541905624146,33.51,33.79,-0.28,-0.34
1541905624334,33.61,33.77,-0.16,-0.34
1541905624537,33.61,33.79,-0.18,-0.33
1541905624740,33.57,33.85,-0.28,-0.33
1541905624943,33.57,33.77,-0.20,-0.33
1541905625146,33.63,33.73,-0.10,-0.33
1541905625334,33.51,33.71,-0.20,-0.33
1541905625537,33.55,33.71,-0.16,-0.32
1541905625740,33.51,33.65,-0.14,-0.32
1541905625943,33.47,33.69,-0.22,-0.31
1541905626131,33.39,33.73,-0.34,-0.31
1541905626334,33.39,33.71,-0.32,-0.31
1541905626537,33.33,33.65,-0.32,-0.30
1541905626741,33.35,33.63,-0.28,-0.30
1541905626944,33.41,33.57,-0.16,-0.30
1541905627131,33.39,33.57,-0.18,-0.30
1541905627334,33.35,33.57,-0.22,-0.29
1541905627538,33.25,33.55,-0.30,-0.29
1541905627741,33.33,33.57,-0.24,-0.29
1541905627944,33.29,33.63,-0.34,-0.29
1541905628131,33.35,33.57,-0.22,-0.29
1541905628334,33.41,33.65,-0.24,-0.29
1541905628538,33.43,33.65,-0.22,-0.28
1541905628741,33.47,33.71,-0.24,-0.28
1541905628928,33.43,33.65,-0.22,-0.28
1541905629131,33.47,33.71,-0.24,-0.28
1541905629334,33.51,33.73,-0.22,-0.28
1541905629538,33.51,33.71,-0.20,-0.28
1541905629741,33.47,33.65,-0.18,-0.28
1541905629928,33.47,33.65,-0.18,-0.28
1541905630131,33.49,33.71,-0.22,-0.27
1541905630334,33.47,33.69,-0.22,-0.27
1541905630537,33.47,33.73,-0.26,-0.27
1541905630725,33.47,33.69,-0.22,-0.27
1541905630928,33.47,33.69,-0.22,-0.27
1541905631131,33.49,33.57,-0.08,-0.27
1541905631334,33.51,33.55,-0.04,-0.26
1541905631538,33.47,33.63,-0.16,-0.26
1541905631741,33.35,33.55,-0.20,-0.26
1541905631929,33.39,33.61,-0.22,-0.25
1541905632132,33.35,33.65,-0.30,-0.25
1541905632335,33.41,33.69,-0.28,-0.25
1541905632538,33.39,33.69,-0.30,-0.25
1541905632725,33.35,33.71,-0.36,-0.24
1541905632928,33.41,33.65,-0.24,-0.24
1541905633132,33.41,33.61,-0.20,-0.24
1541905633335,33.39,33.65,-0.26,-0.24
1541905633538,33.47,33.69,-0.22,-0.24
1541905633726,33.49,33.69,-0.20,-0.24
1541905633929,33.43,33.65,-0.22,-0.24
1541905634132,33.55,33.61,-0.06,-0.24
1541905634335,33.51,33.65,-0.14,-0.24
1541905634538,33.47,33.69,-0.22,-0.24
1541905634726,33.43,33.73,-0.30,-0.24
1541905634944,33.47,33.65,-0.18,-0.23
1541905635132,33.51,33.61,-0.10,-0.23
1541905635335,33.49,33.71,-0.22,-0.23
1541905635531,33.51,33.69,-0.18,-0.23
1541905635734,33.55,33.73,-0.18,-0.23
1541905635921,33.55,33.71,-0.16,-0.23
1541905636140,33.55,33.77,-0.22,-0.23
1541905636327,33.55,33.73,-0.18,-0.23
1541905636530,33.63,33.77,-0.14,-0.22
1541905636734,33.63,33.73,-0.10,-0.22
1541905636937,33.63,33.71,-0.08,-0.22
1541905637140,33.63,33.69,-0.06,-0.22
1541905637327,33.57,33.73,-0.16,-0.22
1541905637532,33.63,33.69,-0.06,-0.21
1541905637735,33.57,33.57,0.00,-0.21
1541905637938,33.57,33.61,-0.04,-0.21
1541905638126,33.55,33.61,-0.06,-0.20
1541905638329,33.49,33.61,-0.12,-0.20
1541905638532,33.51,33.65,-0.14,-0.20
1541905638735,33.51,33.73,-0.22,-0.19
1541905638923,33.55,33.73,-0.18,-0.19
1541905639126,33.57,33.65,-0.08,-0.19
1541905639329,33.57,33.65,-0.08,-0.19
1541905639536,33.47,33.71,-0.24,-0.18
1541905639723,33.43,33.69,-0.26,-0.18
1541905639926,33.41,33.69,-0.28,-0.18
1541905640129,33.43,33.71,-0.28,-0.18
1541905640332,33.43,33.69,-0.26,-0.18
1541905640535,33.49,33.71,-0.22,-0.18
1541905640723,33.57,33.73,-0.16,-0.18
1541905640926,33.55,33.71,-0.16,-0.18
1541905641129,33.61,33.65,-0.04,-0.18
1541905641332,33.55,33.71,-0.16,-0.18
1541905641536,33.55,33.71,-0.16,-0.18
1541905641723,33.63,33.69,-0.06,-0.17
1541905641926,33.57,33.61,-0.04,-0.17
1541905642129,33.61,33.73,-0.12,-0.17
1541905642332,33.49,33.65,-0.16,-0.17
1541905642521,33.47,33.61,-0.14,-0.17
1541905642725,33.41,33.57,-0.16,-0.17
1541905642928,33.41,33.57,-0.16,-0.17
1541905643131,33.43,33.61,-0.18,-0.17
1541905643334,33.41,33.57,-0.16,-0.16
1541905643521,33.35,33.61,-0.26,-0.16
1541905643724,33.41,33.57,-0.16,-0.16
1541905643928,33.41,33.57,-0.16,-0.16
1541905644131,33.49,33.61,-0.12,-0.16
1541905644318,33.55,33.69,-0.14,-0.16
1541905644526,33.51,33.65,-0.14,-0.16
1541905644729,33.55,33.61,-0.06,-0.16
1541905644933,33.57,33.57,0.00,-0.16
1541905645120,33.61,33.61,0.00,-0.16
1541905645323,33.57,33.71,-0.14,-0.15
1541905645526,33.61,33.65,-0.04,-0.15
1541905645730,33.51,33.61,-0.10,-0.15
1541905645933,33.51,33.61,-0.10,-0.15
1541905646120,33.49,33.61,-0.12,-0.15
1541905646323,33.47,33.57,-0.10,-0.14
1541905646527,33.41,33.71,-0.30,-0.14
1541905646730,33.43,33.71,-0.28,-0.14
