1540335409153,35.31,30.57,4.74,4.76
1540335409353,35.31,30.53,4.78,4.76
1540335409550,35.29,30.57,4.72,4.76
1540335409755,35.37,30.57,4.80,4.76
1540335409955,35.29,30.53,4.76,4.76
1540335410152,35.29,30.53,4.76,4.76
1540335410353,35.31,30.63,4.68,4.76
1540335410557,35.31,30.57,4.74,4.76
1540335410753,35.29,30.53,4.76,4.76
1540335410955,35.35,30.53,4.82,4.76
1540335411151,35.27,30.53,4.74,4.76
1540335411352,35.29,30.57,4.72,4.76
1540335411553,35.35,30.59,4.76,4.76
1540335411749,35.31,30.57,4.74,4.76
1540335411954,35.29,30.51,4.78,4.76
1540335412154,35.35,30.47,4.88,4.76
1540335412351,35.35,30.53,4.82,4.76
1540335412552,35.31,30.45,4.86,4.76
1540335412749,35.35,30.47,4.88,4.76
1540335412949,35.31,30.43,4.88,4.76
1540335413154,35.29,30.47,4.82,4.76
1540335413351,35.37,30.45,4.92,4.76
1540335413551,35.29,30.51,4.78,4.76
1540335413752,35.29,30.51,4.78,4.77
1540335413949,35.35,30.45,4.90,4.76
1540335414153,35.31,30.51,4.80,4.77
1540335414354,35.31,30.47,4.84,4.77
1540335414550,35.31,30.43,4.88,4.77
1540335414752,35.29,30.47,4.82,4.78
1540335414948,35.31,30.47,4.84,4.77
1540335415149,35.35,30.47,4.88,4.78
1540335415353,35.31,30.45,4.86,4.78
1540335415550,35.35,30.45,4.90,4.78
1540335415751,35.35,30.45,4.90,4.78
1540335415951,35.35,30.47,4.88,4.78
1540335416148,35.31,30.51,4.80,4.79
1540335416349,35.27,30.47,4.80,4.79
1540335416554,35.29,30.39,4.90,4.79
1540335416750,35.31,30.45,4.86,4.79
1540335416951,35.35,30.43,4.92,4.79
1540335417148,35.29,30.45,4.84,4.80
1540335417348,35.29,30.45,4.84,4.80
1540335417552,35.27,30.53,4.74,4.80
1540335417750,35.29,30.47,4.82,4.80
1540335417950,35.27,30.53,4.74,4.80
1540335418151,35.27,30.57,4.70,4.81
1540335418348,35.29,30.45,4.84,4.80
1540335418548,35.29,30.47,4.82,4.81
1540335418745,35.31,30.53,4.78,4.81
1540335418950,35.31,30.47,4.84,4.80
1540335419151,35.27,30.47,4.80,4.81
1540335419347,35.27,30.53,4.74,4.80
1540335419548,35.29,30.47,4.82,4.81
1540335419749,35.29,30.51,4.78,4.81
