1539763107839,34.89,35.01,-0.12,-0.15
1539763108036,34.89,35.01,-0.12,-0.15
1539763108237,34.77,35.01,-0.24,-0.15
1539763108433,34.75,34.97,-0.22,-0.16
1539763108637,34.69,35.01,-0.32,-0.16
1539763108834,34.71,34.97,-0.26,-0.16
1539763109035,34.67,34.91,-0.24,-0.16
1539763109236,34.71,34.97,-0.26,-0.16
1539763109436,34.83,34.99,-0.16,-0.17
1539763109637,34.85,34.93,-0.08,-0.17
1539763109833,34.83,34.97,-0.14,-0.17
1539763110038,34.89,34.97,-0.08,-0.17
1539763110235,34.81,34.99,-0.18,-0.17
1539763110436,34.91,34.97,-0.06,-0.17
1539763110633,34.81,35.01,-0.20,-0.18
1539763110833,34.83,34.97,-0.14,-0.18
1539763111034,34.85,34.99,-0.14,-0.18
1539763111235,34.89,34.97,-0.08,-0.18
1539763111435,34.89,34.97,-0.08,-0.18
1539763111632,34.85,34.97,-0.12,-0.18
1539763111836,34.91,34.97,-0.06,-0.18
1539763112033,34.93,34.99,-0.06,-0.18
1539763112234,34.85,34.97,-0.12,-0.17
1539763112430,34.85,34.99,-0.14,-0.17
1539763112635,34.89,34.93,-0.04,-0.17
1539763112832,34.91,34.97,-0.06,-0.17
1539763113033,34.83,34.85,-0.02,-0.17
1539763113237,34.71,34.89,-0.18,-0.17
1539763113434,34.71,34.85,-0.14,-0.16
1539763113635,34.61,34.83,-0.22,-0.16
1539763113831,34.61,34.83,-0.22,-0.16
1539763114036,34.61,34.83,-0.22,-0.16
1539763114232,34.69,34.85,-0.16,-0.16
1539763114433,34.71,34.81,-0.10,-0.16
1539763114630,34.83,34.81,0.02,-0.16
1539763114834,34.77,34.83,-0.06,-0.16
1539763115031,34.77,34.81,-0.04,-0.15
1539763115232,34.81,34.81,0.00,-0.15
1539763115437,34.77,34.77,0.00,-0.15
1539763115630,34.75,34.75,0.00,-0.15
1539763115834,34.71,34.77,-0.06,-0.14
1539763116031,34.71,34.77,-0.06,-0.14
1539763116231,34.69,34.83,-0.14,-0.14
1539763116428,34.69,34.81,-0.12,-0.14
1539763116633,34.69,34.81,-0.12,-0.13
1539763116833,34.75,34.75,0.00,-0.13
1539763117030,34.71,34.77,-0.06,-0.13
1539763117231,34.75,34.77,-0.02,-0.13
1539763117428,34.77,34.83,-0.06,-0.12
1539763117633,34.85,34.81,0.04,-0.12
1539763117833,34.91,34.77,0.14,-0.12
1539763118029,34.89,34.75,0.14,-0.12
1539763118235,34.93,34.81,0.12,-0.11
1539763118431,34.91,34.75,0.16,-0.11
1539763118631,34.93,34.81,0.12,-0.10
1539763118828,34.89,34.77,0.12,-0.10
1539763119033,35.01,34.81,0.20,-0.09
1539763119229,34.99,34.75,0.24,-0.09
1539763119430,34.89,34.75,0.14,-0.08
1539763119627,34.75,34.77,-0.02,-0.07
1539763119832,34.71,34.75,-0.04,-0.07
1539763120028,34.67,34.75,-0.08,-0.06
1539763120228,34.69,34.81,-0.12,-0.06
1539763120426,34.75,34.77,-0.02,-0.05
1539763120630,34.77,34.81,-0.04,-0.05
1539763120831,34.83,34.77,0.06,-0.05
1539763121028,34.85,34.77,0.08,-0.05
1539763121232,34.83,34.77,0.06,-0.04
1539763121429,34.83,34.71,0.12,-0.04
1539763121630,34.89,34.81,0.08,-0.04
1539763121826,34.93,34.77,0.16,-0.04
1539763122031,34.97,34.81,0.16,-0.03
1539763122227,34.97,34.75,0.22,-0.03
1539763122428,34.99,34.81,0.18,-0.02
1539763122633,34.93,34.81,0.12,-0.02
1539763122826,34.75,34.75,0.00,-0.02
1539763123030,34.71,34.77,-0.06,-0.01
1539763123226,34.55,34.71,-0.16,-0.01
1539763123428,34.53,34.71,-0.18,-0.01
1539763123624,34.55,34.71,-0.16,-0.01
1539763123829,34.67,34.77,-0.10,-0.01
1539763124030,34.69,34.77,-0.08,-0.01
1539763124227,34.69,34.75,-0.06,-0.01
1539763124431,34.71,34.75,-0.04,-0.01
1539763124628,34.77,34.77,0.00,-0.01
1539763124828,34.83,34.71,0.12,-0.01
1539763125025,34.85,34.71,0.14,-0.01
1539763125226,34.83,34.77,0.06,-0.01
1539763125430,34.89,34.75,0.14,-0.01
1539763125628,34.85,34.71,0.14,-0.01
1539763125828,34.89,34.71,0.18,-0.01
1539763126025,34.85,34.69,0.16,-0.01
1539763126229,34.85,34.69,0.16,-0.00
1539763126426,34.83,34.75,0.08,-0.00
1539763126626,34.83,34.77,0.06,0.00
1539763126823,34.91,34.77,0.14,0.00
1539763127028,34.85,34.75,0.10,0.01
1539763127225,34.69,34.77,-0.08,0.01
1539763127426,34.77,34.81,-0.04,0.01
1539763127636,34.67,34.77,-0.10,0.01
1539763127826,34.77,34.77,0.00,0.01
1539763128028,34.81,34.71,0.10,0.02
1539763128224,34.83,34.77,0.06,0.02
1539763128424,34.89,34.77,0.12,0.02
1539763128630,34.89,34.83,0.06,0.02
1539763128826,34.91,34.85,0.06,0.02
1539763129027,34.89,34.71,0.18,0.02
1539763129223,34.91,34.81,0.10,0.02
1539763129428,34.85,34.81,0.04,0.03
1539763129625,34.99,34.75,0.24,0.03
1539763129825,34.83,34.77,0.06,0.03
1539763130026,34.67,34.77,-0.10,0.04
1539763130227,34.67,34.77,-0.10,0.04
1539763130428,34.61,34.85,-0.24,0.04
1539763130624,34.67,34.83,-0.16,0.04
1539763130825,34.63,34.81,-0.18,0.04
1539763131026,34.53,34.83,-0.30,0.04
1539763131226,34.63,34.75,-0.12,0.04
1539763131423,34.59,34.75,-0.16,0.03
1539763131624,34.67,34.71,-0.04,0.03
1539763131824,34.67,34.77,-0.10,0.03
1539763132025,34.77,34.71,0.06,0.02
1539763132226,34.81,34.75,0.06,0.02
1539763132422,34.71,34.75,-0.04,0.02
1539763132627,34.67,34.71,-0.04,0.02
1539763132824,34.61,34.81,-0.20,0.01
1539763133024,34.63,34.83,-0.20,0.01
1539763133221,34.67,34.83,-0.16,0.01
1539763133426,34.75,34.83,-0.08,0.01
1539763133622,34.77,34.85,-0.08,0.00
1539763133823,34.77,34.83,-0.06,0.00
1539763134028,34.81,34.85,-0.04,-0.00
1539763134224,34.83,34.89,-0.06,-0.01
1539763134424,34.63,34.93,-0.30,-0.01
1539763134621,34.61,34.83,-0.22,-0.01
1539763134826,34.53,34.83,-0.30,-0.01
1539763135023,34.55,34.89,-0.34,-0.02
1539763135224,34.55,34.81,-0.26,-0.02
1539763135421,34.67,34.81,-0.14,-0.03
1539763135625,34.63,34.77,-0.14,-0.03
1539763135822,34.61,34.77,-0.16,-0.04
1539763136023,34.47,34.71,-0.24,-0.04
1539763136219,34.39,34.69,-0.30,-0.05
1539763136424,34.43,34.71,-0.28,-0.05
1539763136624,34.47,34.71,-0.24,-0.06
1539763136821,34.53,34.81,-0.28,-0.06
1539763137026,34.55,34.83,-0.28,-0.07
1539763137223,34.61,34.85,-0.24,-0.07
1539763137423,34.59,34.91,-0.32,-0.08
1539763137619,34.59,35.13,-0.54,-0.08
1539763137820,34.59,35.67,-1.08,-0.09
1539763138025,34.53,36.61,-2.08,-0.10
1539763138221,34.55,37.45,-2.90,-0.12
1539763138422,34.71,38.13,-3.42,-0.14
1539763138623,34.75,38.63,-3.88,-0.17
1539763138824,34.63,39.01,-4.38,-0.22
1539763139020,34.71,39.13,-4.42,-0.28
1539763139225,34.71,39.27,-4.56,-0.34
1539763139422,34.77,39.23,-4.46,-0.42
1539763139623,34.77,39.29,-4.52,-0.50
1539763139820,34.75,39.15,-4.40,-0.59
1539763140024,34.83,39.11,-4.28,-0.69
1539763140221,34.81,38.97,-4.16,-0.79
1539763140422,34.83,38.81,-3.98,-0.89
1539763140617,34.83,38.77,-3.94,-0.99
1539763140823,34.91,38.63,-3.72,-1.09
1539763141019,34.89,38.45,-3.56,-1.19
1539763141223,34.77,38.35,-3.58,-1.29
1539763141421,34.71,38.21,-3.50,-1.39
1539763141618,34.61,38.13,-3.52,-1.47
1539763141822,34.59,38.09,-3.50,-1.57
1539763142023,34.63,38.01,-3.38,-1.65
1539763142219,34.63,38.01,-3.38,-1.73
