1540106908159,38,-1.40,-1.59
1540106934449,37.17,38.29,-1.12,-0.96
1540106934650,37.09,38.27,-1.18,-0.97
1540106934846,37.11,38.21,-1.10,-0.97
1540106935051,37.13,38.29,-1.16,-0.98
1540106935252,37.13,38.27,-1.14,-0.98
1540106935448,37.17,38.29,-1.12,-0.99
1540106935653,37.05,38.21,-1.16,-0.99
1540106935850,37.11,38.25,-1.14,-1.00
1540106936050,37.13,38.21,-1.08,-1.00
1540106936247,37.17,38.19,-1.02,-1.01
1540106936451,37.13,38.17,-1.04,-1.01
1540106936652,37.11,38.19,-1.08,-1.02
1540106936849,37.09,38.17,-1.08,-1.02
1540106937050,37.05,38.19,-1.14,-1.02
1540106937246,37.11,38.19,-1.08,-1.03
1540106937451,37.01,38.19,-1.18,-1.03
1540106937647,37.01,38.25,-1.24,-1.03
1540106937848,37.01,38.33,-1.32,-1.04
1540106938045,37.01,38.35,-1.34,-1.04
1540106938250,37.01,38.41,-1.40,-1.05
1540106938451,36.95,38.43,-1.48,-1.05
1540106938648,36.89,38.41,-1.52,-1.06
1540106938848,36.97,38.37,-1.40,-1.07
1540106939049,36.95,38.35,-1.40,-1.08
1540106939249,37.01,38.35,-1.34,-1.08
1540106939445,36.97,38.29,-1.32,-1.09
1540106939647,37.03,38.33,-1.30,-1.10
1540106939850,37.09,38.29,-1.20,-1.11
1540106940048,37.09,38.33,-1.24,-1.12
1540106940248,37.05,38.33,-1.28,-1.13
1540106940445,37.09,38.33,-1.24,-1.13
1540106940645,37.09,38.27,-1.18,-1.14
1540106940851,37.11,38.33,-1.22,-1.15
1540106941047,37.13,38.29,-1.16,-1.15
1540106941248,37.13,38.35,-1.22,-1.16
1540106941444,37.11,38.25,-1.14,-1.16
1540106941649,37.11,38.25,-1.14,-1.17
1540106941846,37.09,38.25,-1.16,-1.17
1540106942047,37.11,38.25,-1.14,-1.17
1540106942247,37.05,38.19,-1.14,-1.17
1540106942447,37.05,38.19,-1.14,-1.18
1540106942648,37.11,38.19,-1.08,-1.18
1540106942845,37.05,38.17,-1.12,-1.18
1540106943046,37.03,38.17,-1.14,-1.18
1540106943242,37.05,38.13,-1.08,-1.18
1540106943447,37.05,38.17,-1.12,-1.18
1540106943648,37.01,38.13,-1.12,-1.18
1540106943845,37.01,38.17,-1.16,-1.18
1540106944049,37.05,38.17,-1.12,-1.18
1540106944246,37.01,38.13,-1.12,-1.18
1540106944446,37.05,38.19,-1.14,-1.18
1540106944643,37.05,38.21,-1.16,-1.17
1540106944843,37.03,38.17,-1.14,-1.17
1540106945049,37.03,38.19,-1.16,-1.17
1540106945245,37.03,38.19,-1.16,-1.17
1540106945446,37.01,38.13,-1.12,-1.17
1540106945642,37.01,38.19,-1.18,-1.17
1540106945848,36.95,38.19,-1.24,-1.17
1540106946044,37.03,38.17,-1.14,-1.17
1540106946245,37.01,38.17,-1.16,-1.17
1540106946449,37.03,38.17,-1.14,-1.17
1540106946642,37.03,38.17,-1.14,-1.17
1540106946847,37.05,38.17,-1.12,-1.17
1540106947044,37.05,38.25,-1.20,-1.17
1540106947244,37.09,38.13,-1.04,-1.17
1540106947441,37.03,38.19,-1.16,-1.17
1540106947645,37.09,38.13,-1.04,-1.17
1540106947846,37.11,38.19,-1.08,-1.17
1540106948043,37.05,38.17,-1.12,-1.16
1540106948247,37.09,38.19,-1.10,-1.16
1540106948444,37.05,38.13,-1.08,-1.16
1540106948644,37.11,38.21,-1.10,-1.16
1540106948842,37.11,38.17,-1.06,-1.16
1540106949042,37.11,38.17,-1.06,-1.16
1540106949239,37.11,38.17,-1.06,-1.15
1540106949444,37.05,38.17,-1.12,-1.15
1540106949645,37.11,38.17,-1.06,-1.15
1540106949725,Interruption
1540106949841,37.09,38.17,-1.08,-1.15
1540106950046,37.09,38.17,-1.08,-1.15
1540106950186,Reaction,0,0,0,461
1540106950242,37.03,38.13,-1.10,-1.14
1540106950442,37.09,38.17,-1.08,-1.14
1540106950644,37.05,38.19,-1.14,-1.14
1540106950840,37.13,38.19,-1.06,-1.14
1540106951045,37.11,38.17,-1.06,-1.14
1540106951241,37.01,38.17,-1.16,-1.13
1540106951442,37.05,38.17,-1.12,-1.13
1540106951638,37.05,38.17,-1.12,-1.13
1540106951844,37.03,38.17,-1.14,-1.13
1540106952040,37.01,38.13,-1.12,-1.13
1540106952241,37.05,38.17,-1.12,-1.13
1540106952441,37.03,38.13,-1.10,-1.13
1540106952639,37.03,38.13,-1.10,-1.12
1540106952843,37.03,38.17,-1.14,-1.12
1540106953040,37.05,38.17,-1.12,-1.12
1540106953240,37.05,38.17,-1.12,-1.12
1540106953436,37.05,38.19,-1.14,-1.12
