1540107976261,37.03,37.79,-0.76,-0.71
1540107976462,37.11,37.83,-0.72,-0.71
1540107976662,37.09,37.83,-0.74,-0.71
1540107976858,37.11,37.83,-0.72,-0.71
1540107977064,37.09,37.83,-0.74,-0.71
1540107977261,37.11,37.79,-0.68,-0.72
1540107977461,37.05,37.79,-0.74,-0.72
1540107977658,37.09,37.79,-0.70,-0.72
1540107977862,37.03,37.79,-0.76,-0.72
1540107978059,37.03,37.87,-0.84,-0.72
1540107978260,37.05,37.83,-0.78,-0.72
1540107978457,37.05,37.83,-0.78,-0.72
1540107978661,37.05,37.85,-0.80,-0.72
1540107978862,37.09,37.83,-0.74,-0.72
1540107979059,37.05,37.85,-0.80,-0.72
1540107979263,37.13,37.85,-0.72,-0.72
1540107979460,37.11,37.83,-0.72,-0.72
1540107979661,37.05,37.83,-0.78,-0.72
1540107979857,37.09,37.85,-0.76,-0.73
1540107980061,37.05,37.79,-0.74,-0.73
1540107980259,37.09,37.79,-0.70,-0.73
1540107980458,37.09,37.79,-0.70,-0.73
1540107980656,37.09,37.85,-0.76,-0.73
1540107980860,37.11,37.83,-0.72,-0.73
1540107981061,37.09,37.85,-0.76,-0.73
1540107981258,37.09,37.79,-0.70,-0.73
1540107981458,37.09,37.85,-0.76,-0.73
1540107981655,37.09,37.83,-0.74,-0.73
1540107981860,37.11,37.83,-0.72,-0.73
1540107982057,37.09,37.79,-0.70,-0.73
1540107982256,37.11,37.87,-0.76,-0.73
1540107982453,37.05,37.83,-0.78,-0.74
1540107982658,37.09,37.85,-0.76,-0.74
1540107982855,37.05,37.87,-0.82,-0.74
1540107983056,37.03,37.87,-0.84,-0.74
1540107983252,37.05,37.91,-0.86,-0.74
1540107983457,37.05,37.91,-0.86,-0.74
1540107983658,37.05,37.91,-0.86,-0.74
1540107983854,37.03,37.87,-0.84,-0.74
1540107984059,37.09,37.87,-0.78,-0.74
1540107984256,37.09,37.91,-0.82,-0.75
1540107984457,37.05,37.91,-0.86,-0.75
1540107984654,37.03,37.91,-0.88,-0.75
1540107984858,37.03,37.91,-0.88,-0.75
1540107985055,37.03,37.85,-0.82,-0.75
1540107985255,37.05,37.85,-0.80,-0.76
1540107985456,37.09,37.91,-0.82,-0.76
1540107985653,37.03,37.91,-0.88,-0.76
1540107985858,37.09,37.91,-0.82,-0.76
1540107986054,37.05,37.91,-0.86,-0.76
1540107986255,37.05,37.91,-0.86,-0.77
1540107986452,37.11,37.91,-0.80,-0.77
1540107986656,37.13,37.87,-0.74,-0.77
1540107986853,37.09,37.87,-0.78,-0.77
1540107987054,37.05,37.87,-0.82,-0.77
1540107987250,37.05,37.83,-0.78,-0.78
1540107987455,37.09,37.91,-0.82,-0.78
1540107987656,37.01,37.91,-0.90,-0.78
1540107987852,37.05,37.91,-0.86,-0.78
