1540344493203,38.03,32.83,5.20,5.23
1540344493408,38.05,32.83,5.22,5.23
1540344493604,38.03,32.85,5.18,5.23
1540344493805,38.03,32.83,5.20,5.23
1540344494002,38.01,32.89,5.12,5.23
1540344494203,38.01,32.83,5.18,5.23
1540344494399,37.99,32.85,5.14,5.23
1540344494604,38.03,32.91,5.12,5.23
1540344494801,38.03,32.91,5.12,5.23
1540344495001,38.03,32.81,5.22,5.23
1540344495206,38.03,32.77,5.26,5.23
1540344495402,38.05,32.67,5.38,5.23
1540344495603,38.03,32.63,5.40,5.22
1540344495800,38.05,32.63,5.42,5.23
1540344496001,38.03,32.61,5.42,5.22
1540344496197,38.03,32.61,5.42,5.23
1540344496401,38.05,32.59,5.46,5.23
1540344496602,38.05,32.59,5.46,5.23
1540344496799,38.01,32.59,5.42,5.24
1540344497003,38.03,32.55,5.48,5.24
1540344497200,38.01,32.53,5.48,5.24
1540344497401,38.03,32.55,5.48,5.25
1540344497598,37.99,32.59,5.40,5.25
1540344497799,38.03,32.67,5.36,5.26
1540344498003,38.03,32.75,5.28,5.26
1540344498200,38.01,32.83,5.18,5.27
1540344498401,38.01,32.85,5.16,5.27
1540344498597,38.01,32.77,5.24,5.27
1540344498802,38.01,32.67,5.34,5.28
1540344498999,38.01,32.61,5.40,5.28
1540344499199,38.03,32.49,5.54,5.28
1540344499396,38.03,32.49,5.54,5.28
1540344499597,38.01,32.53,5.48,5.28
1540344499801,38.05,32.59,5.46,5.29
1540344499997,38.03,32.61,5.42,5.29
1540344500198,38.05,32.63,5.42,5.30
1540344500395,38.01,32.67,5.34,5.30
1540344500599,38.03,32.63,5.40,5.30
1540344500796,38.01,32.53,5.48,5.31
1540344500997,38.01,32.61,5.40,5.31
1540344501198,38.01,32.55,5.46,5.32
1540344501395,38.03,32.59,5.44,5.32
1540344501599,38.01,32.55,5.46,5.32
1540344501796,38.05,32.61,5.44,5.33
1540344501996,38.01,32.77,5.24,5.33
1540344502193,37.99,32.81,5.18,5.34
1540344502398,38.05,32.85,5.20,5.34
1540344502598,38.01,32.85,5.16,5.34
1540344502795,38.09,32.85,5.24,5.35
1540344502996,38.01,32.91,5.10,5.34
1540344503192,38.05,32.91,5.14,5.34
1540344503397,38.03,32.85,5.18,5.34
1540344503594,38.01,32.77,5.24,5.34
1540344503794,38.05,32.75,5.30,5.34
1540344503999,38.03,32.69,5.34,5.33
1540344504196,38.05,32.71,5.34,5.33
1540344504396,38.03,32.71,5.32,5.33
1540344504593,38.01,32.81,5.20,5.33
1540344504794,37.99,32.85,5.14,5.33
1540344504991,38.03,32.85,5.18,5.32
1540344505196,38.03,32.71,5.32,5.32
1540344505392,38.03,32.71,5.32,5.32
1540344505593,38.03,32.67,5.36,5.32
1540344505798,38.01,32.61,5.40,5.32
1540344505994,38.03,32.61,5.42,5.31
1540344506194,38.05,32.61,5.44,5.32
1540344506391,38.05,32.53,5.52,5.32
1540344506592,38.01,32.63,5.38,5.31
1540344506789,38.03,32.63,5.40,5.32
1540344506993,38.05,32.63,5.42,5.32
1540344507194,38.05,32.59,5.46,5.32
1540344507391,38.03,32.63,5.40,5.32
1540344507595,38.05,32.61,5.44,5.32
1540344507793,38.13,32.77,5.36,5.33
1540344507993,38.13,32.75,5.38,5.33
1540344508190,38.13,32.69,5.44,5.33
1540344508390,38.11,32.77,5.34,5.33
1540344508595,38.17,32.85,5.32,5.33
1540344508792,38.19,32.99,5.20,5.34
1540344508992,38.21,32.99,5.22,5.33
1540344509189,38.13,33.05,5.08,5.34
1540344509393,38.17,32.81,5.36,5.34
1540344509590,38.11,32.75,5.36,5.33
1540344509791,38.17,32.59,5.58,5.34
1540344509991,38.19,32.49,5.70,5.33
1540344510188,38.19,32.45,5.74,5.33
1540344510393,38.17,32.47,5.70,5.34
1540344510590,38.17,32.53,5.64,5.34
1540344510791,38.13,32.53,5.60,5.35
1540344510987,38.09,32.63,5.46,5.35
1540344511192,38.11,32.71,5.40,5.35
1540344511388,38.11,32.75,5.36,5.36
1540344511589,38.11,32.83,5.28,5.36
1540344511790,38.17,32.83,5.34,5.37
1540344511986,38.13,32.83,5.30,5.37
1540344512191,38.09,32.91,5.18,5.37
1540344512388,38.11,32.89,5.22,5.37
1540344512588,38.13,32.95,5.18,5.37
1540344512784,38.05,32.97,5.08,5.37
1540344512989,38.09,32.95,5.14,5.37
1540344513190,38.11,32.97,5.14,5.37
1540344513387,38.09,32.89,5.20,5.37
1540344513588,38.09,32.85,5.24,5.36
1540344513784,38.11,32.81,5.30,5.36
1540344513989,38.05,32.83,5.22,5.35
1540344514186,38.09,32.83,5.26,5.35
1540344514386,38.09,32.81,5.28,5.35
1540344514587,38.09,32.75,5.34,5.34
1540344514788,38.11,32.71,5.40,5.34
1540344514989,38.05,32.71,5.34,5.34
1540344515185,38.05,32.69,5.36,5.34
1540344515386,38.05,32.59,5.46,5.34
1540344515582,38.05,32.55,5.50,5.33
1540344515787,38.03,32.53,5.50,5.34
1540344515987,38.03,32.49,5.54,5.33
1540344516184,38.11,32.53,5.58,5.34
1540344516385,38.05,32.49,5.56,5.34
1540344516582,38.03,32.69,5.34,5.34
1540344516787,38.09,32.71,5.38,5.35
1540344516983,38.05,32.67,5.38,5.34
1540344517184,38.05,32.69,5.36,5.35
1540344517389,38.05,32.61,5.44,5.35
1540344517585,38.05,32.55,5.50,5.35
1540344517785,38.03,32.61,5.42,5.36
1540344517983,38.03,32.53,5.50,5.36
1540344518183,38.09,32.49,5.60,5.36
1540344518384,38.05,32.47,5.58,5.37
1540344518584,38.05,32.45,5.60,5.36
1540344518781,38.05,32.41,5.64,5.37
1540344518982,38.05,32.41,5.64,5.37
1540344519186,38.11,32.39,5.72,5.38
1540344519383,38.05,32.45,5.60,5.39
1540344519583,38.09,32.39,5.70,5.39
1540344519781,38.11,32.35,5.76,5.40
1540344519981,38.09,32.33,5.76,5.40
1540344520186,38.11,32.27,5.84,5.41
1540344520383,38.11,32.31,5.80,5.42
1540344520583,38.11,32.31,5.80,5.43
1540344520780,38.11,32.31,5.80,5.44
1540344520984,38.09,32.39,5.70,5.45
1540344521181,38.09,32.35,5.74,5.46
1540344521382,38.09,32.27,5.82,5.47
1540344521579,38.11,32.33,5.78,5.47
1540344521779,38.09,32.31,5.78,5.49
1540344521984,38.11,32.33,5.78,5.49
1540344522181,38.11,32.39,5.72,5.51
1540344522381,38.17,32.27,5.90,5.52
1540344522578,38.17,32.33,5.84,5.52
1540344522783,38.11,32.39,5.72,5.54
1540344522979,38.11,32.35,5.76,5.54
1540344523179,38.11,32.41,5.70,5.56
1540344523381,38.19,32.47,5.72,5.57
1540344523577,38.13,32.59,5.54,5.57
1540344523782,38.13,32.69,5.44,5.58
1540344523978,38.17,32.77,5.40,5.58
1540344524179,38.17,32.83,5.34,5.59
1540344524375,38.19,32.81,5.38,5.59
1540344524581,38.19,32.83,5.36,5.59
1540344524781,38.25,32.81,5.44,5.60
1540344524978,38.21,32.81,5.40,5.59
1540344525178,38.13,32.71,5.42,5.59
1540344525375,38.21,32.63,5.58,5.59
1540344525580,38.19,32.49,5.70,5.59
1540344525777,38.17,32.49,5.68,5.59
1540344525977,38.17,32.47,5.70,5.58
1540344526183,38.11,32.49,5.62,5.59
1540344526379,38.11,32.55,5.56,5.59
1540344526580,38.19,32.61,5.58,5.58
1540344526776,38.17,32.67,5.50,5.59
1540344526976,38.21,32.67,5.54,5.58
1540344527173,38.19,32.75,5.44,5.59
1540344527378,38.19,32.83,5.36,5.59
1540344527575,38.17,32.85,5.32,5.58
1540344527775,38.19,32.85,5.34,5.58
1540344527980,38.19,32.83,5.36,5.57
1540344528177,38.17,32.77,5.40,5.57
1540344528378,38.19,32.81,5.38,5.57
1540344528574,38.11,32.67,5.44,5.56
1540344528775,38.19,32.61,5.58,5.56
1540344528971,38.13,32.67,5.46,5.55
1540344529176,38.19,32.47,5.72,5.55
1540344529376,38.17,32.55,5.62,5.55
1540344529574,38.19,32.67,5.52,5.54
1540344529778,38.13,32.83,5.30,5.54
1540344529974,38.19,32.85,5.34,5.54
1540344530176,38.27,32.95,5.32,5.54
1540344530372,38.21,32.97,5.24,5.53
1540344530573,38.21,33.05,5.16,5.52
1540344530769,38.21,33.05,5.16,5.52
1540344530975,38.25,32.99,5.26,5.51
1540344531175,38.21,33.07,5.14,5.51
1540344531372,38.17,33.11,5.06,5.50
1540344531577,38.19,33.19,5.00,5.49
1540344531773,38.19,33.13,5.06,5.49
1540344531973,38.21,33.13,5.08,5.48
1540344532170,38.17,33.07,5.10,5.47
1540344532371,38.13,33.11,5.02,5.46
1540344532576,38.13,33.13,5.00,5.44
1540344532773,38.13,33.13,5.00,5.44
1540344532972,38.13,33.07,5.06,5.42
1540344533169,38.11,33.07,5.04,5.41
1540344533375,38.17,33.05,5.12,5.40
1540344533571,38.11,33.07,5.04,5.39
1540344533771,38.13,33.07,5.06,5.38
1540344533968,38.13,33.13,5.00,5.37
1540344534173,38.13,33.25,4.88,5.36
1540344534374,38.11,33.21,4.90,5.35
1540344534571,38.17,33.17,5.00,5.33
1540344534771,38.05,33.13,4.92,5.32
1540344534967,38.11,33.05,5.06,5.31
1540344535173,38.09,33.03,5.06,5.30
1540344535369,38.13,33.03,5.10,5.29
1540344535569,38.13,33.05,5.08,5.27
1540344535766,38.13,33.05,5.08,5.27
1540344535971,38.09,32.99,5.10,5.25
1540344536172,38.13,32.99,5.14,5.24
1540344536368,38.11,32.99,5.12,5.24
1540344536573,38.11,32.91,5.20,5.23
1540344536770,38.11,33.03,5.08,5.22
1540344536970,38.09,33.05,5.04,5.21
1540344537167,38.05,33.05,5.00,5.21
1540344537367,38.09,33.03,5.06,5.20
1540344537565,38.05,33.07,4.98,5.19
1540344537769,38.03,33.07,4.96,5.19
1540344537970,38.09,33.07,5.02,5.18
1540344538167,38.11,33.11,5.00,5.18
1540344538371,38.09,33.11,4.98,5.17
1540344538567,38.09,33.03,5.06,5.16
1540344538768,38.05,32.99,5.06,5.16
1540344538965,38.03,32.91,5.12,5.15
1540344539170,38.09,33.03,5.06,5.15
1540344539367,38.03,33.07,4.96,5.14
1540344539567,38.11,33.11,5.00,5.13
