1540343845661,38.25,33.93,4.32,4.30
1540343845866,38.25,33.93,4.32,4.30
1540343846063,38.19,33.95,4.24,4.31
1540343846264,38.17,33.99,4.18,4.32
1540343846464,38.13,34.01,4.12,4.32
1540343846661,38.17,34.03,4.14,4.33
1540343846866,38.21,33.99,4.22,4.32
1540343847062,38.21,34.01,4.20,4.33
1540343847263,38.19,34.03,4.16,4.33
1540343847468,38.19,34.01,4.18,4.33
1540343847664,38.13,34.01,4.12,4.33
1540343847865,38.17,34.01,4.16,4.32
1540343848061,38.19,33.95,4.24,4.32
1540343848262,38.25,33.91,4.34,4.32
1540343848459,38.25,33.83,4.42,4.32
1540343848663,38.19,33.73,4.46,4.32
1540343848864,38.19,33.77,4.42,4.32
1540343849061,38.19,33.77,4.42,4.32
1540343849265,38.17,33.77,4.40,4.32
1540343849470,38.17,33.83,4.34,4.32
1540343849662,38.13,33.91,4.22,4.32
1540343849860,38.19,33.91,4.28,4.32
1540343850060,38.11,33.85,4.26,4.32
1540343850265,38.17,33.77,4.40,4.32
1540343850461,38.19,33.77,4.42,4.32
1540343850662,38.21,33.77,4.44,4.32
1540343850859,38.19,33.73,4.46,4.32
1540343851060,38.13,33.71,4.42,4.32
1540343851265,38.13,33.77,4.36,4.32
1540343851472,38.17,33.77,4.40,4.32
1540343851662,38.19,33.83,4.36,4.33
1540343851858,38.13,33.77,4.36,4.33
1540343852063,38.17,33.85,4.32,4.33
1540343852259,38.17,33.83,4.34,4.33
1540343852461,38.13,33.85,4.28,4.33
1540343852661,38.11,33.93,4.18,4.34
1540343852858,38.21,33.95,4.26,4.33
1540343853063,38.17,33.93,4.24,4.34
1540343853259,38.21,33.93,4.28,4.34
1540343853460,38.13,33.93,4.20,4.33
1540343853656,38.17,33.91,4.26,4.33
1540343853861,38.13,33.93,4.20,4.33
1540343854062,38.17,33.93,4.24,4.33
1540343854258,38.17,33.79,4.38,4.33
1540343854460,38.17,33.83,4.34,4.32
1540343854660,38.17,33.79,4.38,4.33
1540343854860,38.19,33.77,4.42,4.32
1540343855061,38.19,33.79,4.40,4.32
1540343855258,38.13,33.73,4.40,4.32
1540343855462,38.11,33.77,4.34,4.32
1540343855659,38.13,33.65,4.48,4.32
1540343855862,38.17,33.77,4.40,4.32
1540343856056,38.17,33.73,4.44,4.32
1540343856258,38.17,33.73,4.44,4.32
1540343856462,38.13,33.79,4.34,4.32
1540343856658,38.13,33.85,4.28,4.33
1540343856859,38.13,33.91,4.22,4.33
1540343857056,38.11,33.95,4.16,4.33
1540343857261,38.13,33.95,4.18,4.33
1540343857457,38.11,33.93,4.18,4.33
1540343857658,38.09,33.99,4.10,4.33
1540343857861,38.13,33.99,4.14,4.32
1540343858055,38.19,33.99,4.20,4.32
1540343858260,38.13,34.03,4.10,4.32
1540343858456,38.13,33.99,4.14,4.32
1540343858658,38.13,34.01,4.12,4.32
1540343858854,38.13,34.01,4.12,4.31
1540343859059,38.11,34.01,4.10,4.31
1540343859259,38.09,34.01,4.08,4.30
1540343859456,38.13,33.99,4.14,4.29
1540343859661,38.13,33.93,4.20,4.29
1540343859858,38.13,33.95,4.18,4.28
1540343860058,38.13,33.93,4.20,4.28
1540343860255,38.13,33.93,4.20,4.28
1540343860455,38.09,34.01,4.08,4.27
1540343860660,38.09,33.99,4.10,4.27
1540343860861,38.05,34.09,3.96,4.26
1540343861057,38.13,34.09,4.04,4.26
1540343861254,38.13,34.03,4.10,4.25
1540343861459,38.13,34.09,4.04,4.24
1540343861656,38.05,34.15,3.90,4.24
1540343861856,38.05,34.15,3.90,4.23
1540343862053,38.09,34.03,4.06,4.23
1540343862258,38.13,34.07,4.06,4.22
1540343862459,38.05,34.01,4.04,4.21
1540343862655,38.13,33.99,4.14,4.21
1540343862860,38.11,33.99,4.12,4.20
1540343863056,38.13,33.95,4.18,4.20
1540343863257,38.09,33.93,4.16,4.19
1540343863453,38.13,34.01,4.12,4.18
1540343863655,38.13,34.03,4.10,4.18
1540343863858,38.13,34.01,4.12,4.17
1540343864056,38.03,33.95,4.08,4.17
1540343864280,38.13,33.95,4.18,4.17
1540343864453,38.09,33.93,4.16,4.16
1540343864658,38.09,33.95,4.14,4.16
1540343864854,38.05,33.95,4.10,4.16
1540343865055,38.05,33.99,4.06,4.16
1540343865255,38.05,33.99,4.06,4.15
1540343865453,38.09,34.01,4.08,4.15
1540343865676,38.09,34.03,4.06,4.15
1540343865854,38.05,34.07,3.98,4.14
1540343866055,38.11,34.01,4.10,4.14
1540343866251,38.05,34.09,3.96,4.14
1540343866456,38.09,34.07,4.02,4.13
1540343866657,38.05,34.07,3.98,4.13
1540343866853,38.09,34.03,4.06,4.13
1540343867054,38.03,34.01,4.02,4.12
1540343867250,38.05,33.99,4.06,4.12
1540343867456,38.05,33.95,4.10,4.12
1540343867652,38.03,33.95,4.08,4.12
1540343867852,38.05,33.99,4.06,4.11
1540343868057,38.03,33.99,4.04,4.11
1540343868254,38.09,33.95,4.14,4.11
1540343868455,38.05,33.95,4.10,4.10
1540343868652,38.03,33.95,4.08,4.10
1540343868852,38.03,33.95,4.08,4.10
1540343869057,38.03,33.99,4.04,4.10
1540343869253,37.99,34.03,3.96,4.10
1540343869454,38.05,34.03,4.02,4.09
1540343869650,38.03,34.07,3.96,4.09
1540343869855,37.99,34.03,3.96,4.09
1540343870052,37.99,33.95,4.04,4.09
1540343870253,37.99,33.91,4.08,4.08
1540343870454,38.09,33.83,4.26,4.08
1540343870650,38.03,33.93,4.10,4.08
1540343870854,38.03,33.85,4.18,4.08
