1540105957112,35.53,38.17,-2.64,-2.53
1540105957312,35.51,38.17,-2.66,-2.54
1540105957510,35.59,38.17,-2.58,-2.54
1540105957714,35.51,38.17,-2.66,-2.54
1540105957915,35.51,38.19,-2.68,-2.55
1540105958111,35.53,38.17,-2.64,-2.55
1540105958312,35.51,38.17,-2.66,-2.55
1540105958512,35.47,38.17,-2.70,-2.55
1540105958710,35.53,38.13,-2.60,-2.55
1540105958915,35.55,38.13,-2.58,-2.56
1540105959115,35.59,38.19,-2.60,-2.56
1540105959312,35.59,38.11,-2.52,-2.56
1540105959512,35.55,38.11,-2.56,-2.57
1540105959713,35.55,38.17,-2.62,-2.57
1540105959909,35.53,38.21,-2.68,-2.57
1540105960110,35.51,38.21,-2.70,-2.57
1540105960315,35.51,38.13,-2.62,-2.57
1540105960512,35.59,38.19,-2.60,-2.58
1540105960712,35.61,38.13,-2.52,-2.58
1540105960913,35.55,38.17,-2.62,-2.58
1540105961109,35.53,38.13,-2.60,-2.58
1540105961310,35.53,38.17,-2.64,-2.59
1540105961511,35.53,38.17,-2.64,-2.59
1540105961711,35.51,38.17,-2.66,-2.59
1540105961912,35.53,38.25,-2.72,-2.59
1540105962109,35.55,38.13,-2.58,-2.59
1540105962309,35.51,38.21,-2.70,-2.59
1540105962514,35.59,38.21,-2.62,-2.60
1540105962711,35.51,38.21,-2.70,-2.60
1540105962912,35.53,38.21,-2.68,-2.60
1540105963112,35.61,38.19,-2.58,-2.60
1540105963309,35.55,38.17,-2.62,-2.60
1540105963510,35.53,38.19,-2.66,-2.60
1540105963714,35.53,38.19,-2.66,-2.60
1540105963911,35.55,38.21,-2.66,-2.61
1540105964112,35.53,38.21,-2.68,-2.61
1540105964312,35.51,38.19,-2.68,-2.61
1540105964509,35.53,38.21,-2.68,-2.61
1540105964710,35.55,38.21,-2.66,-2.61
1540105964907,35.53,38.21,-2.68,-2.62
1540105965107,35.53,38.21,-2.68,-2.62
1540105965311,35.53,38.27,-2.74,-2.62
1540105965509,35.53,38.27,-2.74,-2.62
1540105965709,35.51,38.19,-2.68,-2.62
1540105965910,35.53,38.21,-2.68,-2.63
1540105966107,35.53,38.21,-2.68,-2.63
1540105966308,35.53,38.25,-2.72,-2.63
1540105966512,35.51,38.21,-2.70,-2.64
1540105966709,35.55,38.25,-2.70,-2.64
1540105966909,35.51,38.25,-2.74,-2.64
1540105967110,35.55,38.25,-2.70,-2.64
1540105967307,35.59,38.21,-2.62,-2.64
1540105967508,35.53,38.21,-2.68,-2.65
1540105967712,35.53,38.27,-2.74,-2.65
1540105967909,35.61,38.25,-2.64,-2.65
1540105968110,35.53,38.25,-2.72,-2.65
1540105968310,35.53,38.21,-2.68,-2.65
1540105968507,35.51,38.27,-2.76,-2.66
1540105968708,35.53,38.27,-2.74,-2.66
1540105968904,35.53,38.21,-2.68,-2.66
1540105969108,35.53,38.27,-2.74,-2.66
1540105969310,35.53,38.25,-2.72,-2.66
1540105969506,35.55,38.25,-2.70,-2.67
1540105969707,35.59,38.29,-2.70,-2.67
1540105969908,35.55,38.27,-2.72,-2.67
1540105970104,35.53,38.27,-2.74,-2.67
1540105970304,35.53,38.21,-2.68,-2.67
1540105970510,35.55,38.25,-2.70,-2.68
1540105970706,35.47,38.27,-2.80,-2.68
1540105970907,35.47,38.27,-2.80,-2.68
1540105971107,35.51,38.25,-2.74,-2.68
1540105971304,35.55,38.27,-2.72,-2.68
1540105971505,35.53,38.27,-2.74,-2.69
1540105971709,35.51,38.29,-2.78,-2.69
1540105971907,35.55,38.27,-2.72,-2.69
1540105972107,35.53,38.29,-2.76,-2.69
1540105972308,35.55,38.27,-2.72,-2.69
1540105972504,35.55,38.29,-2.74,-2.70
1540105972705,35.51,38.29,-2.78,-2.70
1540105972902,35.53,38.29,-2.76,-2.70
1540105973106,35.53,38.29,-2.76,-2.70
1540105973307,35.53,38.27,-2.74,-2.70
1540105973503,35.51,38.29,-2.78,-2.71
1540105973704,35.55,38.29,-2.74,-2.71
1540105973905,35.53,38.35,-2.82,-2.71
1540105974102,35.55,38.35,-2.80,-2.71
1540105974302,35.53,38.29,-2.76,-2.71
1540105974507,35.53,38.37,-2.84,-2.72
1540105974703,35.51,38.29,-2.78,-2.72
1540105974905,35.55,38.33,-2.78,-2.72
1540105975105,35.51,38.29,-2.78,-2.72
1540105975302,35.59,38.29,-2.70,-2.72
1540105975502,35.59,38.33,-2.74,-2.72
1540105975708,35.51,38.35,-2.84,-2.72
1540105975904,35.53,38.29,-2.76,-2.73
1540105976105,35.55,38.29,-2.74,-2.73
1540105976305,35.51,38.29,-2.78,-2.73
1540105976503,35.53,38.29,-2.76,-2.73
1540105976702,35.53,38.29,-2.76,-2.73
1540105976908,35.59,38.29,-2.70,-2.74
1540105977104,35.53,38.29,-2.76,-2.74
1540105977304,35.55,38.33,-2.78,-2.74
1540105977501,35.55,38.33,-2.78,-2.74
1540105977702,35.55,38.27,-2.72,-2.74
1540105977903,35.55,38.33,-2.78,-2.74
1540105978099,35.59,38.33,-2.74,-2.74
1540105978304,35.59,38.29,-2.70,-2.74
1540105978505,35.53,38.29,-2.76,-2.75
1540105978702,35.55,38.29,-2.74,-2.75
1540105978902,35.53,38.33,-2.80,-2.75
1540105979102,35.59,38.37,-2.78,-2.75
1540105979299,35.53,38.35,-2.82,-2.75
1540105979504,35.55,38.35,-2.80,-2.75
1540105979705,35.55,38.33,-2.78,-2.75
1540105979901,35.59,38.33,-2.74,-2.75
1540105980102,35.67,38.35,-2.68,-2.75
1540105980302,35.53,38.37,-2.84,-2.75
1540105980499,35.55,38.43,-2.88,-2.76
1540105980700,35.53,38.41,-2.88,-2.75
1540105980905,35.55,38.35,-2.80,-2.76
1540105981102,35.59,38.41,-2.82,-2.76
1540105981303,35.59,38.35,-2.76,-2.76
1540105981499,35.55,38.35,-2.80,-2.76
1540105981700,35.61,38.43,-2.82,-2.76
1540105981900,35.55,38.33,-2.78,-2.76
1540105982097,35.55,38.33,-2.78,-2.76
1540105982302,35.55,38.43,-2.88,-2.77
1540105982502,35.59,38.35,-2.76,-2.77
1540105982698,35.53,38.35,-2.82,-2.77
1540105982900,35.53,38.33,-2.80,-2.77
1540105983100,35.53,38.33,-2.80,-2.77
1540105983297,35.55,38.41,-2.86,-2.77
1540105983504,35.55,38.41,-2.86,-2.77
1540105983703,35.53,38.35,-2.82,-2.77
1540105983899,35.55,38.29,-2.74,-2.78
1540105984099,35.53,38.43,-2.90,-2.78
1540105984303,35.47,38.41,-2.94,-2.78
1540105984497,35.55,38.45,-2.90,-2.78
1540105984702,35.53,38.43,-2.90,-2.78
1540105984903,35.53,38.35,-2.82,-2.79
1540105985099,35.53,38.41,-2.88,-2.79
1540105985300,35.55,38.43,-2.88,-2.79
1540105985500,35.55,38.43,-2.88,-2.79
1540105985698,35.53,38.37,-2.84,-2.79
1540105985898,35.51,38.43,-2.92,-2.80
1540105986102,35.55,38.45,-2.90,-2.80
1540105986299,35.53,38.43,-2.90,-2.80
1540105986500,35.55,38.29,-2.74,-2.80
1540105986696,35.53,38.43,-2.90,-2.80
1540105986897,35.53,38.43,-2.90,-2.81
1540105987097,35.55,38.35,-2.80,-2.81
1540105987294,35.55,38.41,-2.86,-2.81
1540105987499,35.53,38.45,-2.92,-2.81
1540105987699,35.53,38.33,-2.80,-2.81
1540105987896,35.59,38.43,-2.84,-2.82
1540105988096,35.55,38.41,-2.86,-2.82
1540105988297,35.59,38.33,-2.74,-2.82
1540105988495,35.55,38.41,-2.86,-2.82
1540105988700,35.53,38.41,-2.88,-2.82
1540105988900,35.53,38.41,-2.88,-2.82
1540105989097,35.53,38.35,-2.82,-2.82
1540105989297,35.53,38.35,-2.82,-2.82
1540105989498,35.53,38.37,-2.84,-2.83
1540105989695,35.55,38.43,-2.88,-2.82
1540105989896,35.55,38.37,-2.82,-2.83
1540105990100,35.59,38.33,-2.74,-2.83
1540105990297,35.53,38.37,-2.84,-2.83
1540105990497,35.55,38.33,-2.78,-2.83
1540105990698,35.55,38.37,-2.82,-2.83
1540105990895,35.55,38.43,-2.88,-2.83
1540105991095,35.55,38.37,-2.82,-2.83
1540105991300,35.53,38.41,-2.88,-2.83
1540105991497,35.55,38.41,-2.86,-2.83
1540105991697,35.53,38.41,-2.88,-2.83
1540105991898,35.55,38.37,-2.82,-2.83
1540105992094,35.59,38.33,-2.74,-2.83
1540105992296,35.59,38.35,-2.76,-2.83
1540105992492,35.55,38.37,-2.82,-2.83
1540105992692,35.53,38.43,-2.90,-2.83
1540105992897,35.53,38.35,-2.82,-2.83
1540105993094,35.55,38.37,-2.82,-2.83
1540105993295,35.53,38.33,-2.80,-2.83
1540105993496,35.55,38.45,-2.90,-2.83
1540105993692,35.53,38.35,-2.82,-2.83
1540105993893,35.53,38.43,-2.90,-2.84
1540105994098,35.53,38.43,-2.90,-2.83
1540105994294,35.55,38.41,-2.86,-2.83
1540105994495,35.55,38.43,-2.88,-2.84
1540105994696,35.53,38.37,-2.84,-2.83
1540105994892,35.51,38.41,-2.90,-2.84
1540105995093,35.55,38.41,-2.86,-2.84
1540105995298,35.53,38.35,-2.82,-2.84
1540105995494,35.53,38.37,-2.84,-2.84
1540105995694,35.61,38.37,-2.76,-2.84
1540105995891,35.55,38.43,-2.88,-2.84
1540105996093,35.53,38.41,-2.88,-2.84
1540105996293,35.59,38.37,-2.78,-2.84
1540105996494,35.59,38.41,-2.82,-2.84
1540105996694,35.53,38.41,-2.88,-2.84
1540105996895,35.53,38.43,-2.90,-2.84
1540105997091,35.59,38.43,-2.84,-2.84
1540105997292,35.55,38.41,-2.86,-2.84
1540105997489,35.61,38.35,-2.74,-2.84
1540105997694,35.61,38.43,-2.82,-2.84
1540105997894,35.59,38.41,-2.82,-2.84
1540105998091,35.53,38.37,-2.84,-2.84
1540105998292,35.53,38.37,-2.84,-2.84
1540105998492,35.53,38.41,-2.88,-2.84
1540105998689,35.51,38.41,-2.90,-2.84
1540105998894,35.53,38.41,-2.88,-2.84
1540105999095,35.53,38.37,-2.84,-2.84
1540105999291,35.55,38.41,-2.86,-2.84
1540105999492,35.55,38.35,-2.80,-2.84
1540105999689,35.53,38.41,-2.88,-2.84
1540105999890,35.55,38.37,-2.82,-2.84
1540106000095,35.53,38.37,-2.84,-2.84
1540106000291,35.53,38.37,-2.84,-2.84
1540106000492,35.55,38.43,-2.88,-2.84
1540106000692,35.55,38.41,-2.86,-2.84
1540106000888,35.55,38.35,-2.80,-2.84
1540106001094,35.47,38.37,-2.90,-2.84
1540106001294,35.55,38.35,-2.80,-2.84
1540106001491,35.51,38.35,-2.84,-2.84
1540106001691,35.55,38.35,-2.80,-2.84
1540106001888,35.55,38.35,-2.80,-2.84
1540106002088,35.55,38.35,-2.80,-2.84
1540106002294,35.55,38.33,-2.78,-2.84
1540106002490,35.53,38.35,-2.82,-2.84
1540106002691,35.55,38.35,-2.80,-2.84
1540106002892,35.55,38.33,-2.78,-2.84
1540106003088,35.51,38.35,-2.84,-2.83
1540106003289,35.53,38.35,-2.82,-2.83
1540106003485,35.55,38.35,-2.80,-2.84
1540106003690,35.53,38.35,-2.82,-2.83
1540106003891,35.59,38.35,-2.76,-2.83
1540106004088,35.53,38.33,-2.80,-2.83
1540106004288,35.55,38.35,-2.80,-2.83
1540106004493,35.55,38.33,-2.78,-2.83
1540106004686,35.55,38.29,-2.74,-2.83
1540106004891,35.55,38.33,-2.78,-2.83
1540106005091,35.55,38.29,-2.74,-2.83
1540106005288,35.53,38.27,-2.74,-2.83
1540106005488,35.53,38.33,-2.80,-2.82
1540106005685,35.55,38.33,-2.78,-2.82
1540106005890,35.55,38.29,-2.74,-2.82
1540106006090,35.53,38.27,-2.74,-2.82
1540106006289,35.53,38.33,-2.80,-2.82
1540106006488,35.51,38.33,-2.82,-2.82
1540106006689,35.55,38.33,-2.78,-2.81
1540106006885,35.53,38.33,-2.80,-2.81
1540106007090,35.53,38.27,-2.74,-2.81
1540106007291,35.53,38.33,-2.80,-2.81
1540106007487,35.53,38.27,-2.74,-2.81
1540106007688,35.59,38.33,-2.74,-2.81
1540106007885,35.51,38.29,-2.78,-2.81
1540106008085,35.55,38.29,-2.74,-2.80
1540106008290,35.55,38.27,-2.72,-2.80
1540106008487,35.53,38.29,-2.76,-2.80
1540106008687,35.51,38.27,-2.76,-2.80
1540106008888,35.55,38.25,-2.70,-2.80
1540106009085,35.53,38.27,-2.74,-2.79
1540106009289,35.53,38.25,-2.72,-2.79
1540106009486,35.55,38.27,-2.72,-2.79
1540106009687,35.55,38.29,-2.74,-2.79
1540106009888,35.53,38.25,-2.72,-2.79
1540106010084,35.55,38.21,-2.66,-2.78
1540106010284,35.53,38.17,-2.64,-2.78
1540106010489,35.59,38.25,-2.66,-2.78
1540106010686,35.55,38.25,-2.70,-2.78
1540106010887,35.55,38.21,-2.66,-2.78
1540106011083,35.51,38.27,-2.76,-2.77
1540106011283,35.47,38.21,-2.74,-2.77
1540106011488,35.55,38.25,-2.70,-2.77
1540106011686,35.53,38.21,-2.68,-2.76
1540106011886,35.59,38.21,-2.62,-2.76
1540106012086,35.53,38.21,-2.68,-2.76
1540106012284,35.51,38.25,-2.74,-2.76
1540106012484,35.55,38.17,-2.62,-2.76
1540106012681,35.55,38.19,-2.64,-2.75
1540106012885,35.55,38.25,-2.70,-2.75
1540106013086,35.53,38.21,-2.68,-2.75
1540106013283,35.55,38.19,-2.64,-2.75
1540106013484,35.53,38.21,-2.68,-2.75
1540106013688,35.53,38.21,-2.68,-2.74
1540106013885,35.55,38.25,-2.70,-2.74
1540106014086,35.51,38.21,-2.70,-2.74
1540106014287,35.53,38.19,-2.66,-2.74
1540106014483,35.55,38.29,-2.74,-2.74
1540106014684,35.53,38.21,-2.68,-2.73
1540106014880,35.53,38.19,-2.66,-2.73
1540106015085,35.59,38.13,-2.54,-2.73
1540106015285,35.55,38.13,-2.58,-2.73
1540106015482,35.53,38.19,-2.66,-2.73
1540106015683,35.51,38.25,-2.74,-2.72
1540106015888,35.55,38.17,-2.62,-2.72
1540106016084,35.53,38.21,-2.68,-2.72
1540106016285,35.53,38.13,-2.60,-2.72
1540106016481,35.51,38.19,-2.68,-2.72
1540106016683,35.55,38.19,-2.64,-2.71
1540106016883,35.53,38.19,-2.66,-2.71
1540106017079,35.55,38.19,-2.64,-2.71
1540106017285,35.53,38.25,-2.72,-2.71
1540106017485,35.55,38.17,-2.62,-2.70
1540106017682,35.55,38.17,-2.62,-2.70
1540106017882,35.55,38.21,-2.66,-2.70
1540106018079,35.51,38.21,-2.70,-2.70
1540106018280,35.53,38.21,-2.68,-2.70
1540106018484,35.53,38.19,-2.66,-2.69
1540106018681,35.51,38.17,-2.66,-2.69
1540106018882,35.47,38.25,-2.78,-2.69
1540106019083,35.51,38.19,-2.68,-2.69
1540106019279,35.53,38.19,-2.66,-2.69
1540106019484,35.59,38.19,-2.60,-2.69
1540106019680,35.53,38.19,-2.66,-2.68
1540106019881,35.53,38.21,-2.68,-2.68
1540106020082,35.55,38.21,-2.66,-2.68
1540106020279,35.55,38.19,-2.64,-2.68
1540106020479,35.53,38.21,-2.68,-2.68
1540106020684,35.59,38.27,-2.68,-2.68
1540106020880,35.53,38.19,-2.66,-2.68
