1540105701653,35.77,38.25,-2.48,-2.37
1540105701858,35.77,38.21,-2.44,-2.37
1540105702055,35.81,38.17,-2.36,-2.38
1540105702255,35.81,38.21,-2.40,-2.38
1540105702460,35.85,38.19,-2.34,-2.38
1540105702657,35.85,38.19,-2.34,-2.38
1540105702857,35.83,38.19,-2.36,-2.38
1540105703054,35.81,38.25,-2.44,-2.38
1540105703255,35.81,38.21,-2.40,-2.38
1540105703455,35.83,38.21,-2.38,-2.38
1540105703657,35.77,38.19,-2.42,-2.38
1540105703853,35.83,38.27,-2.44,-2.38
1540105704054,35.81,38.25,-2.44,-2.38
1540105704250,35.85,38.21,-2.36,-2.39
1540105704455,35.77,38.21,-2.44,-2.38
1540105704655,35.81,38.19,-2.38,-2.39
1540105704852,35.77,38.21,-2.44,-2.39
1540105705056,35.83,38.19,-2.36,-2.39
1540105705254,35.77,38.21,-2.44,-2.39
1540105705454,35.77,38.19,-2.42,-2.39
1540105705651,35.81,38.19,-2.38,-2.39
1540105705856,35.83,38.19,-2.36,-2.39
1540105706052,35.81,38.21,-2.40,-2.39
1540105706253,35.81,38.19,-2.38,-2.39
1540105706454,35.81,38.17,-2.36,-2.39
1540105706650,35.83,38.19,-2.36,-2.39
1540105706855,35.83,38.19,-2.36,-2.39
1540105707052,35.81,38.25,-2.44,-2.39
1540105707252,35.77,38.25,-2.48,-2.39
1540105707448,35.81,38.19,-2.38,-2.39
1540105707654,35.81,38.19,-2.38,-2.40
1540105707850,35.85,38.19,-2.34,-2.39
1540105708051,35.77,38.21,-2.44,-2.40
1540105708248,35.77,38.19,-2.42,-2.40
1540105708452,35.77,38.19,-2.42,-2.39
1540105708653,35.81,38.19,-2.38,-2.40
1540105708850,35.77,38.21,-2.44,-2.40
1540105709050,35.77,38.17,-2.40,-2.40
1540105709251,35.81,38.17,-2.36,-2.40
1540105709452,35.83,38.21,-2.38,-2.40
1540105709648,35.81,38.19,-2.38,-2.40
1540105709850,35.81,38.21,-2.40,-2.40
1540105710054,35.81,38.19,-2.38,-2.40
1540105710250,35.71,38.21,-2.50,-2.40
1540105710451,35.81,38.21,-2.40,-2.40
1540105710648,35.77,38.25,-2.48,-2.40
1540105710852,35.77,38.17,-2.40,-2.40
1540105711049,35.77,38.17,-2.40,-2.40
1540105711250,35.77,38.21,-2.44,-2.40
1540105711446,35.81,38.19,-2.38,-2.40
1540105711651,35.81,38.17,-2.36,-2.41
1540105711852,35.81,38.19,-2.38,-2.41
1540105712049,35.81,38.21,-2.40,-2.41
1540105712249,35.83,38.25,-2.42,-2.41
1540105712446,35.83,38.21,-2.38,-2.41
1540105712651,35.85,38.17,-2.32,-2.41
1540105712847,35.81,38.25,-2.44,-2.41
1540105713048,35.71,38.21,-2.50,-2.41
1540105713244,35.77,38.25,-2.48,-2.41
1540105713449,35.77,38.19,-2.42,-2.41
1540105713646,35.77,38.25,-2.48,-2.41
1540105713847,35.77,38.25,-2.48,-2.41
1540105714047,35.77,38.25,-2.48,-2.41
1540105714247,35.77,38.25,-2.48,-2.41
1540105714448,35.81,38.19,-2.38,-2.41
1540105714645,35.77,38.19,-2.42,-2.42
1540105714845,35.83,38.25,-2.42,-2.42
1540105715042,35.81,38.27,-2.46,-2.42
1540105715247,35.83,38.21,-2.38,-2.42
1540105715444,35.77,38.21,-2.44,-2.42
1540105715645,35.75,38.19,-2.44,-2.42
1540105715850,35.81,38.19,-2.38,-2.42
1540105716046,35.77,38.21,-2.44,-2.42
1540105716247,35.81,38.19,-2.38,-2.42
1540105716444,35.77,38.25,-2.48,-2.42
1540105716649,35.77,38.21,-2.44,-2.42
1540105716845,35.77,38.21,-2.44,-2.42
1540105717045,35.71,38.21,-2.50,-2.42
1540105717242,35.77,38.17,-2.40,-2.42
1540105717443,35.83,38.19,-2.36,-2.42
1540105717647,35.77,38.25,-2.48,-2.42
1540105717844,35.75,38.25,-2.50,-2.42
1540105718045,35.75,38.25,-2.50,-2.42
1540105718241,35.81,38.25,-2.44,-2.42
1540105718446,35.77,38.19,-2.42,-2.42
1540105718643,35.81,38.21,-2.40,-2.42
1540105718843,35.81,38.25,-2.44,-2.42
1540105719040,35.67,38.25,-2.58,-2.42
1540105719244,35.77,38.27,-2.50,-2.42
1540105719446,35.77,38.25,-2.48,-2.42
1540105719641,35.75,38.27,-2.52,-2.43
1540105719844,35.83,38.25,-2.42,-2.43
1540105720039,35.75,38.25,-2.50,-2.43
1540105720245,35.75,38.25,-2.50,-2.43
1540105720440,35.81,38.19,-2.38,-2.43
1540105720642,35.77,38.21,-2.44,-2.43
1540105720839,35.81,38.25,-2.44,-2.43
1540105721043,35.81,38.27,-2.46,-2.43
1540105721244,35.83,38.27,-2.44,-2.43
1540105721440,35.81,38.21,-2.40,-2.43
1540105721645,35.77,38.25,-2.48,-2.44
1540105721842,35.71,38.21,-2.50,-2.43
1540105722042,35.77,38.27,-2.50,-2.44
1540105722239,35.83,38.25,-2.42,-2.44
