1540166701152,34.55,34.23,0.32,0.29
1540166701352,34.55,34.17,0.38,0.29
1540166701557,34.55,34.17,0.38,0.29
1540166701753,34.53,34.15,0.38,0.29
1540166701955,34.47,34.15,0.32,0.29
1540166702151,34.45,34.15,0.30,0.29
1540166702351,34.51,34.15,0.36,0.29
1540166702553,34.47,34.13,0.34,0.29
1540166702753,34.53,34.17,0.36,0.29
1540166702954,34.47,34.17,0.30,0.29
1540166703150,34.45,34.15,0.30,0.29
1540166703355,34.47,34.17,0.30,0.29
1540166703552,34.51,34.23,0.28,0.30
1540166703752,34.47,34.23,0.24,0.30
1540166703949,34.45,34.23,0.22,0.30
1540166704154,34.51,34.25,0.26,0.30
1540166704355,34.45,34.29,0.16,0.30
1540166704551,34.51,34.21,0.30,0.30
1540166704752,34.47,34.21,0.26,0.30
1540166704948,34.51,34.17,0.34,0.29
1540166705153,34.53,34.09,0.44,0.29
1540166705350,34.53,34.13,0.40,0.29
1540166705551,34.53,34.09,0.44,0.30
1540166705756,34.53,34.15,0.38,0.30
1540166705952,34.47,34.15,0.32,0.30
1540166706153,34.47,34.17,0.30,0.30
1540166706349,34.47,34.17,0.30,0.30
1540166706550,34.51,34.15,0.36,0.30
1540166706746,34.45,34.17,0.28,0.30
1540166706952,34.47,34.17,0.30,0.30
1540166707152,34.47,34.15,0.32,0.30
1540166707349,34.47,34.15,0.32,0.31
1540166707554,34.51,34.07,0.44,0.31
1540166707750,34.51,34.15,0.36,0.31
1540166707951,34.51,34.21,0.30,0.31
1540166708147,34.53,34.15,0.38,0.31
1540166708348,34.53,34.17,0.36,0.31
1540166708553,34.55,34.09,0.46,0.31
1540166708750,34.59,34.15,0.44,0.31
1540166708950,34.47,34.09,0.38,0.32
1540166709147,34.53,34.15,0.38,0.32
1540166709352,34.53,34.17,0.36,0.32
1540166709548,34.47,34.15,0.32,0.32
1540166709748,34.47,34.13,0.34,0.32
1540166709950,34.53,34.09,0.44,0.33
1540166710146,34.47,34.13,0.34,0.33
1540166710351,34.51,34.17,0.34,0.33
1540166710547,34.51,34.15,0.36,0.33
1540166710748,34.51,34.15,0.36,0.33
1540166710953,34.53,34.09,0.44,0.34
1540166711150,34.51,34.21,0.30,0.34
1540166711350,34.45,34.17,0.28,0.34
1540166711547,34.53,34.15,0.38,0.34
1540166711747,34.55,34.13,0.42,0.34
1540166711944,34.61,34.13,0.48,0.34
1540166712149,34.55,34.09,0.46,0.34
1540166712350,34.47,34.07,0.40,0.35
1540166712546,34.47,34.13,0.34,0.35
1540166712751,34.47,34.15,0.32,0.35
1540166712948,34.47,34.15,0.32,0.35
1540166713148,34.51,34.09,0.42,0.35
1540166713345,34.51,34.09,0.42,0.35
1540166713546,34.47,34.15,0.32,0.36
1540166713750,34.47,34.17,0.30,0.36
1540166713947,34.45,34.15,0.30,0.36
1540166714148,34.51,34.09,0.42,0.36
1540166714345,34.47,34.09,0.38,0.36
1540166714549,34.51,34.09,0.42,0.36
1540166714745,34.53,34.07,0.46,0.36
1540166714947,34.53,34.13,0.40,0.36
1540166715147,34.51,34.07,0.44,0.36
1540166715343,34.61,34.03,0.58,0.36
1540166715549,34.53,34.09,0.44,0.37
1540166715745,34.51,34.07,0.44,0.37
1540166715946,34.47,34.09,0.38,0.37
1540166716142,34.47,34.09,0.38,0.37
1540166716347,34.53,34.09,0.44,0.38
1540166716548,34.47,34.09,0.38,0.38
1540166716744,34.47,34.13,0.34,0.38
1540166716945,34.51,34.07,0.44,0.38
1540166717145,34.45,34.13,0.32,0.38
1540166717346,34.51,34.13,0.38,0.38
1540166717543,34.53,34.13,0.40,0.38
1540166717744,34.51,34.09,0.42,0.38
