1539674274697,35.31,37.59,-2.28,-2.23
1539674274889,35.31,37.67,-2.36,-2.24
1539674275089,35.27,37.59,-2.32,-2.24
1539674275286,35.19,37.55,-2.36,-2.25
1539674275486,35.19,37.61,-2.42,-2.25
1539674275691,35.19,37.53,-2.34,-2.25
1539674275888,35.15,37.51,-2.36,-2.26
1539674276089,35.07,37.61,-2.54,-2.26
1539674276290,35.05,37.67,-2.62,-2.27
1539674276486,35.01,37.63,-2.62,-2.27
1539674276687,35.01,37.59,-2.58,-2.28
1539674276892,35.01,37.59,-2.58,-2.29
1539674277088,35.07,37.59,-2.52,-2.29
1539674277289,35.07,37.63,-2.56,-2.30
1539674277490,35.07,37.63,-2.56,-2.31
1539674277687,35.13,37.61,-2.48,-2.31
1539674277887,35.21,37.53,-2.32,-2.32
1539674278092,35.21,37.61,-2.40,-2.32
1539674278284,35.21,37.59,-2.38,-2.33
1539674278489,35.23,37.59,-2.36,-2.34
1539674278689,35.29,37.59,-2.30,-2.34
1539674278887,35.19,37.59,-2.40,-2.35
1539674279087,35.13,37.63,-2.50,-2.35
1539674279284,35.21,37.63,-2.42,-2.35
1539674279484,35.19,37.61,-2.42,-2.36
1539674279707,35.27,37.59,-2.32,-2.36
1539674279885,35.21,37.63,-2.42,-2.36
1539674280086,35.19,37.63,-2.44,-2.37
1539674280287,35.23,37.59,-2.36,-2.37
1539674280484,35.19,37.67,-2.48,-2.37
1539674280684,35.27,37.67,-2.40,-2.37
1539674280889,35.31,37.59,-2.28,-2.38
1539674281086,35.23,37.59,-2.36,-2.38
1539674281286,35.37,37.59,-2.22,-2.38
1539674281487,35.43,37.59,-2.16,-2.38
1539674281683,35.37,37.61,-2.24,-2.38
1539674281885,35.31,37.67,-2.36,-2.38
1539674282089,35.31,37.63,-2.32,-2.38
1539674282286,35.37,37.69,-2.32,-2.38
1539674282486,35.35,37.55,-2.20,-2.38
1539674282683,35.27,37.63,-2.36,-2.38
1539674282884,35.23,37.69,-2.46,-2.38
1539674283085,35.21,37.55,-2.34,-2.38
1539674283281,35.27,37.71,-2.44,-2.38
1539674283485,35.31,37.63,-2.32,-2.38
1539674283686,35.43,37.67,-2.24,-2.37
1539674283884,35.39,37.59,-2.20,-2.37
1539674284084,35.37,37.61,-2.24,-2.37
1539674284285,35.31,37.69,-2.38,-2.37
1539674284481,35.31,37.63,-2.32,-2.37
1539674284689,35.35,37.61,-2.26,-2.37
1539674284883,35.29,37.63,-2.34,-2.37
1539674285083,35.23,37.61,-2.38,-2.36
1539674285284,35.19,37.61,-2.42,-2.36
1539674285481,35.23,37.69,-2.46,-2.36
1539674285681,35.19,37.61,-2.42,-2.36
1539674285886,35.21,37.61,-2.40,-2.36
1539674286083,35.21,37.59,-2.38,-2.36
1539674286284,35.21,37.67,-2.46,-2.36
1539674286484,35.23,37.67,-2.44,-2.36
1539674286680,35.21,37.63,-2.42,-2.35
1539674286885,35.23,37.55,-2.32,-2.36
1539674287086,35.29,37.59,-2.30,-2.36
1539674287283,35.35,37.67,-2.32,-2.36
1539674287483,35.31,37.59,-2.28,-2.36
1539674287679,35.21,37.63,-2.42,-2.35
1539674287880,35.19,37.69,-2.50,-2.36
1539674288085,34.97,37.63,-2.66,-2.35
1539674288284,34.93,37.67,-2.74,-2.36
1539674288483,34.89,37.63,-2.74,-2.36
1539674288683,34.99,37.63,-2.64,-2.36
1539674288880,34.99,37.63,-2.64,-2.37
1539674289081,35.09,37.63,-2.54,-2.37
1539674289285,35.09,37.61,-2.52,-2.38
1539674289482,35.07,37.63,-2.56,-2.39
1539674289683,35.19,37.63,-2.44,-2.39
1539674289880,35.21,37.59,-2.38,-2.40
