1539674531351,35.09,38.41,-3.32,-3.26
1539674531556,35.23,38.33,-3.10,-3.26
1539674531753,35.23,38.37,-3.14,-3.26
1539674531953,35.23,38.37,-3.14,-3.26
1539674532150,35.23,38.41,-3.18,-3.26
1539674532354,35.19,38.35,-3.16,-3.26
1539674532555,35.09,38.35,-3.26,-3.25
1539674532752,35.13,38.35,-3.22,-3.25
1539674532952,35.01,38.37,-3.36,-3.25
1539674533149,35.13,38.37,-3.24,-3.25
1539674533354,35.13,38.33,-3.20,-3.25
1539674533550,34.99,38.35,-3.36,-3.25
1539674533751,34.97,38.35,-3.38,-3.25
1539674533952,35.05,38.33,-3.28,-3.25
1539674534149,34.93,38.25,-3.32,-3.25
1539674534354,34.99,38.29,-3.30,-3.25
1539674534550,34.93,38.33,-3.40,-3.25
1539674534751,34.91,38.29,-3.38,-3.26
1539674534951,35.01,38.29,-3.28,-3.25
1539674535147,34.99,38.29,-3.30,-3.26
1539674535352,34.97,38.19,-3.22,-3.26
1539674535549,34.89,38.27,-3.38,-3.26
1539674535750,34.89,38.25,-3.36,-3.26
1539674535954,34.91,38.21,-3.30,-3.26
1539674536151,34.89,38.25,-3.36,-3.27
1539674536351,34.93,38.13,-3.20,-3.27
1539674536549,34.99,38.27,-3.28,-3.27
1539674536749,34.91,38.29,-3.38,-3.27
1539674536954,34.89,38.25,-3.36,-3.27
1539674537151,34.85,38.25,-3.40,-3.27
1539674537352,34.85,38.27,-3.42,-3.28
1539674537548,34.81,38.21,-3.40,-3.28
1539674537749,34.83,38.29,-3.46,-3.28
1539674537945,34.89,38.21,-3.32,-3.28
1539674538150,34.83,38.33,-3.50,-3.29
1539674538351,34.81,38.27,-3.46,-3.29
1539674538547,34.89,38.27,-3.38,-3.29
1539674538748,34.85,38.27,-3.42,-3.30
1539674538945,34.83,38.35,-3.52,-3.30
1539674539150,34.77,38.25,-3.48,-3.30
1539674539350,34.85,38.29,-3.44,-3.31
1539674539546,34.85,38.27,-3.42,-3.31
1539674539747,34.97,38.33,-3.36,-3.32
1539674539944,35.01,38.37,-3.36,-3.32
1539674540149,35.01,38.29,-3.28,-3.32
1539674540349,35.07,38.33,-3.26,-3.33
1539674540546,34.99,38.33,-3.34,-3.33
1539674540751,34.93,38.27,-3.34,-3.33
1539674540948,34.85,38.35,-3.50,-3.33
1539674541148,34.81,38.35,-3.54,-3.34
1539674541349,34.81,38.35,-3.54,-3.34
1539674541545,34.83,38.35,-3.52,-3.34
1539674541751,34.89,38.33,-3.44,-3.35
1539674541946,34.85,38.33,-3.48,-3.35
1539674542147,34.83,38.37,-3.54,-3.35
1539674542348,34.85,38.33,-3.48,-3.36
1539674542545,34.93,38.35,-3.42,-3.36
1539674542750,34.91,38.29,-3.38,-3.37
1539674542946,34.93,38.33,-3.40,-3.37
1539674543147,34.99,38.33,-3.34,-3.37
1539674543347,35.01,38.29,-3.28,-3.38
1539674543545,35.01,38.35,-3.34,-3.38
1539674543749,34.99,38.35,-3.36,-3.38
1539674543946,35.05,38.35,-3.30,-3.38
1539674544146,35.15,38.35,-3.20,-3.38
1539674544346,35.21,38.35,-3.14,-3.38
1539674544543,35.21,38.37,-3.16,-3.38
1539674544749,35.23,38.33,-3.10,-3.38
1539674544945,35.23,38.27,-3.04,-3.38
1539674545145,35.19,38.29,-3.10,-3.38
1539674545350,35.21,38.35,-3.14,-3.37
1539674545543,35.05,38.35,-3.30,-3.37
1539674545748,35.05,38.37,-3.32,-3.36
1539674545944,35.05,38.33,-3.28,-3.36
1539674546145,35.01,38.35,-3.34,-3.35
1539674546350,34.99,38.35,-3.36,-3.35
1539674546546,35.01,38.33,-3.32,-3.35
1539674546747,35.01,38.33,-3.32,-3.35
1539674546943,34.99,38.29,-3.30,-3.34
1539674547144,34.97,38.33,-3.36,-3.34
1539674547341,34.93,38.37,-3.44,-3.34
1539674547546,34.99,38.41,-3.42,-3.33
1539674547747,34.85,38.35,-3.50,-3.33
1539674547943,34.81,38.33,-3.52,-3.33
1539674548144,34.77,38.29,-3.52,-3.33
1539674548340,34.81,38.43,-3.62,-3.33
1539674548545,34.83,38.35,-3.52,-3.33
1539674548745,34.83,38.41,-3.58,-3.34
1539674548943,34.89,38.35,-3.46,-3.34
1539674549144,34.97,38.41,-3.44,-3.34
1539674549340,34.97,38.37,-3.40,-3.35
1539674549545,35.01,38.37,-3.36,-3.35
1539674549746,35.07,38.29,-3.22,-3.35
1539674549942,34.99,38.37,-3.38,-3.35
1539674550143,34.99,38.35,-3.36,-3.36
1539674550339,34.91,38.29,-3.38,-3.36
1539674550544,34.83,38.33,-3.50,-3.36
1539674550745,34.85,38.37,-3.52,-3.36
1539674550941,35.05,38.35,-3.30,-3.36
1539674551142,35.07,38.35,-3.28,-3.37
1539674551339,35.09,38.33,-3.24,-3.37
1539674551543,35.13,38.41,-3.28,-3.37
1539674551744,35.07,38.33,-3.26,-3.37
1539674551940,35.09,38.33,-3.24,-3.37
1539674552141,35.07,38.41,-3.34,-3.37
1539674552342,35.15,38.33,-3.18,-3.37
1539674552542,35.05,38.33,-3.28,-3.37
1539674552743,34.93,38.25,-3.32,-3.37
1539674552939,34.99,38.33,-3.34,-3.36
1539674553145,34.99,38.25,-3.26,-3.36
1539674553342,35.07,38.19,-3.12,-3.36
1539674553542,34.99,38.35,-3.36,-3.36
1539674553743,34.97,38.29,-3.32,-3.36
1539674553939,34.89,38.25,-3.36,-3.36
1539674554144,34.91,38.25,-3.34,-3.36
1539674554341,34.93,38.33,-3.40,-3.36
1539674554541,35.01,38.29,-3.28,-3.35
1539674554742,35.07,38.33,-3.26,-3.35
1539674554938,35.05,38.37,-3.32,-3.35
1539674555143,35.15,38.33,-3.18,-3.35
1539674555340,35.21,38.35,-3.14,-3.35
1539674555540,35.23,38.33,-3.10,-3.34
1539674555746,35.15,38.33,-3.18,-3.34
1539674555942,35.13,38.25,-3.12,-3.34
1539674556143,35.19,38.37,-3.18,-3.34
1539674556340,35.15,38.35,-3.20,-3.33
1539674556540,35.13,38.33,-3.20,-3.33
1539674556737,35.13,38.35,-3.22,-3.32
1539674556942,35.09,38.35,-3.26,-3.32
1539674557142,34.99,38.33,-3.34,-3.31
1539674557338,35.13,38.33,-3.20,-3.31
1539674557539,35.13,38.27,-3.14,-3.31
1539674557736,35.13,38.27,-3.14,-3.31
1539674557940,35.05,38.29,-3.24,-3.30
1539674558141,35.07,38.25,-3.18,-3.30
1539674558338,35.13,38.25,-3.12,-3.29
1539674558539,35.13,38.37,-3.24,-3.29
1539674558736,35.19,38.35,-3.16,-3.29
1539674558941,35.19,38.25,-3.06,-3.28
1539674559141,35.21,38.35,-3.14,-3.28
1539674559338,35.13,38.35,-3.22,-3.28
1539674559542,35.13,38.35,-3.22,-3.27
1539674559739,35.13,38.27,-3.14,-3.27
1539674559940,35.23,38.35,-3.12,-3.26
1539674560140,35.31,38.37,-3.06,-3.26
1539674560337,35.21,38.29,-3.08,-3.26
1539674560542,35.19,38.29,-3.10,-3.25
1539674560738,35.05,38.35,-3.30,-3.25
1539674560939,35.13,38.33,-3.20,-3.24
1539674561140,35.19,38.27,-3.08,-3.24
1539674561337,35.07,38.33,-3.26,-3.24
1539674561541,35.09,38.27,-3.18,-3.23
1539674561738,35.13,38.29,-3.16,-3.23
1539674561938,35.19,38.27,-3.08,-3.22
1539674562138,35.01,38.25,-3.24,-3.22
1539674562335,35.05,38.25,-3.20,-3.22
1539674562540,34.99,38.21,-3.22,-3.21
1539674562737,34.93,38.21,-3.28,-3.21
1539674562938,34.89,38.33,-3.44,-3.21
1539674563138,34.89,38.29,-3.40,-3.21
1539674563335,34.97,38.41,-3.44,-3.21
1539674563540,35.01,38.35,-3.34,-3.21
1539674563737,34.97,38.33,-3.36,-3.21
1539674563937,34.97,38.29,-3.32,-3.21
