1540168187457,35.01,34.23,0.78,0.76
1540168187654,34.97,34.25,0.72,0.76
1540168187859,34.99,34.25,0.74,0.76
1540168188056,35.05,34.17,0.88,0.76
1540168188256,35.05,34.25,0.80,0.76
1540168188461,34.99,34.17,0.82,0.76
1540168188658,35.01,34.29,0.72,0.76
1540168188858,34.99,34.31,0.68,0.76
1540168189055,34.99,34.29,0.70,0.76
1540168189259,35.01,34.25,0.76,0.76
1540168189456,35.01,34.31,0.70,0.76
1540168189657,34.97,34.25,0.72,0.76
1540168189843,Interruption
1540168189854,34.99,34.25,0.74,0.76
1540168190058,34.93,34.23,0.70,0.76
1540168190255,34.91,34.31,0.60,0.76
1540168190374,Reaction,0,0,0,531
1540168190456,34.99,34.31,0.68,0.76
1540168190653,34.97,34.25,0.72,0.76
1540168190857,35.01,34.25,0.76,0.75
1540168191058,34.97,34.31,0.66,0.75
1540168191254,34.99,34.31,0.68,0.75
1540168191459,34.99,34.29,0.70,0.75
1540168191656,34.99,34.23,0.76,0.75
1540168191856,35.05,34.29,0.76,0.75
1540168192053,34.97,34.31,0.66,0.75
1540168192258,35.05,34.29,0.76,0.75
1540168192455,35.05,34.29,0.76,0.74
1540168192655,34.99,34.25,0.74,0.74
1540168192852,34.99,34.33,0.66,0.74
1540168193052,35.01,34.37,0.64,0.74
1540168193253,35.01,34.29,0.72,0.74
1540168193454,34.93,34.31,0.62,0.74
1540168193655,34.93,34.29,0.64,0.74
1540168193851,34.97,34.29,0.68,0.74
1540168194056,34.93,34.25,0.68,0.73
1540168194253,34.99,34.29,0.70,0.73
1540168194453,34.97,34.31,0.66,0.73
1540168194650,34.99,34.29,0.70,0.73
1540168194854,34.99,34.31,0.68,0.73
1540168195051,34.99,34.29,0.70,0.73
1540168195252,35.01,34.31,0.70,0.73
1540168195449,34.93,34.23,0.70,0.72
1540168195653,34.99,34.25,0.74,0.72
1540168195850,35.05,34.29,0.76,0.72
1540168196050,34.99,34.25,0.74,0.72
1540168196256,34.97,34.25,0.72,0.72
1540168196452,34.97,34.29,0.68,0.72
1540168196653,34.99,34.29,0.70,0.72
1540168196849,34.97,34.25,0.72,0.72
1540168197054,34.99,34.31,0.68,0.72
1540168197251,34.97,34.25,0.72,0.72
1540168197451,34.97,34.29,0.68,0.72
1540168197648,34.93,34.29,0.64,0.72
1540168197848,34.91,34.17,0.74,0.72
1540168198050,34.93,34.23,0.70,0.72
1540168198250,34.93,34.15,0.78,0.72
1540168198451,34.93,34.25,0.68,0.72
1540168198647,34.93,34.13,0.80,0.72
1540168198852,34.99,34.09,0.90,0.72
1540168199049,35.01,34.13,0.88,0.72
1540168199250,34.99,34.15,0.84,0.72
1540168199446,34.97,34.13,0.84,0.72
1540168199651,34.97,34.13,0.84,0.72
1540168199847,34.97,34.13,0.84,0.72
1540168200048,35.01,34.17,0.84,0.72
1540168200245,34.99,34.17,0.82,0.73
1540168200392,Interruption
1540168200449,35.01,34.23,0.78,0.73
1540168200650,35.01,34.29,0.72,0.73
1540168200846,34.99,34.29,0.70,0.73
1540168200917,Reaction,0,0,0,525
1540168201052,34.93,34.23,0.70,0.74
1540168201248,34.97,34.25,0.72,0.74
1540168201449,34.93,34.23,0.70,0.74
1540168201645,34.91,34.21,0.70,0.74
1540168201851,34.93,34.17,0.76,0.74
1540168202047,34.93,34.25,0.68,0.74
1540168202248,34.93,34.25,0.68,0.74
1540168202444,34.97,34.17,0.80,0.74
1540168202645,34.93,34.15,0.78,0.74
1540168202846,34.97,34.13,0.84,0.74
1540168203046,35.01,34.17,0.84,0.74
1540168203247,34.99,34.15,0.84,0.75
1540168203443,34.97,34.17,0.80,0.75
1540168203648,34.97,34.29,0.68,0.75
1540168203845,34.99,34.23,0.76,0.75
1540168204046,35.01,34.23,0.78,0.75
1540168204242,34.97,34.21,0.76,0.75
1540168204447,35.01,34.25,0.76,0.75
1540168204643,34.97,34.25,0.72,0.75
1540168204845,34.99,34.25,0.74,0.76
1540168205041,34.93,34.29,0.64,0.76
1540168205246,34.93,34.23,0.70,0.76
1540168205446,34.97,34.29,0.68,0.76
1540168205643,35.01,34.29,0.72,0.76
1540168205848,34.99,34.29,0.70,0.76
1540168206044,35.01,34.25,0.76,0.75
1540168206245,34.97,34.31,0.66,0.75
1540168206441,35.01,34.29,0.72,0.75
1540168206647,34.97,34.39,0.58,0.75
1540168206843,34.97,34.37,0.60,0.75
1540168207044,34.93,34.39,0.54,0.75
1540168207240,34.97,34.33,0.64,0.75
1540168207441,34.97,34.39,0.58,0.75
1540168207642,34.93,34.31,0.62,0.74
1540168207843,34.93,34.37,0.56,0.74
1540168208043,34.91,34.37,0.54,0.74
1540168208244,34.93,34.29,0.64,0.73
1540168208444,34.93,34.31,0.62,0.73
1540168208641,34.97,34.37,0.60,0.73
1540168208842,34.93,34.29,0.64,0.72
1540168209038,35.01,34.29,0.72,0.72
1540168209243,35.01,34.29,0.72,0.72
1540168209439,34.99,34.29,0.70,0.71
1540168209641,35.01,34.29,0.72,0.71
1540168209837,34.99,34.33,0.66,0.71
1540168210042,34.99,34.37,0.62,0.70
1540168210238,34.97,34.39,0.58,0.70
1540168210440,34.97,34.33,0.64,0.70
1540168210644,34.93,34.31,0.62,0.70
1540168210841,34.99,34.31,0.68,0.70
1540168210923,Interruption
1540168211041,34.97,34.29,0.68,0.69
1540168211238,35.01,34.25,0.76,0.69
1540168211443,34.99,34.15,0.84,0.69
1540168211653,Reaction,0,0,0,730
1540168211639,34.91,34.23,0.68,0.69
1540168211840,34.97,34.23,0.74,0.69
1540168212036,34.91,34.17,0.74,0.69
1540168212241,34.97,34.25,0.72,0.69
1540168212438,34.91,34.25,0.66,0.69
1540168212639,35.01,34.25,0.76,0.69
1540168212835,34.93,34.21,0.72,0.69
1540168213040,34.97,34.17,0.80,0.69
1540168213240,34.99,34.17,0.82,0.69
1540168213438,34.97,34.25,0.72,0.69
1540168213638,35.01,34.25,0.76,0.69
1540168213835,34.99,34.29,0.70,0.69
1540168214039,34.93,34.25,0.68,0.69
1540168214236,34.99,34.31,0.68,0.69
1540168214437,34.93,34.29,0.64,0.69
1540168214634,34.99,34.31,0.68,0.70
1540168214838,34.91,34.29,0.62,0.70
1540168215035,34.93,34.29,0.64,0.70
1540168215235,34.91,34.29,0.62,0.70
1540168215440,34.97,34.29,0.68,0.70
1540168215637,34.91,34.25,0.66,0.70
1540168215837,34.91,34.29,0.62,0.70
1540168216034,34.93,34.29,0.64,0.69
1540168216239,34.93,34.29,0.64,0.69
1540168216436,34.97,34.29,0.68,0.69
1540168216636,35.05,34.31,0.74,0.69
1540168216833,34.99,34.25,0.74,0.69
1540168217033,34.97,34.29,0.68,0.69
1540168217235,35.01,34.33,0.68,0.69
1540168217435,35.01,34.25,0.76,0.69
1540168217635,35.01,34.33,0.68,0.69
1540168217832,35.05,34.31,0.74,0.69
1540168218036,35.01,34.39,0.62,0.69
1540168218234,34.97,34.33,0.64,0.69
1540168218434,35.01,34.33,0.68,0.69
1540168218631,34.97,34.31,0.66,0.69
1540168218835,34.99,34.37,0.62,0.69
1540168219032,34.97,34.33,0.64,0.69
1540168219233,35.01,34.33,0.68,0.69
1540168219430,35.05,34.33,0.72,0.69
1540168219634,35.01,34.31,0.70,0.69
1540168219831,34.99,34.39,0.60,0.69
1540168220031,34.99,34.29,0.70,0.68
1540168220237,35.01,34.29,0.72,0.68
1540168220433,34.97,34.21,0.76,0.68
1540168220633,35.05,34.25,0.80,0.68
1540168220830,34.99,34.21,0.78,0.68
1540168221031,35.05,34.31,0.74,0.68
1540168221232,35.05,34.21,0.84,0.69
1540168221432,35.01,34.31,0.70,0.69
1540168221629,34.97,34.31,0.66,0.69
1540168221667,Interruption
1540168221829,34.97,34.31,0.66,0.69
1540168222035,34.97,34.29,0.68,0.69
1540168222133,Reaction,0,0,0,466
1540168222231,34.97,34.33,0.64,0.69
1540168222432,34.99,34.29,0.70,0.69
1540168222628,34.99,34.25,0.74,0.69
1540168222834,35.01,34.31,0.70,0.69
1540168223030,34.97,34.33,0.64,0.69
1540168223231,34.97,34.29,0.68,0.69
1540168223427,35.01,34.29,0.72,0.69
1540168223631,34.91,34.31,0.60,0.69
1540168223828,34.97,34.29,0.68,0.69
1540168224029,34.99,34.21,0.78,0.69
1540168224234,34.99,34.21,0.78,0.69
1540168224430,35.07,34.15,0.92,0.69
1540168224631,34.99,34.21,0.78,0.69
1540168224828,35.01,34.25,0.76,0.69
1540168225029,34.91,34.25,0.66,0.69
1540168225229,34.99,34.25,0.74,0.70
1540168225430,35.01,34.31,0.70,0.70
1540168225626,35.01,34.17,0.84,0.70
1540168225828,34.97,34.21,0.76,0.70
1540168226024,34.93,34.25,0.68,0.70
1540168226228,35.01,34.23,0.78,0.70
1540168226429,35.01,34.21,0.80,0.70
1540168226625,34.99,34.33,0.66,0.71
1540168226831,34.93,34.29,0.64,0.71
1540168227027,34.93,34.29,0.64,0.71
1540168227228,34.99,34.29,0.70,0.71
1540168227424,34.91,34.21,0.70,0.71
1540168227630,34.99,34.23,0.76,0.71
1540168227826,34.93,34.15,0.78,0.71
1540168228027,34.89,34.17,0.72,0.71
1540168228223,34.99,34.21,0.78,0.71
1540168228428,34.99,34.25,0.74,0.71
1540168228625,35.01,34.29,0.72,0.71
1540168228826,34.99,34.21,0.78,0.72
1540168229026,34.99,34.21,0.78,0.72
1540168229226,34.97,34.21,0.76,0.72
1540168229427,34.93,34.21,0.72,0.72
1540168229624,34.97,34.21,0.76,0.72
1540168229825,34.99,34.29,0.70,0.72
1540168230025,34.99,34.29,0.70,0.72
1540168230226,34.97,34.25,0.72,0.72
1540168230422,34.97,34.25,0.72,0.72
1540168230624,35.01,34.17,0.84,0.73
1540168230820,34.99,34.17,0.82,0.73
1540168231025,34.99,34.17,0.82,0.73
1540168231221,34.99,34.13,0.86,0.73
1540168231422,34.97,34.15,0.82,0.73
1540168231627,34.93,34.15,0.78,0.73
1540168231824,34.93,34.17,0.76,0.73
1540168232024,35.05,34.21,0.84,0.74
1540168232140,Interruption
1540168232220,34.97,34.17,0.80,0.74
1540168232426,34.93,34.15,0.78,0.74
1540168232622,34.97,34.15,0.82,0.74
1540168232741,Reaction,0,0,0,601
1540168232823,34.97,34.15,0.82,0.74
1540168233019,34.93,34.15,0.78,0.75
1540168233224,34.99,34.15,0.84,0.75
1540168233421,34.99,34.17,0.82,0.75
1540168233622,35.01,34.13,0.88,0.75
1540168233818,34.97,34.17,0.80,0.75
1540168234023,34.97,34.15,0.82,0.75
1540168234223,34.99,34.13,0.86,0.76
1540168234421,34.99,34.13,0.86,0.76
1540168234625,34.97,34.09,0.88,0.76
1540168234821,34.97,34.07,0.90,0.76
1540168235022,35.05,34.07,0.98,0.77
1540168235218,34.99,34.13,0.86,0.77
1540168235420,34.99,34.13,0.86,0.77
1540168235620,34.99,34.15,0.84,0.78
1540168235821,34.93,34.17,0.76,0.78
1540168236017,34.99,34.15,0.84,0.78
1540168236218,35.01,34.15,0.86,0.79
1540168236423,34.97,34.07,0.90,0.79
1540168236620,34.99,34.07,0.92,0.79
1540168236820,34.99,34.07,0.92,0.79
1540168237017,34.91,34.13,0.78,0.79
1540168237222,34.97,34.13,0.84,0.80
1540168237419,34.97,34.09,0.88,0.80
1540168237619,34.97,34.07,0.90,0.80
1540168237815,34.99,34.09,0.90,0.80
1540168238020,34.99,34.09,0.90,0.81
1540168238217,35.01,34.07,0.94,0.81
1540168238418,35.05,34.13,0.92,0.81
1540168238622,35.05,34.07,0.98,0.82
1540168238819,34.99,34.07,0.92,0.82
1540168239020,35.01,34.07,0.94,0.82
1540168239217,34.99,34.07,0.92,0.82
1540168239417,34.97,34.13,0.84,0.83
1540168239618,34.93,34.13,0.80,0.83
