1539762654599,315,-1.32,0.04
1539762679232,35.15,34.83,0.32,-0.00
1539762679432,35.01,34.89,0.12,0.01
1539762679629,34.93,34.85,0.08,0.02
1539762679834,34.97,34.91,0.06,0.03
1539762680034,34.93,34.89,0.04,0.04
1539762680232,34.97,34.97,0.00,0.05
1539762680436,34.97,34.97,0.00,0.05
1539762680633,34.93,34.97,-0.04,0.06
1539762680834,35.01,35.01,0.00,0.06
1539762681034,35.05,34.99,0.06,0.07
1539762681231,35.05,34.99,0.06,0.07
1539762681435,35.01,34.93,0.08,0.07
1539762681632,34.91,34.97,-0.06,0.07
1539762681832,34.85,34.91,-0.06,0.08
1539762682033,34.83,34.93,-0.10,0.08
1539762682229,34.89,34.99,-0.10,0.08
1539762682435,34.91,34.93,-0.02,0.08
1539762682631,35.01,34.97,0.04,0.08
1539762682832,35.07,34.99,0.08,0.08
1539762683029,35.07,34.93,0.14,0.07
1539762683234,35.13,35.01,0.12,0.07
1539762683430,35.09,35.35,-0.26,0.07
1539762683631,35.21,35.47,-0.26,0.07
1539762683827,35.21,35.55,-0.34,0.07
1539762684033,35.29,35.61,-0.32,0.07
1539762684229,35.21,35.67,-0.46,0.06
1539762684429,35.13,35.63,-0.50,0.06
1539762684634,35.09,35.67,-0.58,0.05
1539762684831,35.15,35.53,-0.38,0.04
1539762685032,35.15,35.59,-0.44,0.03
1539762685228,35.19,35.47,-0.28,0.02
1539762685433,35.19,35.37,-0.18,0.01
1539762685630,35.21,35.31,-0.10,-0.00
1539762685830,35.19,35.35,-0.16,-0.01
1539762686031,35.07,35.37,-0.30,-0.02
1539762686232,34.97,35.31,-0.34,-0.03
1539762686432,34.83,35.23,-0.40,-0.04
1539762686629,34.85,35.19,-0.34,-0.05
1539762686829,34.97,35.13,-0.16,-0.06
1539762687030,34.85,35.15,-0.30,-0.07
1539762687231,34.83,35.21,-0.38,-0.07
1539762687428,34.81,35.35,-0.54,-0.08
1539762687628,34.85,35.39,-0.54,-0.09
1539762687833,34.99,35.45,-0.46,-0.10
1539762688029,34.99,35.47,-0.48,-0.11
1539762688230,35.01,35.45,-0.44,-0.12
1539762688426,35.05,35.47,-0.42,-0.13
1539762688627,34.99,35.45,-0.46,-0.15
1539762688833,34.91,35.51,-0.60,-0.16
1539762689029,34.77,35.51,-0.74,-0.17
1539762689230,34.81,35.43,-0.62,-0.18
1539762689427,34.89,35.37,-0.48,-0.19
1539762689631,34.83,35.29,-0.46,-0.20
1539762689832,34.83,35.35,-0.52,-0.22
1539762690029,34.89,35.35,-0.46,-0.23
1539762690230,34.83,35.23,-0.40,-0.24
1539762690426,34.83,35.31,-0.48,-0.25
1539762690630,34.89,35.23,-0.34,-0.26
1539762690831,34.89,35.31,-0.42,-0.27
1539762691028,34.91,35.27,-0.36,-0.28
1539762691228,35.01,35.19,-0.18,-0.29
1539762691425,34.85,35.27,-0.42,-0.29
1539762691630,34.85,35.35,-0.50,-0.30
1539762691827,34.89,35.31,-0.42,-0.30
1539762692027,35.05,35.35,-0.30,-0.31
1539762692228,34.97,35.43,-0.46,-0.31
1539762692425,35.05,35.35,-0.30,-0.32
1539762692629,35.07,35.27,-0.20,-0.32
1539762692825,35.09,35.23,-0.14,-0.33
1539762693027,35.13,35.15,-0.02,-0.33
1539762693223,34.97,35.15,-0.18,-0.33
1539762693428,34.89,35.21,-0.32,-0.33
1539762693628,34.83,35.35,-0.52,-0.33
1539762693825,34.77,35.43,-0.66,-0.33
1539762694026,34.83,35.47,-0.64,-0.33
1539762694222,34.83,35.51,-0.68,-0.34
1539762694427,34.77,35.43,-0.66,-0.34
1539762694628,34.83,35.47,-0.64,-0.35
1539762694825,34.75,35.43,-0.68,-0.35
1539762695030,34.89,35.39,-0.50,-0.36
1539762695226,34.91,35.39,-0.48,-0.36
1539762695427,34.93,35.47,-0.54,-0.37
1539762695623,34.85,35.45,-0.60,-0.38
1539762695824,34.81,35.47,-0.66,-0.38
