1540346839180,38.43,28.13,10.30,10.38
1540346839377,38.43,28.05,10.38,10.38
1540346839577,38.49,28.19,10.30,10.39
1540346839778,38.43,28.17,10.26,10.38
1540346839978,38.45,28.07,10.38,10.39
1540346840186,38.45,28.01,10.44,10.39
1540346840376,38.41,28.05,10.36,10.38
1540346840581,38.43,27.95,10.48,10.39
1540346840806,38.43,27.95,10.48,10.38
1540346840978,38.41,27.95,10.46,10.39
1540346841175,38.45,27.95,10.50,10.39
1540346841384,38.43,28.01,10.42,10.39
1540346841576,38.45,27.95,10.50,10.40
1540346841777,38.41,27.99,10.42,10.39
1540346841974,38.41,27.95,10.46,10.40
1540346842178,38.41,27.99,10.42,10.40
1540346842375,38.43,27.95,10.48,10.39
1540346842576,38.41,27.93,10.48,10.40
1540346842772,38.37,27.91,10.46,10.39
1540346842977,38.35,27.85,10.50,10.40
1540346843174,38.45,27.95,10.50,10.40
1540346843374,38.45,27.93,10.52,10.40
1540346843579,38.37,27.93,10.44,10.41
1540346843776,38.43,27.99,10.44,10.40
1540346843977,38.41,27.91,10.50,10.41
1540346844173,38.37,27.81,10.56,10.41
1540346844378,38.45,27.87,10.58,10.41
1540346844574,38.37,27.81,10.56,10.42
1540346844775,38.41,27.79,10.62,10.41
1540346844972,38.41,27.79,10.62,10.42
1540346845177,38.41,27.79,10.62,10.42
1540346845374,38.37,27.73,10.64,10.42
1540346845575,38.43,27.75,10.68,10.44
1540346845770,38.41,27.79,10.62,10.43
1540346845975,38.41,27.79,10.62,10.44
1540346846172,38.37,27.85,10.52,10.45
1540346846372,38.35,27.81,10.54,10.45
1540346846569,38.41,27.81,10.60,10.46
1540346846774,38.37,27.75,10.62,10.45
1540346846975,38.41,27.81,10.60,10.47
1540346847182,38.43,27.85,10.58,10.47
1540346847372,38.35,27.91,10.44,10.47
1540346847573,38.37,27.85,10.52,10.48
1540346847773,38.35,27.85,10.50,10.47
1540346847970,38.37,27.93,10.44,10.48
1540346848171,38.45,27.93,10.52,10.48
1540346848372,38.37,27.95,10.42,10.48
1540346848572,38.43,27.91,10.52,10.49
1540346848769,38.41,27.85,10.56,10.49
1540346848969,38.37,27.85,10.52,10.50
1540346849170,38.41,27.75,10.66,10.50
1540346849371,38.45,27.75,10.70,10.49
1540346849567,38.41,27.79,10.62,10.51
1540346849768,38.41,27.91,10.50,10.50
1540346849972,38.43,27.93,10.50,10.51
1540346850169,38.43,27.93,10.50,10.51
1540346850370,38.45,27.93,10.52,10.51
1540346850571,38.43,27.87,10.56,10.52
1540346850772,38.45,27.91,10.54,10.51
1540346850968,38.41,27.85,10.56,10.52
1540346851169,38.45,27.91,10.54,10.52
1540346851369,38.45,27.93,10.52,10.51
1540346851570,38.49,27.99,10.50,10.52
1540346851766,38.43,28.01,10.42,10.51
1540346851968,38.43,28.05,10.38,10.52
1540346852168,38.49,28.05,10.44,10.52
1540346852369,38.41,28.05,10.36,10.51
1540346852565,38.43,28.05,10.38,10.52
1540346852771,38.43,28.07,10.36,10.51
1540346852967,38.41,28.07,10.34,10.51
1540346853167,38.49,28.07,10.42,10.51
1540346853364,38.43,28.13,10.30,10.50
