1540344035752,38.19,33.41,4.78,5.56
1540344035957,38.13,33.55,4.58,5.84
1540344036154,38.19,33.41,4.78,6.08
1540344036354,38.19,33.39,4.80,6.29
1540344036560,38.19,33.39,4.80,6.47
1540344036756,38.11,33.33,4.78,6.61
1540344036956,38.17,33.35,4.82,6.73
1540344037154,38.17,33.39,4.78,6.82
1540344037359,38.17,33.39,4.78,6.90
1540344037555,38.11,33.39,4.72,6.96
1540344037756,38.17,33.43,4.74,6.99
1540344037952,38.13,33.41,4.72,7.02
1540344038157,38.09,33.35,4.74,7.03
1540344038354,38.13,33.29,4.84,7.03
1540344038555,38.21,33.33,4.88,7.03
1540344038751,38.13,33.27,4.86,7.01
1540344038956,38.19,33.25,4.94,6.99
1540344039152,38.13,33.27,4.86,6.96
1540344039353,38.17,33.39,4.78,6.92
1540344039557,38.17,33.49,4.68,6.88
1540344039754,38.11,33.51,4.60,6.84
1540344039954,38.05,33.51,4.54,6.79
1540344040152,38.11,33.55,4.56,6.74
1540344040356,38.11,33.47,4.64,6.69
1540344040553,38.11,33.47,4.64,6.64
1540344040754,38.13,33.43,4.70,6.58
1540344040951,38.09,33.47,4.62,6.52
1540344041155,38.13,33.35,4.78,6.46
1540344041351,38.03,33.27,4.76,6.40
1540344041552,38.05,33.29,4.76,6.35
1540344041749,38.13,33.27,4.86,6.29
1540344041954,38.11,33.29,4.82,6.23
1540344042151,38.11,33.29,4.82,6.18
1540344042351,38.05,33.29,4.76,6.12
1540344042547,38.05,33.35,4.70,6.07
1540344042753,38.11,33.41,4.70,6.02
1540344042953,38.13,33.55,4.58,5.97
1540344043149,38.03,33.47,4.56,5.92
1540344043355,38.03,33.43,4.60,5.87
1540344043551,38.09,33.47,4.62,5.82
1540344043752,38.11,33.43,4.68,5.77
1540344043948,38.05,33.51,4.54,5.73
1540344044153,38.11,33.61,4.50,5.68
1540344044350,38.11,33.63,4.48,5.64
1540344044551,38.09,33.71,4.38,5.60
1540344044747,38.13,33.71,4.42,5.55
1540344044952,38.05,33.35,4.70,5.51
1540344045148,38.05,33.25,4.80,5.47
1540344045349,38.11,33.07,5.04,5.43
1540344045545,38.05,33.21,4.84,5.39
1540344045750,38.13,33.17,4.96,5.36
1540344045947,38.09,33.25,4.84,5.33
1540344046148,38.13,33.33,4.80,5.30
1540344046344,38.13,33.39,4.74,5.27
1540344046549,38.17,33.39,4.78,5.25
1540344046750,38.09,33.39,4.70,5.22
1540344046946,38.17,33.39,4.78,5.19
1540344047151,38.11,33.41,4.70,5.17
1540344047347,38.05,33.41,4.64,5.15
1540344047549,38.11,33.39,4.72,5.13
1540344047746,38.09,33.41,4.68,5.10
1540344047950,38.11,33.47,4.64,5.09
1540344048147,38.05,33.55,4.50,5.07
1540344048348,38.03,33.55,4.48,5.05
1540344048544,38.13,33.63,4.50,5.03
1540344048749,38.03,33.63,4.40,5.01
1540344048946,38.09,33.65,4.44,4.99
1540344049146,38.03,33.57,4.46,4.97
1540344049342,38.11,33.51,4.60,4.95
1540344049548,38.09,33.49,4.60,4.94
1540344049744,38.03,33.39,4.64,4.92
