1539850904526,36.57,27.23,9.34,9.35
1539850904729,36.53,27.21,9.32,9.36
1539850904916,36.49,27.25,9.24,9.35
1539850905119,36.49,27.17,9.32,9.35
1539850905322,36.55,27.23,9.32,9.36
1539850905526,36.49,27.29,9.20,9.35
1539850905729,36.53,27.23,9.30,9.35
1539850905916,36.55,27.21,9.34,9.35
1539850906119,36.53,27.21,9.32,9.34
1539850906322,36.53,27.17,9.36,9.35
1539850906526,36.53,27.21,9.32,9.34
1539850906713,36.55,27.23,9.32,9.34
1539850906916,36.53,27.17,9.36,9.34
1539850907119,36.49,27.25,9.24,9.33
1539850907322,36.53,27.23,9.30,9.34
1539850907526,36.47,27.25,9.22,9.33
1539850907713,36.53,27.23,9.30,9.34
1539850907916,36.55,27.23,9.32,9.33
1539850908119,36.49,27.23,9.26,9.33
1539850908322,36.49,27.17,9.32,9.33
1539850908510,36.47,27.21,9.26,9.32
1539850908729,36.53,27.23,9.30,9.33
1539850908916,36.53,27.25,9.28,9.32
1539850909119,36.53,27.23,9.30,9.32
1539850909323,36.53,27.21,9.32,9.32
1539850909526,36.53,27.23,9.30,9.31
1539850909713,36.53,27.23,9.30,9.32
1539850909916,36.55,27.25,9.30,9.32
1539850910119,36.53,27.23,9.30,9.31
1539850910323,36.53,27.25,9.28,9.32
1539850910526,36.53,27.23,9.30,9.31
1539850910713,36.53,27.25,9.28,9.32
1539850910916,36.55,27.23,9.32,9.31
1539850911088,Interruption
1539850911119,36.55,27.29,9.26,9.31
1539850911323,36.47,27.23,9.24,9.32
1539850911510,36.53,27.23,9.30,9.31
1539850911713,36.53,27.21,9.32,9.31
1539850911791,Reaction,0,0,0,703
1539850911916,36.53,27.21,9.32,9.31
1539850912120,36.47,27.23,9.24,9.31
1539850912307,36.53,27.23,9.30,9.31
1539850912510,36.55,27.23,9.32,9.30
1539850912713,36.57,27.25,9.32,9.31
1539850912917,36.55,27.25,9.30,9.31
1539850913120,36.55,27.25,9.30,9.30
1539850913307,36.53,27.25,9.28,9.31
1539850913510,36.55,27.21,9.34,9.30
1539850913713,36.49,27.25,9.24,9.31
1539850913917,36.57,27.21,9.36,9.30
1539850914104,36.49,27.21,9.28,9.30
1539850914323,36.53,27.15,9.38,9.31
1539850914510,36.53,27.25,9.28,9.30
1539850914714,36.49,27.23,9.26,9.31
1539850914917,36.45,27.23,9.22,9.30
1539850915120,36.53,27.25,9.28,9.30
1539850915323,36.53,27.25,9.28,9.31
1539850915510,36.61,27.25,9.36,9.30
1539850915714,36.53,27.23,9.30,9.31
1539850915917,36.53,27.25,9.28,9.30
1539850916120,36.61,27.23,9.38,9.30
1539850916307,36.49,27.25,9.24,9.31
1539850916511,36.57,27.23,9.34,9.30
1539850916714,36.55,27.21,9.34,9.31
1539850916917,36.53,27.23,9.30,9.30
1539850917120,36.49,27.23,9.26,9.30
1539850917307,36.53,27.23,9.30,9.31
1539850917511,36.55,27.23,9.32,9.30
1539850917714,36.53,27.21,9.32,9.31
1539850917917,36.57,27.21,9.36,9.30
1539850918104,36.55,27.21,9.34,9.30
1539850918307,36.53,27.23,9.30,9.31
1539850918511,36.55,27.21,9.34,9.30
1539850918714,36.57,27.23,9.34,9.31
1539850918901,36.55,27.23,9.32,9.31
1539850919120,36.55,27.17,9.38,9.30
1539850919307,36.57,27.15,9.42,9.31
1539850919511,36.61,27.15,9.46,9.30
1539850919714,36.61,27.17,9.44,9.31
1539850919901,36.57,27.21,9.36,9.31
1539850920104,36.63,27.21,9.42,9.31
1539850920307,36.53,27.17,9.36,9.32
1539850920511,36.55,27.17,9.38,9.31
1539850920698,36.57,27.21,9.36,9.32
1539850920917,36.61,27.17,9.44,9.32
