1539819530000,35.89,34.07,1.82,1.84
1539819530188,35.93,34.09,1.84,1.84
1539819530391,35.93,34.09,1.84,1.84
1539819530594,35.93,34.15,1.78,1.83
1539819530797,35.93,34.09,1.84,1.83
1539819531000,35.93,34.03,1.90,1.83
1539819531188,35.99,33.85,2.14,1.83
1539819531406,35.99,33.87,2.12,1.83
1539819531594,35.93,33.85,2.08,1.83
1539819531797,35.97,34.01,1.96,1.83
1539819532000,35.91,33.95,1.96,1.83
1539819532188,35.97,33.95,2.02,1.83
1539819532391,36.01,33.99,2.02,1.84
1539819532594,35.97,33.95,2.02,1.84
1539819532797,35.91,34.07,1.84,1.84
1539819532984,35.83,34.09,1.74,1.85
1539819533203,35.83,34.09,1.74,1.85
1539819533391,35.83,34.09,1.74,1.85
1539819533594,35.83,34.07,1.76,1.85
1539819533797,35.77,34.01,1.76,1.85
1539819533984,35.75,34.01,1.74,1.86
1539819534188,35.83,33.99,1.84,1.85
1539819534391,35.85,33.95,1.90,1.86
1539819534422,Interruption
1539819534594,35.93,33.91,2.02,1.86
1539819534797,Reaction,0,0,0,375
1539819534797,35.93,33.91,2.02,1.86
1539819535000,35.97,33.87,2.10,1.86
1539819535188,35.99,33.87,2.12,1.86
1539819535391,36.05,33.79,2.26,1.86
1539819535594,36.05,33.87,2.18,1.87
1539819535797,36.09,33.87,2.22,1.87
1539819535984,35.99,33.91,2.08,1.88
1539819536188,36.01,33.95,2.06,1.88
1539819536391,35.99,33.99,2.00,1.89
1539819536594,36.01,34.03,1.98,1.89
1539819536797,36.01,33.95,2.06,1.90
1539819536984,35.99,33.95,2.04,1.91
1539819537188,36.01,33.99,2.02,1.91
1539819537391,35.93,33.93,2.00,1.92
1539819537594,35.97,33.83,2.14,1.92
1539819537781,35.97,33.69,2.28,1.93
1539819537984,35.99,33.69,2.30,1.93
1539819538188,35.99,33.71,2.28,1.94
1539819538391,35.93,33.63,2.30,1.95
1539819538594,35.93,33.61,2.32,1.96
1539819538781,35.93,33.51,2.42,1.96
1539819539000,35.99,33.63,2.36,1.97
1539819539188,36.01,33.61,2.40,1.98
1539819539391,36.05,33.61,2.44,2.00
1539819539594,36.01,33.55,2.46,2.01
1539819539797,36.05,33.61,2.44,2.02
1539819539985,36.13,33.51,2.62,2.03
1539819540188,36.07,33.47,2.60,2.04
1539819540391,36.01,33.51,2.50,2.06
1539819540594,36.01,33.65,2.36,2.07
1539819540782,35.97,33.77,2.20,2.08
1539819540985,35.97,33.87,2.10,2.10
1539819541188,35.97,33.87,2.10,2.11
1539819541391,35.97,33.91,2.06,2.12
1539819541594,35.99,33.87,2.12,2.13
1539819541782,35.99,33.87,2.12,2.13
1539819541985,35.93,33.83,2.10,2.14
1539819542188,35.91,33.83,2.08,2.14
1539819542391,35.93,33.85,2.08,2.15
1539819542579,35.99,33.91,2.08,2.15
1539819542782,35.89,33.87,2.02,2.16
1539819542985,35.89,33.79,2.10,2.16
1539819543188,35.93,33.85,2.08,2.16
1539819543391,35.91,33.83,2.08,2.16
1539819543579,35.93,33.77,2.16,2.16
1539819543782,35.97,33.71,2.26,2.16
1539819543985,35.97,33.79,2.18,2.16
1539819544188,35.91,33.65,2.26,2.16
1539819544375,35.97,33.63,2.34,2.16
1539819544594,35.93,33.63,2.30,2.16
1539819544782,35.97,33.63,2.34,2.17
1539819544860,Interruption
1539819544985,35.97,33.63,2.34,2.17
1539819545188,35.93,33.63,2.30,2.17
1539819545204,Reaction,0,0,0,344
1539819545376,35.99,33.61,2.38,2.18
1539819545594,35.97,33.55,2.42,2.18
1539819545782,35.97,33.55,2.42,2.18
1539819545985,35.91,33.57,2.34,2.19
1539819546188,35.91,33.57,2.34,2.19
1539819546391,35.99,33.55,2.44,2.20
1539819546579,35.89,33.63,2.26,2.20
1539819546782,35.93,33.71,2.22,2.20
1539819546985,35.81,33.63,2.18,2.21
1539819547188,35.93,33.71,2.22,2.21
1539819547376,35.85,33.71,2.14,2.22
1539819547579,35.85,33.71,2.14,2.22
1539819547782,35.85,33.61,2.24,2.22
1539819547985,35.85,33.61,2.24,2.22
1539819548188,35.85,33.57,2.28,2.22
1539819548376,35.81,33.63,2.18,2.22
1539819548579,35.77,33.65,2.12,2.23
1539819548782,35.81,33.71,2.10,2.23
1539819548985,35.83,33.69,2.14,2.23
1539819549173,35.85,33.69,2.16,2.23
1539819549376,35.85,33.65,2.20,2.23
1539819549579,35.81,33.57,2.24,2.23
1539819549782,35.77,33.63,2.14,2.23
1539819549985,35.89,33.61,2.28,2.23
1539819550173,35.89,33.61,2.28,2.23
1539819550376,35.83,33.61,2.22,2.23
1539819550579,35.83,33.57,2.26,2.23
1539819550782,35.85,33.61,2.24,2.23
1539819550969,35.83,33.61,2.22,2.23
1539819551188,35.83,33.49,2.34,2.23
1539819551376,35.83,33.49,2.34,2.23
1539819551579,35.85,33.61,2.24,2.23
1539819551782,35.83,33.49,2.34,2.23
1539819551985,35.81,33.55,2.26,2.23
1539819552188,35.81,33.57,2.24,2.23
1539819552376,35.81,33.57,2.24,2.24
1539819552579,35.77,33.57,2.20,2.24
1539819552782,35.83,33.57,2.26,2.24
1539819552985,35.83,33.39,2.44,2.24
1539819553173,35.81,33.19,2.62,2.24
1539819553376,35.81,33.27,2.54,2.24
1539819553579,35.81,33.43,2.38,2.24
1539819553782,35.77,33.51,2.26,2.25
1539819553969,35.81,33.51,2.30,2.25
1539819554173,35.83,33.55,2.28,2.26
1539819554376,35.75,33.51,2.24,2.26
1539819554579,35.75,33.57,2.18,2.26
1539819554782,35.75,33.57,2.18,2.26
1539819554969,35.75,33.55,2.20,2.27
1539819555173,35.75,33.49,2.26,2.27
1539819555251,Interruption
1539819555376,35.75,33.49,2.26,2.27
1539819555579,35.81,33.39,2.42,2.27
1539819555610,Reaction,0,0,0,359
1539819555766,35.75,33.25,2.50,2.27
1539819555970,35.75,33.29,2.46,2.27
1539819556173,35.77,33.33,2.44,2.27
1539819556376,35.81,33.33,2.48,2.28
1539819556579,35.77,33.19,2.58,2.28
1539819556766,35.81,33.13,2.68,2.28
1539819556970,35.83,33.13,2.70,2.29
1539819557173,35.85,33.19,2.66,2.29
1539819557376,35.81,33.21,2.60,2.30
1539819557563,35.81,33.27,2.54,2.31
1539819557782,35.77,33.25,2.52,2.32
1539819557970,35.83,33.33,2.50,2.32
1539819558173,35.83,33.33,2.50,2.33
1539819558376,35.81,33.33,2.48,2.34
1539819558579,35.83,33.29,2.54,2.34
1539819558782,35.77,33.27,2.50,2.35
1539819558970,35.83,33.33,2.50,2.36
1539819559173,35.89,33.27,2.62,2.36
1539819559376,35.83,33.35,2.48,2.37
1539819559579,35.77,33.41,2.36,2.38
1539819559767,35.77,33.41,2.36,2.38
1539819559970,35.77,33.43,2.34,2.39
1539819560173,35.81,33.51,2.30,2.39
1539819560376,35.71,33.55,2.16,2.39
1539819560579,35.69,33.51,2.18,2.39
1539819560767,35.77,33.49,2.28,2.39
1539819560970,35.69,33.51,2.18,2.40
1539819561173,35.71,33.51,2.20,2.39
1539819561376,35.63,33.51,2.12,2.39
