1539676208691,34.75,37.33,-2.58,-2.78
1539676208892,34.83,37.33,-2.50,-2.78
1539676209088,34.89,37.29,-2.40,-2.77
1539676209293,34.91,37.25,-2.34,-2.76
1539676209494,34.91,37.33,-2.42,-2.76
1539676209690,34.89,37.29,-2.40,-2.75
1539676209896,34.91,37.29,-2.38,-2.74
1539676210092,34.97,37.29,-2.32,-2.73
1539676210293,34.93,37.29,-2.36,-2.73
1539676210489,34.97,37.29,-2.32,-2.72
1539676210694,35.05,37.29,-2.24,-2.71
1539676210891,34.99,37.33,-2.34,-2.70
1539676211091,34.89,37.33,-2.44,-2.69
1539676211288,34.81,37.37,-2.56,-2.68
1539676211493,34.85,37.35,-2.50,-2.67
1539676211693,34.89,37.35,-2.46,-2.66
1539676211889,34.91,37.29,-2.38,-2.65
1539676212091,34.89,37.29,-2.40,-2.64
1539676212287,34.89,37.33,-2.44,-2.63
1539676212492,34.91,37.35,-2.44,-2.62
1539676212688,34.89,37.35,-2.46,-2.61
1539676212889,34.91,37.29,-2.38,-2.61
1539676213085,34.91,37.29,-2.38,-2.60
1539676213291,34.85,37.33,-2.48,-2.59
1539676213487,34.89,37.33,-2.44,-2.58
1539676213688,34.77,37.29,-2.52,-2.57
1539676213892,34.71,37.27,-2.56,-2.57
1539676214090,34.75,37.33,-2.58,-2.56
1539676214290,34.85,37.29,-2.44,-2.56
1539676214486,34.93,37.33,-2.40,-2.55
1539676214687,35.01,37.29,-2.28,-2.55
1539676214887,34.99,37.29,-2.30,-2.54
1539676215089,34.93,37.33,-2.40,-2.54
1539676215285,34.85,37.33,-2.48,-2.53
1539676215486,34.91,37.33,-2.42,-2.53
1539676215690,34.91,37.33,-2.42,-2.52
1539676215887,34.99,37.27,-2.28,-2.52
1539676216088,34.85,37.33,-2.48,-2.51
1539676216285,34.89,37.21,-2.32,-2.51
1539676216489,34.89,37.29,-2.40,-2.50
1539676216686,34.83,37.27,-2.44,-2.50
1539676216886,34.89,37.27,-2.38,-2.50
1539676217083,34.89,37.21,-2.32,-2.49
1539676217288,34.93,37.27,-2.34,-2.49
1539676217484,34.91,37.29,-2.38,-2.48
1539676217685,34.91,37.35,-2.44,-2.48
1539676217885,34.97,37.33,-2.36,-2.48
1539676218083,34.97,37.29,-2.32,-2.47
1539676218287,34.97,37.29,-2.32,-2.47
1539676218484,34.89,37.33,-2.44,-2.46
1539676218684,34.81,37.33,-2.52,-2.46
1539676218881,34.85,37.27,-2.42,-2.46
1539676219086,34.81,37.27,-2.46,-2.45
1539676219283,34.67,37.35,-2.68,-2.45
1539676219483,34.75,37.33,-2.58,-2.45
1539676219688,34.71,37.33,-2.62,-2.45
1539676219885,34.75,37.33,-2.58,-2.45
1539676220085,34.83,37.33,-2.50,-2.45
1539676220282,34.81,37.33,-2.52,-2.45
1539676220486,34.71,37.29,-2.58,-2.45
1539676220683,34.67,37.33,-2.66,-2.45
1539676220884,34.67,37.29,-2.62,-2.46
1539676221081,34.69,37.35,-2.66,-2.46
1539676221281,34.61,37.33,-2.72,-2.46
1539676221478,34.55,37.35,-2.80,-2.46
1539676221682,34.59,37.41,-2.82,-2.47
1539676221884,34.63,37.29,-2.66,-2.47
1539676222080,34.63,37.33,-2.70,-2.48
1539676222297,Interruption
1539676222285,34.69,37.35,-2.66,-2.49
1539676222481,34.69,37.35,-2.66,-2.49
1539676222683,34.75,37.41,-2.66,-2.50
1539676222891,Reaction,0,0,0,594
1539676222879,34.81,37.41,-2.60,-2.50
1539676223083,34.83,37.33,-2.50,-2.51
1539676223280,34.91,37.35,-2.44,-2.51
1539676223480,34.81,37.35,-2.54,-2.52
1539676223682,34.77,37.33,-2.56,-2.52
1539676223882,34.75,37.35,-2.60,-2.53
1539676224083,34.75,37.35,-2.60,-2.53
1539676224279,34.69,37.35,-2.66,-2.53
1539676224480,34.71,37.35,-2.64,-2.53
1539676224677,34.71,37.37,-2.66,-2.54
1539676224882,34.69,37.41,-2.72,-2.54
1539676225078,34.75,37.41,-2.66,-2.54
1539676225279,34.81,37.41,-2.60,-2.55
1539676225484,34.75,37.37,-2.62,-2.55
1539676225681,34.89,37.41,-2.52,-2.55
1539676225881,34.89,37.43,-2.54,-2.55
1539676226077,34.99,37.45,-2.46,-2.55
1539676226282,35.01,37.43,-2.42,-2.56
1539676226479,35.09,37.43,-2.34,-2.56
1539676226680,35.07,37.43,-2.36,-2.56
1539676226876,35.07,37.41,-2.34,-2.56
1539676227077,34.99,37.37,-2.38,-2.55
1539676227277,35.07,37.41,-2.34,-2.55
1539676227479,35.01,37.41,-2.40,-2.55
1539676227679,34.85,37.43,-2.58,-2.54
1539676227876,34.89,37.45,-2.56,-2.54
1539676228080,34.91,37.43,-2.52,-2.54
1539676228277,34.97,37.43,-2.46,-2.54
1539676228478,35.01,37.43,-2.42,-2.54
1539676228675,34.93,37.45,-2.52,-2.53
1539676228879,34.85,37.43,-2.58,-2.53
1539676229075,34.81,37.45,-2.64,-2.53
1539676229276,34.75,37.45,-2.70,-2.53
1539676229473,34.77,37.51,-2.74,-2.53
1539676229678,34.83,37.49,-2.66,-2.53
1539676229878,34.85,37.45,-2.60,-2.53
1539676230075,34.91,37.49,-2.58,-2.53
1539676230275,34.89,37.43,-2.54,-2.53
1539676230477,34.91,37.37,-2.46,-2.54
1539676230677,34.89,37.49,-2.60,-2.53
1539676230874,34.89,37.43,-2.54,-2.54
1539676231074,34.89,37.45,-2.56,-2.54
1539676231271,34.93,37.49,-2.56,-2.54
1539676231476,34.89,37.45,-2.56,-2.54
1539676231676,34.91,37.51,-2.60,-2.54
1539676231873,34.89,37.49,-2.60,-2.54
1539676232078,34.89,37.55,-2.66,-2.54
1539676232275,34.93,37.51,-2.58,-2.55
1539676232475,34.93,37.45,-2.52,-2.55
1539676232672,34.85,37.45,-2.60,-2.55
1539676232876,34.91,37.49,-2.58,-2.55
1539676232909,Interruption
1539676233073,34.85,37.51,-2.66,-2.55
1539676233274,34.89,37.45,-2.56,-2.55
1539676233370,Reaction,0,0,0,461
1539676233471,34.97,37.45,-2.48,-2.56
1539676233671,34.93,37.49,-2.56,-2.56
1539676233876,35.01,37.45,-2.44,-2.56
1539676234072,34.99,37.45,-2.46,-2.56
1539676234274,35.05,37.51,-2.46,-2.56
1539676234470,35.13,37.49,-2.36,-2.56
1539676234674,35.13,37.45,-2.32,-2.56
1539676234871,34.97,37.43,-2.46,-2.56
1539676235072,34.91,37.45,-2.54,-2.56
1539676235269,34.83,37.49,-2.66,-2.55
1539676235473,34.83,37.49,-2.66,-2.55
1539676235670,34.89,37.49,-2.60,-2.55
1539676235870,34.91,37.49,-2.58,-2.55
1539676236076,34.97,37.55,-2.58,-2.55
1539676236272,34.89,37.53,-2.64,-2.55
1539676236473,35.01,37.51,-2.50,-2.55
1539676236669,34.91,37.51,-2.60,-2.55
1539676236875,34.97,37.49,-2.52,-2.55
1539676237071,35.07,37.49,-2.42,-2.55
1539676237272,35.13,37.51,-2.38,-2.55
1539676237468,35.05,37.49,-2.44,-2.55
1539676237668,34.93,37.45,-2.52,-2.55
1539676237874,34.93,37.45,-2.52,-2.55
1539676238070,34.91,37.49,-2.58,-2.54
1539676238271,34.85,37.49,-2.64,-2.54
1539676238467,34.85,37.51,-2.66,-2.54
1539676238672,34.85,37.43,-2.58,-2.54
1539676238869,34.83,37.45,-2.62,-2.54
1539676239070,34.91,37.49,-2.58,-2.54
1539676239266,34.91,37.43,-2.52,-2.54
1539676239471,34.89,37.43,-2.54,-2.55
1539676239667,34.83,37.49,-2.66,-2.55
1539676239869,34.81,37.45,-2.64,-2.55
1539676240073,34.81,37.51,-2.70,-2.55
1539676240270,34.81,37.49,-2.68,-2.55
1539676240470,34.81,37.43,-2.62,-2.55
1539676240666,34.89,37.45,-2.56,-2.55
1539676240868,34.83,37.49,-2.66,-2.56
1539676241064,34.89,37.55,-2.66,-2.56
1539676241269,34.85,37.49,-2.64,-2.56
1539676241465,34.85,37.49,-2.64,-2.57
1539676241666,34.93,37.45,-2.52,-2.57
1539676241863,34.99,37.43,-2.44,-2.57
1539676242068,35.05,37.41,-2.36,-2.57
1539676242268,34.97,37.49,-2.52,-2.57
1539676242465,34.97,37.49,-2.52,-2.57
1539676242670,34.93,37.45,-2.52,-2.57
1539676242867,34.99,37.49,-2.50,-2.57
1539676243067,35.05,37.49,-2.44,-2.57
1539676243263,34.93,37.49,-2.56,-2.57
1539676243377,Interruption
1539676243468,34.89,37.51,-2.62,-2.57
1539676243665,34.93,37.45,-2.52,-2.56
1539676243770,Reaction,0,0,0,393
1539676243866,34.89,37.41,-2.52,-2.56
1539676244062,34.91,37.41,-2.50,-2.56
1539676244267,34.91,37.43,-2.52,-2.56
1539676244468,34.91,37.49,-2.58,-2.56
1539676244665,34.85,37.45,-2.60,-2.56
1539676244865,34.83,37.45,-2.62,-2.56
1539676245062,34.81,37.49,-2.68,-2.55
1539676245266,34.81,37.49,-2.68,-2.55
1539676245463,34.85,37.45,-2.60,-2.56
1539676245664,34.89,37.45,-2.56,-2.55
1539676245861,34.85,37.45,-2.60,-2.56
1539676246065,34.91,37.49,-2.58,-2.56
1539676246265,34.91,37.45,-2.54,-2.56
1539676246462,34.89,37.53,-2.64,-2.56
1539676246667,34.89,37.51,-2.62,-2.56
1539676246864,34.85,37.49,-2.64,-2.56
1539676247064,34.85,37.43,-2.58,-2.56
1539676247261,34.81,37.49,-2.68,-2.56
1539676247466,34.89,37.53,-2.64,-2.56
1539676247663,34.85,37.53,-2.68,-2.56
1539676247863,34.85,37.45,-2.60,-2.57
1539676248060,34.91,37.53,-2.62,-2.57
1539676248260,34.85,37.51,-2.66,-2.57
1539676248466,34.99,37.49,-2.50,-2.57
1539676248662,35.09,37.53,-2.44,-2.57
1539676248862,35.05,37.53,-2.48,-2.57
1539676249059,34.93,37.49,-2.56,-2.57
1539676249264,34.91,37.53,-2.62,-2.57
1539676249461,34.97,37.45,-2.48,-2.57
1539676249661,35.01,37.55,-2.54,-2.57
1539676249858,34.93,37.51,-2.58,-2.57
1539676250062,34.89,37.53,-2.64,-2.57
1539676250259,34.89,37.53,-2.64,-2.57
1539676250460,34.89,37.55,-2.66,-2.57
1539676250665,34.89,37.49,-2.60,-2.57
1539676250861,34.91,37.55,-2.64,-2.57
1539676251062,34.81,37.53,-2.72,-2.57
1539676251259,34.83,37.55,-2.72,-2.57
1539676251459,34.89,37.59,-2.70,-2.58
1539676251660,34.89,37.51,-2.62,-2.58
1539676251860,34.85,37.51,-2.66,-2.58
1539676252057,34.85,37.55,-2.70,-2.58
1539676252258,34.89,37.53,-2.64,-2.58
1539676252455,34.85,37.53,-2.68,-2.59
1539676252659,34.91,37.55,-2.64,-2.59
1539676252860,34.83,37.53,-2.70,-2.59
1539676253056,34.77,37.53,-2.76,-2.59
1539676253262,34.75,37.53,-2.78,-2.60
1539676253458,34.75,37.51,-2.76,-2.60
1539676253659,34.77,37.55,-2.78,-2.60
1539676253776,Interruption
1539676253855,34.75,37.55,-2.80,-2.61
1539676254055,34.75,37.53,-2.78,-2.61
1539676254154,Reaction,0,0,0,378
1539676254261,34.71,37.59,-2.88,-2.62
1539676254457,34.69,37.55,-2.86,-2.62
1539676254658,34.77,37.53,-2.76,-2.62
1539676254854,34.69,37.53,-2.84,-2.63
1539676255060,34.75,37.55,-2.80,-2.63
1539676255256,34.85,37.53,-2.68,-2.64
1539676255457,34.83,37.51,-2.68,-2.64
1539676255653,34.83,37.51,-2.68,-2.65
1539676255858,34.89,37.55,-2.66,-2.65
1539676256059,34.99,37.53,-2.54,-2.65
1539676256256,35.07,37.53,-2.46,-2.66
1539676256456,35.09,37.51,-2.42,-2.66
1539676256652,34.97,37.55,-2.58,-2.66
1539676256858,34.93,37.53,-2.60,-2.66
1539676257054,35.05,37.53,-2.48,-2.66
1539676257255,34.97,37.51,-2.54,-2.66
1539676257451,34.93,37.55,-2.62,-2.66
1539676257656,34.89,37.55,-2.66,-2.65
1539676257857,34.91,37.55,-2.64,-2.65
1539676258054,34.85,37.55,-2.70,-2.65
1539676258258,34.89,37.53,-2.64,-2.65
1539676258455,34.91,37.53,-2.62,-2.65
1539676258655,34.89,37.55,-2.66,-2.65
1539676258852,34.91,37.55,-2.64,-2.65
1539676259053,34.89,37.59,-2.70,-2.65
1539676259253,34.85,37.53,-2.68,-2.65
1539676259454,34.83,37.53,-2.70,-2.65
1539676259650,34.75,37.53,-2.78,-2.65
1539676259852,34.85,37.59,-2.74,-2.65
1539676260056,34.97,37.53,-2.56,-2.65
1539676260253,34.97,37.59,-2.62,-2.65
1539676260453,34.97,37.55,-2.58,-2.65
1539676260650,34.89,37.53,-2.64,-2.65
1539676260856,34.91,37.61,-2.70,-2.65
1539676261052,34.91,37.61,-2.70,-2.65
1539676261252,34.93,37.55,-2.62,-2.65
1539676261449,34.93,37.61,-2.68,-2.65
1539676261649,35.05,37.55,-2.50,-2.65
1539676261855,35.01,37.61,-2.60,-2.65
1539676262051,34.97,37.55,-2.58,-2.65
1539676262251,35.05,37.59,-2.54,-2.65
1539676262448,35.01,37.67,-2.66,-2.65
1539676262653,35.01,37.53,-2.52,-2.65
1539676262850,35.07,37.59,-2.52,-2.65
1539676263050,35.13,37.59,-2.46,-2.64
1539676263247,35.13,37.53,-2.40,-2.64
1539676263451,35.07,37.61,-2.54,-2.64
1539676263653,34.97,37.53,-2.56,-2.63
1539676263849,34.89,37.59,-2.70,-2.63
1539676264050,34.89,37.59,-2.70,-2.63
1539676264161,Interruption
1539676264250,34.83,37.61,-2.78,-2.63
1539676264451,34.83,37.63,-2.80,-2.63
1539676264648,34.89,37.61,-2.72,-2.62
1539676264698,Reaction,0,0,0,537
1539676264848,34.93,37.59,-2.66,-2.63
1539676265045,34.91,37.61,-2.70,-2.63
1539676265249,34.91,37.61,-2.70,-2.63
1539676265451,34.85,37.59,-2.74,-2.63
1539676265647,34.81,37.59,-2.78,-2.63
1539676265852,34.77,37.53,-2.76,-2.63
1539676266048,34.71,37.61,-2.90,-2.63
1539676266249,34.71,37.59,-2.88,-2.63
1539676266445,34.71,37.55,-2.84,-2.64
1539676266651,34.71,37.61,-2.90,-2.64
1539676266847,34.81,37.55,-2.74,-2.65
1539676267048,34.83,37.55,-2.72,-2.65
1539676267248,34.89,37.63,-2.74,-2.65
1539676267445,34.91,37.61,-2.70,-2.66
1539676267650,34.91,37.55,-2.64,-2.66
1539676267846,34.89,37.63,-2.74,-2.67
1539676268047,34.85,37.61,-2.76,-2.67
1539676268243,34.85,37.61,-2.76,-2.67
1539676268449,34.89,37.55,-2.66,-2.67
1539676268645,34.85,37.63,-2.78,-2.67
1539676268846,34.91,37.63,-2.72,-2.68
1539676269046,34.89,37.61,-2.72,-2.68
1539676269243,34.91,37.59,-2.68,-2.68
1539676269448,34.83,37.67,-2.84,-2.69
1539676269645,34.85,37.59,-2.74,-2.69
1539676269845,34.85,37.63,-2.78,-2.69
1539676270041,34.83,37.61,-2.78,-2.69
1539676270247,34.89,37.67,-2.78,-2.70
1539676270443,34.97,37.67,-2.70,-2.70
1539676270644,34.99,37.67,-2.68,-2.70
1539676270848,34.91,37.67,-2.76,-2.71
1539676271045,34.89,37.61,-2.72,-2.71
1539676271246,34.91,37.61,-2.70,-2.71
1539676271443,34.91,37.69,-2.78,-2.71
1539676271643,34.89,37.63,-2.74,-2.71
1539676271840,34.93,37.63,-2.70,-2.71
1539676272044,34.97,37.67,-2.70,-2.71
1539676272246,34.97,37.67,-2.70,-2.71
1539676272442,34.93,37.69,-2.76,-2.72
1539676272646,34.91,37.61,-2.70,-2.71
1539676272843,34.97,37.59,-2.62,-2.72
1539676273044,34.91,37.63,-2.72,-2.72
1539676273241,34.85,37.67,-2.82,-2.72
1539676273441,34.89,37.67,-2.78,-2.72
1539676273638,34.83,37.63,-2.80,-2.72
1539676273842,34.83,37.69,-2.86,-2.72
1539676274044,34.91,37.67,-2.76,-2.72
1539676274240,34.89,37.69,-2.80,-2.72
1539676274445,34.91,37.63,-2.72,-2.72
1539676274641,34.89,37.67,-2.78,-2.72
1539676274704,Interruption
1539676274842,34.91,37.69,-2.78,-2.73
1539676275038,34.83,37.71,-2.88,-2.73
1539676275179,Reaction,0,0,0,475
1539676275244,34.81,37.63,-2.82,-2.73
1539676275440,34.89,37.63,-2.74,-2.73
1539676275640,34.77,37.67,-2.90,-2.73
1539676275841,34.77,37.69,-2.92,-2.74
1539676276038,34.69,37.67,-2.98,-2.74
1539676276243,34.67,37.61,-2.94,-2.74
1539676276439,34.71,37.69,-2.98,-2.75
1539676276640,34.71,37.67,-2.96,-2.75
1539676276836,34.75,37.69,-2.94,-2.76
1539676277042,34.77,37.67,-2.90,-2.76
1539676277242,34.91,37.67,-2.76,-2.77
1539676277439,34.81,37.63,-2.82,-2.77
1539676277639,34.77,37.63,-2.86,-2.77
1539676277840,34.83,37.63,-2.80,-2.78
1539676278041,34.69,37.69,-3.00,-2.78
1539676278238,34.67,37.71,-3.04,-2.79
1539676278438,34.69,37.69,-3.00,-2.79
1539676278634,34.81,37.63,-2.82,-2.80
1539676278840,34.89,37.69,-2.80,-2.80
1539676279040,34.85,37.69,-2.84,-2.81
1539676279237,34.85,37.69,-2.84,-2.81
1539676279441,34.83,37.67,-2.84,-2.82
1539676279638,34.81,37.77,-2.96,-2.82
1539676279839,34.75,37.71,-2.96,-2.82
1539676280036,34.83,37.71,-2.88,-2.82
1539676280236,34.81,37.71,-2.90,-2.83
1539676280433,34.81,37.71,-2.90,-2.83
1539676280637,34.89,37.75,-2.86,-2.83
1539676280839,34.89,37.75,-2.86,-2.84
1539676281035,34.91,37.79,-2.88,-2.84
1539676281239,34.91,37.75,-2.84,-2.84
1539676281436,34.93,37.75,-2.82,-2.84
1539676281636,34.99,37.77,-2.78,-2.84
1539676281834,34.93,37.71,-2.78,-2.85
1539676282034,34.91,37.75,-2.84,-2.85
1539676282235,34.93,37.71,-2.78,-2.85
1539676282435,34.97,37.77,-2.80,-2.85
1539676282636,34.97,37.71,-2.74,-2.85
1539676282833,34.89,37.77,-2.88,-2.85
1539676283038,34.81,37.71,-2.90,-2.84
1539676283234,34.75,37.71,-2.96,-2.84
1539676283435,34.63,37.75,-3.12,-2.85
1539676283631,34.61,37.69,-3.08,-2.84
1539676283836,34.59,37.75,-3.16,-2.85
1539676284037,34.61,37.71,-3.10,-2.85
1539676284233,34.71,37.71,-3.00,-2.85
1539676284434,34.81,37.71,-2.90,-2.86
1539676284630,34.85,37.71,-2.86,-2.86
1539676284836,34.91,37.75,-2.84,-2.87
1539676285032,34.91,37.67,-2.76,-2.87
1539676285185,Interruption
1539676285233,34.91,37.77,-2.86,-2.87
1539676285429,34.97,37.75,-2.78,-2.87
1539676285562,Reaction,0,0,0,377
1539676285635,34.89,37.71,-2.82,-2.87
1539676285835,34.91,37.75,-2.84,-2.88
1539676286032,34.89,37.71,-2.82,-2.87
1539676286236,34.91,37.71,-2.80,-2.87
1539676286432,34.91,37.79,-2.88,-2.87
1539676286634,34.93,37.75,-2.82,-2.87
1539676286830,34.93,37.75,-2.82,-2.87
1539676287031,34.99,37.75,-2.76,-2.87
1539676287227,34.93,37.77,-2.84,-2.87
1539676287433,34.93,37.67,-2.74,-2.87
1539676287633,34.93,37.69,-2.76,-2.87
1539676287830,34.97,37.75,-2.78,-2.87
1539676288034,34.91,37.69,-2.78,-2.86
1539676288231,34.91,37.75,-2.84,-2.86
1539676288432,34.89,37.71,-2.82,-2.86
1539676288629,34.93,37.69,-2.76,-2.85
1539676288829,34.91,37.77,-2.86,-2.85
1539676289030,34.91,37.75,-2.84,-2.85
1539676289230,34.89,37.75,-2.86,-2.85
1539676289431,34.85,37.71,-2.86,-2.85
1539676289628,34.83,37.69,-2.86,-2.84
