1539676745578,34.97,37.51,-2.54,-2.49
1539676745779,34.93,37.49,-2.56,-2.49
1539676745980,34.85,37.49,-2.64,-2.49
1539676746176,34.81,37.53,-2.72,-2.50
1539676746377,34.89,37.51,-2.62,-2.50
1539676746573,34.97,37.51,-2.54,-2.50
1539676746775,34.89,37.51,-2.62,-2.51
1539676746979,34.91,37.51,-2.60,-2.51
1539676747176,34.93,37.53,-2.60,-2.51
1539676747376,34.97,37.51,-2.54,-2.51
1539676747577,34.91,37.53,-2.62,-2.51
1539676747774,34.93,37.53,-2.60,-2.52
1539676747975,34.89,37.53,-2.64,-2.52
1539676748179,34.85,37.53,-2.68,-2.52
1539676748376,34.91,37.55,-2.64,-2.53
1539676748577,34.77,37.51,-2.74,-2.53
1539676748777,34.77,37.53,-2.76,-2.54
1539676748974,34.85,37.53,-2.68,-2.54
1539676749174,34.91,37.55,-2.64,-2.55
1539676749379,34.91,37.55,-2.64,-2.55
1539676749576,34.97,37.53,-2.56,-2.55
1539676749777,34.97,37.53,-2.56,-2.56
1539676749977,34.99,37.53,-2.54,-2.56
1539676750174,34.99,37.53,-2.54,-2.56
1539676750374,34.93,37.53,-2.60,-2.57
1539676750572,34.85,37.53,-2.68,-2.57
1539676750776,34.97,37.55,-2.58,-2.57
1539676750977,35.01,37.51,-2.50,-2.57
1539676751173,35.05,37.53,-2.48,-2.57
1539676751373,35.09,37.51,-2.42,-2.58
1539676751575,35.01,37.51,-2.50,-2.58
1539676751771,35.05,37.51,-2.46,-2.58
1539676751976,34.99,37.51,-2.52,-2.57
1539676752176,34.99,37.49,-2.50,-2.57
1539676752305,Interruption
1539676752373,35.01,37.51,-2.50,-2.57
1539676752574,34.99,37.51,-2.52,-2.57
1539676752693,Reaction,0,0,0,388
1539676752771,34.97,37.53,-2.56,-2.57
1539676752971,34.99,37.53,-2.54,-2.57
1539676753176,34.97,37.53,-2.56,-2.57
1539676753373,34.97,37.51,-2.54,-2.57
1539676753574,34.99,37.55,-2.56,-2.57
1539676753774,34.91,37.51,-2.60,-2.57
1539676753971,34.83,37.53,-2.70,-2.56
1539676754176,34.83,37.55,-2.72,-2.56
1539676754376,34.83,37.51,-2.68,-2.57
1539676754573,34.89,37.55,-2.66,-2.56
1539676754773,34.93,37.53,-2.60,-2.57
1539676754970,34.93,37.51,-2.58,-2.57
1539676755170,34.99,37.49,-2.50,-2.57
1539676755376,34.97,37.59,-2.62,-2.57
1539676755572,34.97,37.51,-2.54,-2.57
1539676755773,35.01,37.53,-2.52,-2.57
1539676755974,35.05,37.53,-2.48,-2.57
1539676756171,35.01,37.55,-2.54,-2.57
1539676756371,34.97,37.55,-2.58,-2.57
1539676756576,34.91,37.55,-2.64,-2.57
1539676756772,34.83,37.55,-2.72,-2.57
1539676756972,34.75,37.53,-2.78,-2.57
1539676757170,34.89,37.55,-2.66,-2.57
1539676757370,34.91,37.59,-2.68,-2.58
1539676757571,34.91,37.51,-2.60,-2.58
1539676757767,35.05,37.49,-2.44,-2.58
1539676757972,35.01,37.55,-2.54,-2.58
1539676758173,35.01,37.55,-2.54,-2.58
1539676758370,35.05,37.55,-2.50,-2.58
1539676758570,35.01,37.51,-2.50,-2.58
1539676758775,34.97,37.55,-2.58,-2.58
1539676758972,35.01,37.55,-2.54,-2.58
1539676759173,35.05,37.59,-2.54,-2.58
1539676759369,35.05,37.53,-2.48,-2.58
1539676759570,35.01,37.59,-2.58,-2.58
1539676759770,34.99,37.55,-2.56,-2.58
1539676759967,35.01,37.59,-2.58,-2.57
1539676760172,35.01,37.59,-2.58,-2.57
1539676760372,35.01,37.55,-2.54,-2.58
1539676760569,35.05,37.55,-2.50,-2.57
1539676760769,34.99,37.55,-2.56,-2.57
1539676760971,34.99,37.55,-2.56,-2.57
1539676761167,34.99,37.53,-2.54,-2.57
1539676761372,34.99,37.59,-2.60,-2.57
1539676761568,34.97,37.53,-2.56,-2.57
1539676761769,34.89,37.59,-2.70,-2.57
1539676761970,34.91,37.59,-2.68,-2.57
1539676762167,34.93,37.53,-2.60,-2.57
1539676762371,34.93,37.55,-2.62,-2.57
1539676762571,34.91,37.61,-2.70,-2.57
1539676762718,Interruption
1539676762769,35.01,37.49,-2.48,-2.57
1539676762969,35.07,37.53,-2.46,-2.57
1539676763170,35.01,37.55,-2.54,-2.57
1539676763366,34.99,37.51,-2.52,-2.57
1539676763460,Reaction,0,0,0,742
1539676763571,34.97,37.51,-2.54,-2.57
1539676763768,35.01,37.55,-2.54,-2.57
1539676763969,34.99,37.53,-2.54,-2.57
1539676764169,35.01,37.49,-2.48,-2.57
1539676764366,35.05,37.53,-2.48,-2.57
1539676764566,34.99,37.55,-2.56,-2.57
1539676764772,34.99,37.53,-2.54,-2.57
1539676764968,35.05,37.59,-2.54,-2.57
1539676765169,34.97,37.55,-2.58,-2.57
1539676765365,34.91,37.53,-2.62,-2.57
1539676765565,34.91,37.59,-2.68,-2.57
1539676765767,34.99,37.59,-2.60,-2.57
1539676765963,35.09,37.61,-2.52,-2.57
1539676766168,35.07,37.59,-2.52,-2.57
1539676766368,35.05,37.59,-2.54,-2.57
1539676766566,34.99,37.59,-2.60,-2.57
1539676766766,35.01,37.63,-2.62,-2.57
1539676766971,34.97,37.59,-2.62,-2.57
1539676767167,34.99,37.61,-2.62,-2.57
1539676767368,34.93,37.61,-2.68,-2.57
1539676767565,34.91,37.55,-2.64,-2.57
1539676767766,34.93,37.59,-2.66,-2.57
1539676767966,35.01,37.59,-2.58,-2.57
1539676768162,35.05,37.55,-2.50,-2.57
1539676768367,35.05,37.59,-2.54,-2.58
1539676768568,34.97,37.59,-2.62,-2.57
1539676768765,34.85,37.59,-2.74,-2.58
1539676768965,34.91,37.55,-2.64,-2.58
1539676769166,34.91,37.61,-2.70,-2.58
1539676769362,34.93,37.55,-2.62,-2.58
1539676769568,34.93,37.59,-2.66,-2.58
1539676769764,34.93,37.61,-2.68,-2.58
1539676769965,34.99,37.59,-2.60,-2.58
1539676770165,34.97,37.55,-2.58,-2.59
1539676770363,34.91,37.59,-2.68,-2.59
1539676770563,34.93,37.61,-2.68,-2.59
1539676770768,34.89,37.55,-2.66,-2.59
1539676770964,34.83,37.55,-2.72,-2.59
1539676771164,34.91,37.59,-2.68,-2.59
1539676771366,34.89,37.59,-2.70,-2.60
1539676771562,34.89,37.51,-2.62,-2.60
1539676771763,34.97,37.59,-2.62,-2.60
1539676771967,34.97,37.63,-2.66,-2.60
1539676772164,34.93,37.55,-2.62,-2.61
1539676772365,34.91,37.61,-2.70,-2.61
1539676772562,34.93,37.61,-2.68,-2.61
1539676772762,34.91,37.59,-2.68,-2.61
1539676772963,34.93,37.55,-2.62,-2.61
1539676773159,34.93,37.63,-2.70,-2.62
1539676773365,34.91,37.55,-2.64,-2.62
1539676773466,Interruption
1539676773565,34.81,37.59,-2.78,-2.62
1539676773761,34.85,37.61,-2.76,-2.62
1539676773972,Reaction,0,0,0,506
1539676773962,34.99,37.61,-2.62,-2.62
1539676774167,34.99,37.55,-2.56,-2.63
1539676774364,34.99,37.61,-2.62,-2.63
1539676774564,35.01,37.59,-2.58,-2.63
1539676774761,34.89,37.59,-2.70,-2.63
1539676774961,34.83,37.59,-2.76,-2.63
1539676775163,34.81,37.67,-2.86,-2.63
1539676775359,34.89,37.59,-2.70,-2.63
1539676775560,34.91,37.61,-2.70,-2.63
1539676775764,34.91,37.69,-2.78,-2.64
1539676775962,34.99,37.61,-2.62,-2.64
1539676776162,34.97,37.61,-2.64,-2.64
1539676776363,34.99,37.61,-2.62,-2.64
1539676776559,34.99,37.59,-2.60,-2.64
1539676776759,34.97,37.61,-2.64,-2.65
1539676776965,34.97,37.61,-2.64,-2.65
1539676777161,34.93,37.59,-2.66,-2.65
1539676777362,35.01,37.59,-2.58,-2.65
1539676777562,34.99,37.61,-2.62,-2.65
1539676777759,35.01,37.63,-2.62,-2.65
1539676777960,35.01,37.61,-2.60,-2.65
1539676778157,34.99,37.63,-2.64,-2.65
1539676778361,34.91,37.67,-2.76,-2.65
1539676778562,34.91,37.67,-2.76,-2.65
1539676778758,34.91,37.63,-2.72,-2.65
1539676778960,34.89,37.61,-2.72,-2.65
1539676779160,34.81,37.67,-2.86,-2.65
1539676779357,34.83,37.71,-2.88,-2.66
1539676779561,34.81,37.63,-2.82,-2.66
1539676779762,34.77,37.67,-2.90,-2.66
1539676779959,34.83,37.61,-2.78,-2.66
1539676780159,34.69,37.67,-2.98,-2.67
1539676780360,34.63,37.67,-3.04,-2.67
1539676780556,34.53,37.69,-3.16,-2.68
1539676780762,34.63,37.63,-3.00,-2.68
1539676780962,34.71,37.63,-2.92,-2.69
1539676781160,34.85,37.67,-2.82,-2.70
1539676781359,34.83,37.69,-2.86,-2.70
1539676781561,34.81,37.63,-2.82,-2.71
1539676781757,34.75,37.63,-2.88,-2.72
1539676781958,34.83,37.67,-2.84,-2.72
1539676782162,34.85,37.71,-2.86,-2.73
1539676782358,34.91,37.75,-2.84,-2.73
1539676782559,34.93,37.69,-2.76,-2.74
1539676782756,34.91,37.63,-2.72,-2.75
1539676782957,34.81,37.69,-2.88,-2.75
1539676783161,34.71,37.71,-3.00,-2.75
1539676783358,34.77,37.69,-2.92,-2.76
1539676783559,34.85,37.71,-2.86,-2.76
1539676783760,34.89,37.75,-2.86,-2.77
1539676783956,34.85,37.69,-2.84,-2.77
1539676783994,Interruption
1539676784157,34.83,37.69,-2.86,-2.78
1539676784353,34.97,37.71,-2.74,-2.78
1539676784580,Reaction,0,0,0,586
1539676784559,34.97,37.69,-2.72,-2.78
1539676784759,34.97,37.67,-2.70,-2.79
1539676784955,34.97,37.67,-2.70,-2.79
1539676785156,34.99,37.69,-2.70,-2.79
1539676785361,34.99,37.69,-2.70,-2.79
1539676785554,34.99,37.67,-2.68,-2.79
1539676785758,35.05,37.71,-2.66,-2.79
1539676785959,34.93,37.69,-2.76,-2.79
1539676786155,34.93,37.69,-2.76,-2.79
1539676786356,34.97,37.75,-2.78,-2.79
1539676786553,34.93,37.77,-2.84,-2.79
1539676786758,34.89,37.75,-2.86,-2.79
1539676786958,34.97,37.69,-2.72,-2.79
1539676787155,34.97,37.71,-2.74,-2.79
