1539748682955,34.17,36.77,-2.60,-2.53
1539748683152,34.21,36.73,-2.52,-2.53
1539748683352,34.21,36.77,-2.56,-2.53
1539748683548,34.23,36.79,-2.56,-2.53
1539748683754,34.29,36.73,-2.44,-2.53
1539748683950,34.29,36.79,-2.50,-2.54
1539748684151,34.23,36.77,-2.54,-2.54
1539748684351,34.23,36.77,-2.54,-2.54
1539748684548,34.23,36.77,-2.54,-2.54
1539748684753,34.39,36.73,-2.34,-2.54
1539748684950,34.43,36.73,-2.30,-2.54
1539748685150,34.45,36.79,-2.34,-2.54
1539748685347,34.45,36.77,-2.32,-2.54
1539748685551,34.45,36.79,-2.34,-2.54
1539748685752,34.47,36.79,-2.32,-2.53
1539748685948,34.45,36.81,-2.36,-2.53
1539748686149,34.39,36.77,-2.38,-2.53
1539748686345,34.31,36.79,-2.48,-2.53
1539748686551,34.33,36.73,-2.40,-2.52
1539748686748,34.31,36.79,-2.48,-2.52
1539748686947,34.37,36.79,-2.42,-2.51
1539748687152,34.37,36.77,-2.40,-2.51
1539748687349,34.29,36.73,-2.44,-2.51
1539748687550,34.33,36.73,-2.40,-2.50
1539748687747,34.33,36.77,-2.44,-2.50
1539748687947,34.33,36.77,-2.44,-2.50
1539748688153,34.51,36.81,-2.30,-2.49
1539748688349,34.43,36.81,-2.38,-2.49
1539748688549,34.39,36.85,-2.46,-2.49
1539748688746,34.43,36.79,-2.36,-2.48
1539748688951,34.45,36.79,-2.34,-2.48
1539748689147,34.31,36.79,-2.48,-2.48
1539748689348,34.29,36.81,-2.52,-2.48
1539748689549,34.23,36.85,-2.62,-2.48
1539748689745,34.15,36.85,-2.70,-2.47
1539748689950,34.25,36.87,-2.62,-2.47
1539748690147,34.23,36.85,-2.62,-2.47
1539748690348,34.29,36.89,-2.60,-2.47
1539748690544,34.23,36.89,-2.66,-2.48
1539748690745,34.21,36.93,-2.72,-2.48
1539748690949,34.17,36.89,-2.72,-2.48
1539748691147,34.23,36.93,-2.70,-2.48
1539748691348,34.25,36.95,-2.70,-2.49
1539748691543,34.17,36.93,-2.76,-2.49
1539748691749,34.21,36.89,-2.68,-2.50
1539748691949,34.25,36.93,-2.68,-2.50
1539748692145,34.33,36.89,-2.56,-2.51
1539748692346,34.29,36.89,-2.60,-2.51
1539748692547,34.29,36.89,-2.60,-2.52
1539748692748,34.31,36.85,-2.54,-2.52
1539748692945,34.23,36.87,-2.64,-2.52
1539748693145,34.25,36.85,-2.60,-2.53
1539748693350,34.23,36.89,-2.66,-2.53
1539748693547,34.21,36.93,-2.72,-2.53
1539748693748,34.15,36.93,-2.78,-2.54
1539748693944,34.01,36.89,-2.88,-2.54
1539748694144,33.99,36.89,-2.90,-2.55
1539748694345,33.93,36.93,-3.00,-2.55
1539748694546,33.93,36.87,-2.94,-2.56
1539748694747,33.99,36.87,-2.88,-2.57
1539748694943,33.95,36.93,-2.98,-2.58
1539748695148,33.95,36.93,-2.98,-2.58
1539748695345,34.15,36.89,-2.74,-2.59
1539748695545,34.17,36.89,-2.72,-2.60
1539748695745,34.25,36.93,-2.68,-2.61
1539748695942,34.29,36.89,-2.60,-2.62
1539748696147,34.25,36.89,-2.64,-2.62
1539748696344,34.23,36.89,-2.66,-2.63
1539748696544,34.33,36.89,-2.56,-2.63
1539748696741,34.33,36.87,-2.54,-2.64
1539748696946,34.29,36.89,-2.60,-2.64
1539748697147,34.21,36.93,-2.72,-2.64
1539748697343,34.15,36.93,-2.78,-2.65
1539748697544,34.21,36.89,-2.68,-2.65
1539748697740,34.25,36.95,-2.70,-2.65
1539748697946,34.33,36.93,-2.60,-2.65
1539748698146,34.39,36.93,-2.54,-2.65
1539748698342,34.39,36.89,-2.50,-2.65
1539748698547,34.31,36.93,-2.62,-2.66
1539748698744,34.31,36.85,-2.54,-2.65
1539748698945,34.29,36.87,-2.58,-2.66
1539748699141,34.17,36.87,-2.70,-2.65
1539748699342,34.15,36.89,-2.74,-2.65
1539748699547,34.13,36.85,-2.72,-2.65
1539748699743,34.21,36.85,-2.64,-2.65
1539748699944,34.21,36.85,-2.64,-2.65
1539748700141,34.25,36.81,-2.56,-2.65
1539748700342,34.17,36.79,-2.62,-2.65
1539748700546,34.21,36.79,-2.58,-2.65
1539748700743,34.15,36.77,-2.62,-2.65
1539748700943,34.15,36.77,-2.62,-2.65
1539748701140,34.13,36.71,-2.58,-2.65
1539748701345,34.03,36.69,-2.66,-2.65
1539748701542,34.03,36.71,-2.68,-2.65
1539748701742,34.03,36.73,-2.70,-2.65
1539748701943,34.03,36.77,-2.74,-2.65
1539748702139,33.99,36.79,-2.80,-2.65
1539748702345,34.01,36.73,-2.72,-2.65
1539748702540,33.95,36.77,-2.82,-2.65
1539748702741,33.95,36.71,-2.76,-2.65
1539748702942,33.95,36.73,-2.78,-2.65
1539748703139,34.07,36.77,-2.70,-2.65
1539748703344,34.09,36.71,-2.62,-2.65
1539748703541,34.13,36.71,-2.58,-2.66
1539748703742,34.21,36.71,-2.50,-2.65
1539748703938,34.21,36.79,-2.58,-2.66
1539748704143,34.25,36.73,-2.48,-2.66
1539748704342,34.25,36.73,-2.48,-2.66
1539748704539,34.25,36.77,-2.52,-2.66
1539748704747,34.25,36.77,-2.52,-2.65
1539748704941,34.31,36.73,-2.42,-2.65
1539748705142,34.29,36.77,-2.48,-2.65
1539748705339,34.29,36.79,-2.50,-2.65
1539748705539,34.17,36.77,-2.60,-2.64
1539748705744,34.25,36.77,-2.52,-2.64
1539748705941,34.15,36.73,-2.58,-2.64
1539748706141,34.17,36.73,-2.56,-2.63
1539748706338,34.15,36.73,-2.58,-2.63
1539748706542,34.15,36.77,-2.62,-2.63
1539748706743,34.15,36.71,-2.56,-2.63
1539748706940,34.17,36.71,-2.54,-2.63
1539748707140,34.23,36.69,-2.46,-2.62
1539748707337,34.17,36.71,-2.54,-2.62
1539748707542,34.29,36.69,-2.40,-2.62
1539748707738,34.25,36.71,-2.46,-2.61
1539748707939,34.25,36.71,-2.46,-2.61
1539748708140,34.29,36.79,-2.50,-2.61
1539748708341,34.21,36.79,-2.58,-2.60
1539748708541,34.13,36.85,-2.72,-2.60
