1539151869139,33.51,32.97,0.54,0.88
1539151869335,33.51,32.91,0.60,0.86
1539151869541,33.57,32.77,0.80,0.85
1539151869741,33.63,32.63,1.00,0.84
1539151869938,33.57,32.75,0.82,0.83
1539151870142,33.49,32.89,0.60,0.82
1539151870339,33.57,33.03,0.54,0.82
1539151870540,33.47,33.11,0.36,0.81
1539151870737,33.57,33.19,0.38,0.80
1539151870941,33.55,33.39,0.16,0.79
1539151871138,33.57,33.49,0.08,0.78
1539151871338,33.51,33.57,-0.06,0.77
1539151871535,33.49,33.55,-0.06,0.76
1539151871740,33.51,33.61,-0.10,0.74
1539151871937,33.51,33.71,-0.20,0.73
1539151872137,33.57,33.69,-0.12,0.71
1539151872338,33.55,33.77,-0.22,0.69
1539151872538,33.55,33.71,-0.16,0.66
1539151872735,33.47,33.79,-0.32,0.64
1539151872935,33.41,33.83,-0.42,0.62
1539151873136,33.43,33.85,-0.42,0.59
1539151873337,33.41,33.85,-0.44,0.57
1539151873534,33.41,33.91,-0.50,0.54
1539151873739,33.47,33.91,-0.44,0.51
1539151873936,33.43,33.93,-0.50,0.48
1539151874136,33.47,33.91,-0.44,0.45
1539151874332,33.47,33.87,-0.40,0.43
1539151874538,33.47,33.99,-0.52,0.40
1539151874734,33.43,33.91,-0.48,0.37
1539151874934,33.51,33.83,-0.32,0.34
1539151875140,33.51,33.87,-0.36,0.31
1539151875335,33.51,33.85,-0.34,0.28
1539151875536,33.47,33.83,-0.36,0.26
1539151875733,33.55,33.83,-0.28,0.23
1539151875938,33.61,33.85,-0.24,0.21
1539151876135,33.57,33.83,-0.26,0.18
1539151876336,33.55,33.83,-0.28,0.16
1539151876532,33.63,33.83,-0.20,0.14
1539151876737,33.57,33.71,-0.14,0.12
1539151876934,33.61,33.77,-0.16,0.10
1539151877134,33.63,33.69,-0.06,0.08
1539151877331,33.63,33.63,0.00,0.07
1539151877535,33.63,33.63,0.00,0.05
1539151877732,33.69,33.65,0.04,0.04
1539151877932,33.69,33.57,0.12,0.03
1539151878129,33.71,33.57,0.14,0.02
1539151878334,33.69,33.57,0.12,0.01
1539151878531,33.65,33.49,0.16,0.01
1539151878732,33.65,33.47,0.18,-0.00
1539151878929,33.65,33.29,0.36,-0.00
1539151879133,33.63,33.11,0.52,-0.01
1539151879330,33.63,32.91,0.72,-0.01
1539151879530,33.65,32.83,0.82,-0.00
1539151879735,33.63,32.99,0.64,-0.00
1539151879932,33.63,32.99,0.64,0.01
1539151880132,33.57,33.05,0.52,0.02
1539151880333,33.61,33.19,0.42,0.02
1539151880534,33.43,33.21,0.22,0.03
1539151880730,33.43,33.25,0.18,0.04
1539151880931,33.49,33.25,0.24,0.05
1539151881131,33.49,33.29,0.20,0.06
1539151881332,33.61,33.35,0.26,0.07
1539151881528,33.63,33.33,0.30,0.08
1539151881729,33.63,33.39,0.24,0.09
1539151881926,33.51,33.35,0.16,0.09
1539151882131,33.47,33.33,0.14,0.10
1539151882327,33.51,33.39,0.12,0.11
1539151882528,33.57,33.39,0.18,0.11
1539151882733,33.61,33.27,0.34,0.12
1539151882930,33.49,33.27,0.22,0.12
1539151883130,33.51,33.27,0.24,0.13
1539151883327,33.43,33.27,0.16,0.13
1539151883532,33.57,33.21,0.36,0.14
1539151883728,33.55,33.21,0.34,0.14
1539151883929,33.55,33.27,0.28,0.15
1539151884126,33.61,33.29,0.32,0.15
1539151884331,33.55,33.21,0.34,0.16
1539151884527,33.49,33.17,0.32,0.16
1539151884728,33.51,33.21,0.30,0.17
1539151884929,33.61,33.21,0.40,0.17
1539151885125,33.51,33.17,0.34,0.18
1539151885330,33.49,33.13,0.36,0.18
1539151885527,33.55,33.21,0.34,0.19
1539151885727,33.55,33.29,0.26,0.19
