1539818502001,34.81,36.71,-1.90,-2.12
1539818502204,34.81,36.73,-1.92,-2.11
1539818502392,34.77,36.81,-2.04,-2.11
1539818502595,34.77,36.77,-2.00,-2.10
1539818502798,34.83,36.79,-1.96,-2.09
1539818503001,34.83,36.79,-1.96,-2.09
1539818503204,34.81,36.73,-1.92,-2.08
1539818503407,34.77,36.71,-1.94,-2.08
1539818503595,34.77,36.73,-1.96,-2.07
1539818503798,34.67,36.77,-2.10,-2.07
1539818504001,34.75,36.73,-1.98,-2.07
1539818504189,34.77,36.73,-1.96,-2.06
1539818504392,34.69,36.71,-2.02,-2.06
1539818504595,34.67,36.77,-2.10,-2.05
1539818504798,34.77,36.77,-2.00,-2.05
1539818505001,34.69,36.77,-2.08,-2.05
1539818505204,34.67,36.71,-2.04,-2.04
1539818505392,34.69,36.71,-2.02,-2.04
1539818505595,34.71,36.73,-2.02,-2.04
1539818505798,34.69,36.71,-2.02,-2.03
1539818506002,34.69,36.71,-2.02,-2.03
1539818506189,34.67,36.69,-2.02,-2.03
1539818506392,34.71,36.69,-1.98,-2.03
1539818506595,34.69,36.63,-1.94,-2.03
1539818506798,34.69,36.71,-2.02,-2.03
1539818506986,34.63,36.65,-2.02,-2.03
1539818507189,34.63,36.57,-1.94,-2.02
1539818507392,34.63,36.61,-1.98,-2.02
1539818507596,34.67,36.63,-1.96,-2.02
1539818507799,34.61,36.57,-1.96,-2.02
1539818507986,34.63,36.65,-2.02,-2.02
1539818508189,34.67,36.63,-1.96,-2.01
1539818508392,34.67,36.71,-2.04,-2.01
1539818508596,34.69,36.65,-1.96,-2.01
1539818508799,34.71,36.69,-1.98,-2.01
1539818508986,34.63,36.65,-2.02,-2.01
1539818509189,34.63,36.65,-2.02,-2.00
1539818509392,34.63,36.61,-1.98,-2.00
1539818509596,34.71,36.57,-1.86,-2.00
1539818509783,34.67,36.55,-1.88,-2.00
1539818509986,34.69,36.53,-1.84,-2.00
1539818510189,34.71,36.47,-1.76,-2.00
1539818510392,34.69,36.61,-1.92,-1.99
1539818510596,34.67,36.53,-1.86,-1.99
1539818510783,34.67,36.53,-1.86,-1.99
1539818510986,34.69,36.57,-1.88,-1.98
1539818511189,34.67,36.57,-1.90,-1.98
1539818511393,34.69,36.63,-1.94,-1.98
1539818511596,34.69,36.57,-1.88,-1.97
1539818511783,34.69,36.55,-1.86,-1.97
1539818511986,34.69,36.57,-1.88,-1.97
1539818512189,34.71,36.55,-1.84,-1.96
1539818512392,34.71,36.57,-1.86,-1.96
1539818512596,34.67,36.49,-1.82,-1.96
1539818512799,34.67,36.49,-1.82,-1.95
1539818512987,34.75,36.53,-1.78,-1.95
1539818513190,34.67,36.41,-1.74,-1.95
1539818513393,34.67,36.47,-1.80,-1.94
1539818513596,34.67,36.53,-1.86,-1.94
1539818513784,34.63,36.39,-1.76,-1.93
1539818513987,34.69,36.45,-1.76,-1.93
1539818514190,34.69,36.45,-1.76,-1.92
1539818514393,34.71,36.47,-1.76,-1.92
1539818514581,34.63,36.41,-1.78,-1.91
1539818514784,34.69,36.39,-1.70,-1.91
1539818514987,34.69,36.49,-1.80,-1.91
1539818515190,34.67,36.41,-1.74,-1.90
1539818515393,34.67,36.45,-1.78,-1.89
1539818515581,34.71,36.41,-1.70,-1.89
1539818515784,34.71,36.41,-1.70,-1.88
1539818515987,34.67,36.45,-1.78,-1.88
1539818516190,34.69,36.41,-1.72,-1.87
1539818516378,34.67,36.39,-1.72,-1.87
1539818516581,34.71,36.37,-1.66,-1.86
1539818516784,34.69,36.33,-1.64,-1.86
1539818516987,34.69,36.41,-1.72,-1.85
1539818517191,34.69,36.45,-1.76,-1.85
1539818517378,34.69,36.41,-1.72,-1.84
1539818517597,34.71,36.39,-1.68,-1.84
1539818517784,34.63,36.41,-1.78,-1.83
1539818517988,34.69,36.41,-1.72,-1.83
1539818518191,34.67,36.39,-1.72,-1.82
1539818518378,34.69,36.41,-1.72,-1.82
1539818518582,34.67,36.37,-1.70,-1.81
1539818518785,34.67,36.37,-1.70,-1.81
1539818518988,34.67,36.33,-1.66,-1.81
1539818519175,34.69,36.31,-1.62,-1.80
1539818519394,34.67,36.33,-1.66,-1.80
1539818519582,34.71,36.33,-1.62,-1.79
1539818519785,34.69,36.33,-1.64,-1.79
1539818519988,34.67,36.37,-1.70,-1.78
1539818520191,34.69,36.39,-1.70,-1.78
1539818520378,34.67,36.31,-1.64,-1.77
1539818520582,34.63,36.31,-1.68,-1.77
1539818520785,34.69,36.39,-1.70,-1.76
1539818520988,34.71,36.31,-1.60,-1.76
1539818521191,34.63,36.31,-1.68,-1.75
1539818521378,34.71,36.37,-1.66,-1.75
1539818521582,34.61,36.33,-1.72,-1.75
1539818521785,34.71,36.31,-1.60,-1.74
